,dropoutFn,learningrate,activationFn,dR,nstart,layerForm,testAccuracy,valAccuracy,nlayers
76,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,256,cone,0.9215686321258545,0.8356434941291809,16
77,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,256,cone,0.8392156958580017,0.7683167815208436,32
78,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,512,cone,0.9450980424880981,0.8534652709960938,2
79,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,512,cone,0.9176470637321472,0.8455444812774658,3
80,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,512,cone,0.929411768913269,0.8207920134067536,4
81,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,512,cone,0.9372549057006836,0.8435642838478089,8
82,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,512,cone,0.9098039269447327,0.8376236915588379,16
83,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,512,cone,0.8274509906768799,0.7584157943725587,32
84,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,1024,cone,0.9254902005195618,0.823762309551239,2
85,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,1024,cone,0.929411768913269,0.8594058632850647,3
86,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,1024,cone,0.9176470637321472,0.8495048761367798,4
87,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,1024,cone,0.9450980424880981,0.8574256658554077,8
88,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,1024,cone,0.929411768913269,0.8613860607147216,16
89,<function dropout at 0x7ff85f21aa60>,0.1,3,0.0,1024,cone,0.8549019694328308,0.7742573738098144,32
90,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,256,cone,0.9058823585510254,0.8079207301139832,2
91,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,256,cone,0.8980392217636108,0.8148514211177826,3
92,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,256,cone,0.8901960849761963,0.7960395455360414,4
93,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,256,cone,0.6901960968971252,0.6772276997566222,8
94,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,256,cone,0.6901960968971252,0.6732673048973082,16
95,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,256,cone,0.6901960968971252,0.6732673048973082,32
96,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,512,cone,0.9176470637321472,0.8247524082660674,2
97,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,512,cone,0.9058823585510254,0.8217821121215819,3
98,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,512,cone,0.8705882430076599,0.8029702365398409,4
99,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,512,cone,0.8274509906768799,0.7316831290721892,8
100,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,512,cone,0.6901960968971252,0.6732673048973082,16
101,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,512,cone,0.2509804368019104,0.22772276401519773,32
102,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,1024,cone,0.9254902005195618,0.8485147774219515,2
103,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,1024,cone,0.9098039269447327,0.8099009275436402,3
104,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,1024,cone,0.9176470637321472,0.823762309551239,4
105,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,1024,cone,0.8313725590705872,0.7356435239315032,8
106,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,1024,cone,0.250980406999588,0.23366335630416868,16
107,<function dropout at 0x7ff85f21aa60>,0.1,3,0.5,1024,cone,0.250980406999588,0.22772276401519773,32
108,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,256,cone,0.929411768913269,0.8217821121215819,2
109,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,256,cone,0.9411764740943909,0.8326731979846954,3
110,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,256,cone,0.9098039269447327,0.8128712236881256,4
111,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,256,cone,0.9372549057006836,0.8267326056957244,8
112,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,256,cone,0.9450980424880981,0.8049504339694978,16
113,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,256,cone,0.9215686321258545,0.8405939877033235,32
114,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,512,cone,0.9372549057006836,0.8118811249732971,2
115,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,512,cone,0.9176470637321472,0.8217821121215819,3
116,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,512,cone,0.9254902005195618,0.8386137902736666,4
117,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,512,cone,0.929411768913269,0.8366335928440095,8
118,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,512,cone,0.8745098114013672,0.8009900391101837,16
119,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,512,cone,0.8627451062202454,0.7900989532470704,32
120,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,1024,cone,0.929411768913269,0.8445543825626375,2
121,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,1024,cone,0.9372549057006836,0.837623691558838,3
122,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,1024,cone,0.9176470637321472,0.845544481277466,4
123,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,1024,cone,0.9098039269447327,0.8712870478630065,8
124,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,1024,cone,0.9215686321258545,0.8485147774219512,16
125,<function dropout at 0x7ff85f21aa60>,0.01,3,0.0,1024,cone,0.9176470637321472,0.8366335928440095,32
126,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,256,cone,0.8823529481887817,0.819801914691925,2
127,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,256,cone,0.8666666746139526,0.8316830992698668,3
128,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,256,cone,0.9019607901573181,0.8049504339694978,4
129,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,256,cone,0.6901960968971252,0.6782177984714507,8
130,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,256,cone,0.6901960968971252,0.6732673048973082,16
131,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,256,cone,0.6823529601097107,0.6594059228897096,32
132,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,512,cone,0.9098039269447327,0.819801914691925,2
133,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,512,cone,0.8901960849761963,0.7831682622432709,3
134,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,512,cone,0.8549019694328308,0.8217821121215819,4
135,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,512,cone,0.8078431487083435,0.7722771763801574,8
136,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,512,cone,0.6901960968971252,0.6732673048973082,16
137,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,512,cone,0.6901960968971252,0.6732673048973082,32
138,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,1024,cone,0.9215686321258545,0.8297029018402099,2
139,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,1024,cone,0.8588235378265381,0.817821717262268,3
140,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,1024,cone,0.8823529481887817,0.7910890519618989,4
141,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,1024,cone,0.7333333492279053,0.6861385881900788,8
142,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,1024,cone,0.6901960968971252,0.6732673048973082,16
143,<function dropout at 0x7ff85f21aa60>,0.01,3,0.5,1024,cone,0.6901960968971252,0.6752475023269652,32
