,dR,dropoutFn,nstart,valAccuracy,nlayers,activationFn,testAccuracy,learningrate,layerForm
0,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,2,3,0.4523809552192688,10.0,rect
1,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,2,3,0.4523809552192688,1.0,rect
2,0.0,<function dropout at 0x7f8ac4634a60>,256,0.7906977117061615,2,3,0.8452381491661072,0.1,rect
3,0.0,<function dropout at 0x7f8ac4634a60>,256,0.790697693824768,2,3,0.821428656578064,0.01,rect
4,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,3,3,0.4523809552192688,10.0,rect
5,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,3,3,0.4523809552192688,1.0,rect
6,0.0,<function dropout at 0x7f8ac4634a60>,256,0.7883721351623536,3,3,0.8333333730697632,0.1,rect
7,0.0,<function dropout at 0x7f8ac4634a60>,256,0.7767442107200622,3,3,0.8333333134651184,0.01,rect
8,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,4,3,0.4523809552192688,10.0,rect
9,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,4,3,0.4523809552192688,1.0,rect
10,0.0,<function dropout at 0x7f8ac4634a60>,256,0.7674419224262237,4,3,0.8452381491661072,0.1,rect
11,0.0,<function dropout at 0x7f8ac4634a60>,256,0.8093023598194123,4,3,0.8571429252624512,0.01,rect
12,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,8,3,0.4523809552192688,10.0,rect
13,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,8,3,0.4523809552192688,1.0,rect
14,0.0,<function dropout at 0x7f8ac4634a60>,256,0.7604651570320129,8,3,0.8214285969734192,0.1,rect
15,0.0,<function dropout at 0x7f8ac4634a60>,256,0.7651163101196289,8,3,0.821428656578064,0.01,rect
16,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,16,3,0.4523809552192688,10.0,rect
17,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,16,3,0.4523809552192688,1.0,rect
18,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,16,3,0.4523809552192688,0.1,rect
19,0.0,<function dropout at 0x7f8ac4634a60>,256,0.7651163458824156,16,3,0.8333333730697632,0.01,rect
20,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,32,3,0.4523809552192688,10.0,rect
21,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,32,3,0.4523809552192688,1.0,rect
22,0.0,<function dropout at 0x7f8ac4634a60>,256,0.32558140158653265,32,3,0.4523809552192688,0.1,rect
23,0.0,<function dropout at 0x7f8ac4634a60>,256,0.7232558488845826,32,3,0.8333333730697632,0.01,rect
24,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,2,3,0.4523809552192688,10.0,rect
25,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,2,3,0.4523809552192688,1.0,rect
26,0.0,<function dropout at 0x7f8ac4634a60>,512,0.7883721351623535,2,3,0.8452381491661072,0.1,rect
27,0.0,<function dropout at 0x7f8ac4634a60>,512,0.7604651510715486,2,3,0.8452380895614624,0.01,rect
28,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,3,3,0.4523809552192688,10.0,rect
29,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,3,3,0.4523809552192688,1.0,rect
30,0.0,<function dropout at 0x7f8ac4634a60>,512,0.7837209701538086,3,3,0.8333333730697632,0.1,rect
31,0.0,<function dropout at 0x7f8ac4634a60>,512,0.8116279482841492,3,3,0.8452381491661072,0.01,rect
32,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,4,3,0.4523809552192688,10.0,rect
33,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,4,3,0.4523809552192688,1.0,rect
34,0.0,<function dropout at 0x7f8ac4634a60>,512,0.7837209761142729,4,3,0.8333333730697632,0.1,rect
35,0.0,<function dropout at 0x7f8ac4634a60>,512,0.7651163041591643,4,3,0.8452380895614624,0.01,rect
36,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,8,3,0.4523809552192688,10.0,rect
37,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,8,3,0.4523809552192688,1.0,rect
38,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,8,3,0.4523809552192688,0.1,rect
39,0.0,<function dropout at 0x7f8ac4634a60>,512,0.7860465586185456,8,3,0.8333333730697632,0.01,rect
40,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,16,3,0.4523809552192688,10.0,rect
41,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,16,3,0.4523809552192688,1.0,rect
42,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,16,3,0.4523809552192688,0.1,rect
43,0.0,<function dropout at 0x7f8ac4634a60>,512,0.751162838935852,16,3,0.8452381491661072,0.01,rect
44,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,32,3,0.4523809552192688,10.0,rect
45,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,32,3,0.4523809552192688,1.0,rect
46,0.0,<function dropout at 0x7f8ac4634a60>,512,0.32558140158653265,32,3,0.4523809552192688,0.1,rect
47,0.0,<function dropout at 0x7f8ac4634a60>,512,0.7046511948108674,32,3,0.8095238208770752,0.01,rect
48,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,2,3,0.4523809552192688,10.0,rect
49,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.32558140158653265,2,3,0.4523809552192688,1.0,rect
50,0.0,<function dropout at 0x7f8ac4634a60>,1024,0.7790698051452636,2,3,0.8095238208770752,0.1,rect
