,layerForm,valAccuracy,activationFn,nlayers,learningrate,dR,testAccuracy,dropoutFn,nstart
77,cone,0.08461538702249527,3,8,10.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
78,cone,0.08461538702249527,3,8,1.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
79,cone,0.08461538702249527,3,8,1.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
80,cone,0.08461538702249527,3,8,1.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
81,cone,0.08461538702249527,3,8,1.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,256
82,cone,0.08461538702249527,3,8,1.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,512
83,cone,0.08461538702249527,3,8,1.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
84,cone,0.7669231057167053,3,8,0.1,0.0,0.7039999961853027,<function dropout at 0x7f3452e45a60>,256
85,cone,0.7592307806015015,3,8,0.1,0.0,0.7040000557899475,<function dropout at 0x7f3452e45a60>,512
86,cone,0.7584615588188172,3,8,0.1,0.0,0.6880000233650208,<function dropout at 0x7f3452e45a60>,1024
87,cone,0.4030769407749176,3,8,0.1,0.5,0.4480000138282776,<function dropout at 0x7f3452e45a60>,256
88,cone,0.346923092007637,3,8,0.1,0.5,0.36000001430511475,<function dropout at 0x7f3452e45a60>,512
89,cone,0.37307693064212805,3,8,0.1,0.5,0.35199999809265137,<function dropout at 0x7f3452e45a60>,1024
90,cone,0.7784615516662597,3,8,0.01,0.0,0.7240000367164612,<function dropout at 0x7f3452e45a60>,256
91,cone,0.7546153962612152,3,8,0.01,0.0,0.7239999771118164,<function dropout at 0x7f3452e45a60>,512
92,cone,0.764615386724472,3,8,0.01,0.0,0.6919999718666077,<function dropout at 0x7f3452e45a60>,1024
93,cone,0.48692310154438023,3,8,0.01,0.5,0.3999999761581421,<function dropout at 0x7f3452e45a60>,256
94,cone,0.3223077028989792,3,8,0.01,0.5,0.30399999022483826,<function dropout at 0x7f3452e45a60>,512
95,cone,0.45230770409107207,3,8,0.01,0.5,0.3999999761581421,<function dropout at 0x7f3452e45a60>,1024
96,cone,0.08461538702249527,3,16,10.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
97,cone,0.08461538702249527,3,16,10.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
98,cone,0.08461538702249527,3,16,10.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
99,cone,0.08461538702249527,3,16,10.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,256
100,cone,0.08461538702249527,3,16,10.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,512
101,cone,0.08461538702249527,3,16,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
102,cone,0.08461538702249527,3,16,1.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
103,cone,0.08461538702249527,3,16,1.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
104,cone,0.08461538702249527,3,16,1.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
105,cone,0.08461538702249527,3,16,1.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
106,cone,0.08461538702249527,3,16,1.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
107,cone,0.08461538702249527,3,16,1.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
108,cone,0.756923097372055,3,16,0.1,0.0,0.6759999990463257,<function dropout at 0x7f3452e45a60>,256
109,cone,0.7546154141426087,3,16,0.1,0.0,0.7120000123977661,<function dropout at 0x7f3452e45a60>,512
110,cone,0.7584615588188172,3,16,0.1,0.0,0.6959999799728394,<function dropout at 0x7f3452e45a60>,1024
111,cone,0.11153846457600594,3,16,0.1,0.5,0.11599999666213989,<function dropout at 0x7f3452e45a60>,256
112,cone,0.08461538702249527,3,16,0.1,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,512
113,cone,0.08461538702249527,3,16,0.1,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
114,cone,0.74076926112175,3,16,0.01,0.0,0.6920000314712524,<function dropout at 0x7f3452e45a60>,256
115,cone,0.7615384876728057,3,16,0.01,0.0,0.6959999799728394,<function dropout at 0x7f3452e45a60>,512
116,cone,0.7569230914115906,3,16,0.01,0.0,0.7080000042915344,<function dropout at 0x7f3452e45a60>,1024
117,cone,0.07230769395828246,3,16,0.01,0.5,0.03200000151991844,<function dropout at 0x7f3452e45a60>,256
118,cone,0.11153846532106401,3,16,0.01,0.5,0.1080000102519989,<function dropout at 0x7f3452e45a60>,512
119,cone,0.13923077359795571,3,16,0.01,0.5,0.23199999332427979,<function dropout at 0x7f3452e45a60>,1024
120,cone,0.08461538702249527,3,32,10.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
121,cone,0.08461538702249527,3,32,10.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
122,cone,0.08461538702249527,3,32,10.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
123,cone,0.08461538702249527,3,32,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
124,cone,0.08461538702249527,3,32,10.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
125,cone,0.08461538702249527,3,32,10.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
126,cone,0.08461538702249527,3,32,1.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,256
127,cone,0.08461538702249527,3,32,1.0,0.0,0.09600000083446503,<function dropout at 0x7f3452e45a60>,512
128,cone,0.08461538702249527,3,32,1.0,0.0,0.09600000828504562,<function dropout at 0x7f3452e45a60>,1024
129,cone,0.08461538702249527,3,32,1.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
130,cone,0.08461538702249527,3,32,1.0,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
131,cone,0.08461538702249527,3,32,1.0,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
132,cone,0.560769259929657,3,32,0.1,0.0,0.5999999642372131,<function dropout at 0x7f3452e45a60>,256
133,cone,0.44076924622058866,3,32,0.1,0.0,0.3959999680519104,<function dropout at 0x7f3452e45a60>,512
134,cone,0.7369230926036835,3,32,0.1,0.0,0.6800000071525574,<function dropout at 0x7f3452e45a60>,1024
135,cone,0.08461538702249527,3,32,0.1,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,256
136,cone,0.08461538702249527,3,32,0.1,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,512
137,cone,0.08461538702249527,3,32,0.1,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
138,cone,0.7438461780548097,3,32,0.01,0.0,0.6759999990463257,<function dropout at 0x7f3452e45a60>,256
139,cone,0.7615384757518768,3,32,0.01,0.0,0.6839999556541443,<function dropout at 0x7f3452e45a60>,512
140,cone,0.7353846430778505,3,32,0.01,0.0,0.6880000233650208,<function dropout at 0x7f3452e45a60>,1024
141,cone,0.08461538702249527,3,32,0.01,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,256
142,cone,0.08461538702249527,3,32,0.01,0.5,0.09600000828504562,<function dropout at 0x7f3452e45a60>,512
143,cone,0.08461538702249527,3,32,0.01,0.5,0.09600000083446503,<function dropout at 0x7f3452e45a60>,1024
