,nlayers,testAccuracy,dR,dropoutFn,activationFn,learningrate,layerForm,nstart,valAccuracy
0,2,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.08666667118668558
1,2,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.12000000551342967
2,2,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.08666667118668558
3,2,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.2466666810214519
4,2,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.08000000491738321
5,2,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.14666667878627773
6,2,0.7837838530540466,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.8133334040641786
7,2,0.8108108639717102,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.8133334040641786
8,2,0.8108108043670654,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.8666667342185974
9,2,0.8648648858070374,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.820000070333481
10,2,0.8378378748893738,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.7333334088325502
11,2,0.810810923576355,0.0,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.8666667342185974
12,2,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.07333333715796472
13,2,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.09333334043622019
14,2,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.06666667014360429
15,2,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.1466666758060455
16,2,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.11333333924412729
17,2,0.0,0.5,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.08666667118668558
18,2,0.7567567825317383,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,256,0.8066667377948762
19,2,0.7837838530540466,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,512,0.840000069141388
20,2,0.8108108639717102,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.1,cone,1024,0.8133334040641785
21,2,0.8108108639717102,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,256,0.8666667342185974
22,2,0.8378378748893738,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,512,0.8666667342185974
23,2,0.7567568421363831,0.5,<function dropout at 0x7f0b98fe4a60>,3,0.01,cone,1024,0.8000000715255738
24,3,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,256,0.06666667014360429
25,3,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,512,0.06666667014360429
26,3,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,10.0,cone,1024,0.06666667014360429
27,3,0.4054054319858551,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,256,0.6000000238418579
28,3,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,512,0.12000000551342967
29,3,0.0,0.0,<function dropout at 0x7f0b98fe4a60>,3,1.0,cone,1024,0.12000000551342967
