,dR,nstart,valAccuracy,dropoutFn,learningrate,layerForm,activationFn,nlayers,testAccuracy
18,0.0,256,0.9723034918308258,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,2,0.9757428765296936
19,0.0,256,0.9780292153358461,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,3,0.9781686067581177
20,0.0,256,0.9785618603229523,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,4,0.9812006950378418
21,0.0,256,0.9844207167625426,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,8,0.9909035563468933
22,0.0,256,0.9840212702751158,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,16,0.9842329025268555
23,0.0,256,0.9793608069419861,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,32,0.9787750244140625
24,0.0,512,0.8428761243820191,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,2,0.8459672331809998
25,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,3,0.8459672331809998
26,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,4,0.8459672331809998
27,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,8,0.8459672927856445
28,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,16,0.8459672927856445
29,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,32,0.8459672331809998
30,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,2,0.8459672331809998
31,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,3,0.8459672331809998
32,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,4,0.8459672331809998
33,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,8,0.8459672331809998
34,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,16,0.8459672331809998
35,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,32,0.8459672331809998
36,0.0,512,0.994007921218872,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,2,0.9909036159515381
37,0.0,512,0.9893474936485289,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,3,0.9945422410964966
38,0.0,512,0.9924100458621978,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,4,0.9957550764083862
39,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,8,0.8459672927856445
40,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,16,0.8459672331809998
41,0.0,512,0.842876136302948,<function dropout at 0x7f7a5f30da60>,0.1,rect,3,32,0.8459672927856445
42,0.0,512,0.9687083125114443,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,2,0.9721043705940247
43,0.0,512,0.9810918271541595,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,3,0.9842327833175659
44,0.0,512,0.9852196455001829,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,4,0.9878714084625244
45,0.0,512,0.9886816978454589,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,8,0.9878714084625244
46,0.0,512,0.9866843819618224,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,16,0.9890843629837036
47,0.0,512,0.981358140707016,<function dropout at 0x7f7a5f30da60>,0.01,rect,3,32,0.9812006950378418
48,0.0,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,2,0.8459672331809998
49,0.0,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,3,0.8459672331809998
50,0.0,1024,0.8428761243820191,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,4,0.8459672927856445
51,0.0,1024,0.8428761184215546,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,8,0.8459672331809998
52,0.0,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,16,0.8459672331809998
53,0.0,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,10.0,rect,3,32,0.8459672331809998
54,0.0,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,2,0.8459672927856445
55,0.0,1024,0.8428761243820191,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,3,0.8459672331809998
56,0.0,1024,0.8428761124610902,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,4,0.8459672927856445
57,0.0,1024,0.842876136302948,<function dropout at 0x7f7a5f30da60>,1.0,rect,3,8,0.8459672331809998
