,learningrate,layerForm,dropoutFn,activationFn,valAccuracy,nstart,nlayers,dR,testAccuracy
0,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,2,0.0,0.5384615659713745
1,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,2,0.5,0.5384615659713745
2,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,3,0.0,0.5384615659713745
3,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,3,0.5,0.5384615659713745
4,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,4,0.0,0.5384615659713745
5,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,4,0.5,0.5384615659713745
6,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,8,0.0,0.5384615659713745
7,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,8,0.5,0.5384615659713745
8,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,16,0.0,0.5384615659713745
9,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,16,0.5,0.5384615659713745
10,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,32,0.0,0.5384615659713745
11,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,32,0.5,0.5384615659713745
12,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,2,0.0,0.5384615659713745
13,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,2,0.5,0.5384615659713745
14,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,3,0.0,0.5384615659713745
15,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,3,0.5,0.5384615659713745
16,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,4,0.0,0.5384615659713745
17,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,4,0.5,0.5384615659713745
18,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,8,0.0,0.5384615659713745
19,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,8,0.5,0.5384615659713745
20,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,16,0.0,0.5384615659713745
21,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,16,0.5,0.5384615659713745
22,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,32,0.0,0.5384615659713745
23,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,512,32,0.5,0.5384615659713745
24,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,2,0.0,0.5384615659713745
25,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,2,0.5,0.5384615659713745
26,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,3,0.0,0.5384615659713745
27,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,3,0.5,0.5384615659713745
28,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,4,0.0,0.5384615659713745
29,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,4,0.5,0.5384615659713745
30,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,8,0.0,0.5384615659713745
31,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,8,0.5,0.5384615659713745
32,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,16,0.0,0.5384615659713745
33,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,16,0.5,0.5384615659713745
34,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,32,0.0,0.5384615659713745
35,10.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,1024,32,0.5,0.5384615659713745
36,1.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,2,0.0,0.5384615659713745
37,1.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,2,0.5,0.5384615659713745
38,1.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,3,0.0,0.5384615659713745
39,1.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,3,0.5,0.5384615659713745
40,1.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,4,0.0,0.5384615659713745
41,1.0,rect,<function dropout at 0x7f94da3dea60>,3,0.49999999999999994,256,4,0.5,0.5384615659713745
