,activationFn,valAccuracy,nstart,nlayers,layerForm,dR,learningrate,testAccuracy,dropoutFn
81,3,0.5555555820465087,512,16,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
82,3,0.5555555820465087,512,16,rect,0.0,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
83,3,0.6685185372829436,512,16,rect,0.0,0.01,0.6548672318458557,<function dropout at 0x7f26f9045a60>
84,3,0.5555555820465087,512,16,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
85,3,0.5555555820465087,512,16,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
86,3,0.5555555820465087,512,16,rect,0.5,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
87,3,0.5481481611728668,512,16,rect,0.5,0.01,0.5752212405204773,<function dropout at 0x7f26f9045a60>
88,3,0.5555555820465087,512,32,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
89,3,0.5555555820465087,512,32,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
90,3,0.5555555820465087,512,32,rect,0.0,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
91,3,0.5814814984798432,512,32,rect,0.0,0.01,0.6548672318458557,<function dropout at 0x7f26f9045a60>
92,3,0.5555555820465087,512,32,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
93,3,0.5555555820465087,512,32,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
94,3,0.5555555820465087,512,32,rect,0.5,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
95,3,0.5555555820465087,512,32,rect,0.5,0.01,0.5840708017349243,<function dropout at 0x7f26f9045a60>
96,3,0.5555555820465087,1024,2,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
97,3,0.5555555820465087,1024,2,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
98,3,0.7777777910232543,1024,2,rect,0.0,0.1,0.6194690465927124,<function dropout at 0x7f26f9045a60>
99,3,0.7962963581085204,1024,2,rect,0.0,0.01,0.672566294670105,<function dropout at 0x7f26f9045a60>
100,3,0.5555555820465087,1024,2,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
101,3,0.5555555820465087,1024,2,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
102,3,0.7574074208736419,1024,2,rect,0.5,0.1,0.6637168526649475,<function dropout at 0x7f26f9045a60>
103,3,0.7592592895030975,1024,2,rect,0.5,0.01,0.6460176706314087,<function dropout at 0x7f26f9045a60>
104,3,0.5555555820465087,1024,3,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
105,3,0.5555555820465087,1024,3,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
106,3,0.7777777910232543,1024,3,rect,0.0,0.1,0.6725663542747498,<function dropout at 0x7f26f9045a60>
107,3,0.742592626810074,1024,3,rect,0.0,0.01,0.6371681094169617,<function dropout at 0x7f26f9045a60>
108,3,0.5555555820465087,1024,3,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
109,3,0.5555555820465087,1024,3,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
110,3,0.7703703761100769,1024,3,rect,0.5,0.1,0.6460176706314087,<function dropout at 0x7f26f9045a60>
111,3,0.6888889074325562,1024,3,rect,0.5,0.01,0.6194689869880676,<function dropout at 0x7f26f9045a60>
112,3,0.5555555820465087,1024,4,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
113,3,0.5555555820465087,1024,4,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
114,3,0.7648148357868193,1024,4,rect,0.0,0.1,0.7079645991325378,<function dropout at 0x7f26f9045a60>
115,3,0.7777777910232543,1024,4,rect,0.0,0.01,0.6637167930603027,<function dropout at 0x7f26f9045a60>
116,3,0.5555555820465087,1024,4,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
117,3,0.5555555820465087,1024,4,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
118,3,0.7833333551883697,1024,4,rect,0.5,0.1,0.6283185482025146,<function dropout at 0x7f26f9045a60>
119,3,0.7407407760620118,1024,4,rect,0.5,0.01,0.6283185482025146,<function dropout at 0x7f26f9045a60>
120,3,0.5555555820465087,1024,8,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
121,3,0.5555555820465087,1024,8,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
122,3,0.5555555820465087,1024,8,rect,0.0,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
123,3,0.7203703582286837,1024,8,rect,0.0,0.01,0.6371681094169617,<function dropout at 0x7f26f9045a60>
124,3,0.5555555820465087,1024,8,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
125,3,0.5555555820465087,1024,8,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
126,3,0.5555555820465087,1024,8,rect,0.5,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
127,3,0.6740740954875946,1024,8,rect,0.5,0.01,0.5840708017349243,<function dropout at 0x7f26f9045a60>
128,3,0.5555555820465087,1024,16,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
129,3,0.5555555820465087,1024,16,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
130,3,0.5555555820465087,1024,16,rect,0.0,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
131,3,0.7777777910232543,1024,16,rect,0.0,0.01,0.6991150379180908,<function dropout at 0x7f26f9045a60>
132,3,0.5555555820465087,1024,16,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
133,3,0.5555555820465087,1024,16,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
134,3,0.5555555820465087,1024,16,rect,0.5,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
135,3,0.5555555820465087,1024,16,rect,0.5,0.01,0.5840708017349243,<function dropout at 0x7f26f9045a60>
136,3,0.5555555820465087,1024,32,rect,0.0,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
137,3,0.5555555820465087,1024,32,rect,0.0,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
138,3,0.5555555820465087,1024,32,rect,0.0,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
139,3,0.6111111640930177,1024,32,rect,0.0,0.01,0.6283185482025146,<function dropout at 0x7f26f9045a60>
140,3,0.5555555820465087,1024,32,rect,0.5,10.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
141,3,0.5555555820465087,1024,32,rect,0.5,1.0,0.5840708017349243,<function dropout at 0x7f26f9045a60>
142,3,0.5555555820465087,1024,32,rect,0.5,0.1,0.5840708017349243,<function dropout at 0x7f26f9045a60>
143,3,0.5555555820465087,1024,32,rect,0.5,0.01,0.5840708017349243,<function dropout at 0x7f26f9045a60>
