,learningrate,testAccuracy,activationFn,dR,nstart,layerForm,valAccuracy,dropoutFn,nlayers
0,10.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
1,10.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
2,10.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
3,10.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
4,10.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
5,10.0,0.3207547068595886,3,0.0,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
6,10.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
7,10.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
8,10.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
9,10.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
10,10.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
11,10.0,0.3207547068595886,3,0.0,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
12,10.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
13,10.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
14,10.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
15,10.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
16,10.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
17,10.0,0.3207547068595886,3,0.0,1024,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
18,10.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
19,10.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
20,10.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,4
21,10.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,8
22,10.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,16
23,10.0,0.3207547068595886,3,0.5,256,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,32
24,10.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,2
25,10.0,0.3207547068595886,3,0.5,512,rect,0.32142859697341924,<function dropout at 0x7ff6836f7a60>,3
