,learningrate,dR,nlayers,testAccuracy,dropoutFn,layerForm,valAccuracy,nstart,activationFn
0,10.0,0.0,2,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772736549378,256,3
1,10.0,0.0,2,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
2,10.0,0.0,2,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
3,10.0,0.0,3,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,256,3
4,10.0,0.0,3,0.1150442510843277,<function dropout at 0x7fe22eb9ba60>,cone,0.10472279787063597,512,3
5,10.0,0.0,3,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
6,10.0,0.0,4,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,256,3
7,10.0,0.0,4,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772855758667,512,3
8,10.0,0.0,4,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.895277315378189,1024,3
9,10.0,0.0,8,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772736549378,256,3
10,10.0,0.0,8,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
11,10.0,0.0,8,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8162218153476715,1024,3
12,10.0,0.0,16,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,256,3
13,10.0,0.0,16,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,512,3
14,10.0,0.0,16,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
15,10.0,0.0,32,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,256,3
16,10.0,0.0,32,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
17,10.0,0.0,32,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772974967956,1024,3
18,10.0,0.5,2,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,256,3
19,10.0,0.5,2,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,512,3
20,10.0,0.5,2,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
21,10.0,0.5,3,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772736549378,256,3
22,10.0,0.5,3,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952773034572601,512,3
23,10.0,0.5,3,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772736549378,1024,3
24,10.0,0.5,4,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,256,3
25,10.0,0.5,4,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772557735443,512,3
26,10.0,0.5,4,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
27,10.0,0.5,8,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,256,3
28,10.0,0.5,8,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,512,3
29,10.0,0.5,8,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
30,10.0,0.5,16,0.884955644607544,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,256,3
31,10.0,0.5,16,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
32,10.0,0.5,16,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772676944734,1024,3
33,10.0,0.5,32,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952773094177245,256,3
34,10.0,0.5,32,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
35,10.0,0.5,32,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772796154023,1024,3
36,1.0,0.0,2,0.8893805742263794,<function dropout at 0x7fe22eb9ba60>,cone,0.9057495415210723,256,3
37,1.0,0.0,2,0.8849557638168335,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,512,3
38,1.0,0.0,2,0.8849557042121887,<function dropout at 0x7fe22eb9ba60>,cone,0.8952772617340088,1024,3
