,nlayers,valAccuracy,layerForm,dropoutFn,nstart,dR,learningrate,activationFn,testAccuracy
0,2,0.7078651189804076,cone,<function dropout at 0x7f4715061a60>,256,0.0,10.0,3,0.701388955116272
1,2,0.9764044821262361,cone,<function dropout at 0x7f4715061a60>,256,0.0,1.0,3,0.9745370149612427
2,2,0.9842696607112886,cone,<function dropout at 0x7f4715061a60>,256,0.0,0.1,3,0.9675925970077515
3,2,0.9213482141494753,cone,<function dropout at 0x7f4715061a60>,256,0.0,0.01,3,0.9027777910232544
4,2,0.050561800599098206,cone,<function dropout at 0x7f4715061a60>,256,0.5,10.0,3,0.03703703731298447
5,2,0.9578651547431947,cone,<function dropout at 0x7f4715061a60>,256,0.5,1.0,3,0.9189814925193787
6,2,0.9382021427154541,cone,<function dropout at 0x7f4715061a60>,256,0.5,0.1,3,0.9328703880310059
7,2,0.8910111427307131,cone,<function dropout at 0x7f4715061a60>,256,0.5,0.01,3,0.8773148655891418
8,2,0.050561800599098206,cone,<function dropout at 0x7f4715061a60>,512,0.0,10.0,3,0.03703703731298447
9,2,0.8735954701900481,cone,<function dropout at 0x7f4715061a60>,512,0.0,1.0,3,0.9004629850387573
10,2,0.9752808988094329,cone,<function dropout at 0x7f4715061a60>,512,0.0,0.1,3,0.9629629254341125
11,2,0.9353931903839111,cone,<function dropout at 0x7f4715061a60>,512,0.0,0.01,3,0.9282407760620117
12,2,0.050561800599098206,cone,<function dropout at 0x7f4715061a60>,512,0.5,10.0,3,0.03703703731298447
13,2,0.8831460177898408,cone,<function dropout at 0x7f4715061a60>,512,0.5,1.0,3,0.8981481790542603
14,2,0.9561796963214875,cone,<function dropout at 0x7f4715061a60>,512,0.5,0.1,3,0.9305556416511536
15,2,0.8842695832252504,cone,<function dropout at 0x7f4715061a60>,512,0.5,0.01,3,0.8958333730697632
16,2,0.050561800599098206,cone,<function dropout at 0x7f4715061a60>,1024,0.0,10.0,3,0.03703703731298447
17,2,0.19662920832633976,cone,<function dropout at 0x7f4715061a60>,1024,0.0,1.0,3,0.2222222238779068
18,2,0.9848314702510835,cone,<function dropout at 0x7f4715061a60>,1024,0.0,0.1,3,0.9745370745658875
19,2,0.923033607006073,cone,<function dropout at 0x7f4715061a60>,1024,0.0,0.01,3,0.9328703284263611
20,2,0.050561800599098206,cone,<function dropout at 0x7f4715061a60>,1024,0.5,10.0,3,0.03703703731298447
21,2,0.08370786458253861,cone,<function dropout at 0x7f4715061a60>,1024,0.5,1.0,3,0.03703703731298447
22,2,0.9483145654201508,cone,<function dropout at 0x7f4715061a60>,1024,0.5,0.1,3,0.923611044883728
23,2,0.9101122617721558,cone,<function dropout at 0x7f4715061a60>,1024,0.5,0.01,3,0.9050925970077515
24,3,0.050561800599098206,cone,<function dropout at 0x7f4715061a60>,256,0.0,10.0,3,0.03703703731298447
25,3,0.7078651189804076,cone,<function dropout at 0x7f4715061a60>,256,0.0,1.0,3,0.701388955116272
26,3,0.9949438273906708,cone,<function dropout at 0x7f4715061a60>,256,0.0,0.1,3,0.9699074625968933
27,3,0.939325749874115,cone,<function dropout at 0x7f4715061a60>,256,0.0,0.01,3,0.9305555820465088
28,3,0.050561800599098206,cone,<function dropout at 0x7f4715061a60>,256,0.5,10.0,3,0.03703703731298447
29,3,0.08314607292413712,cone,<function dropout at 0x7f4715061a60>,256,0.5,1.0,3,0.03703703731298447
30,3,0.9410111784934998,cone,<function dropout at 0x7f4715061a60>,256,0.5,0.1,3,0.9375000596046448
31,3,0.856741487979889,cone,<function dropout at 0x7f4715061a60>,256,0.5,0.01,3,0.8518519401550293
32,3,0.050561800599098206,cone,<function dropout at 0x7f4715061a60>,512,0.0,10.0,3,0.03703703731298447
33,3,0.08370787054300309,cone,<function dropout at 0x7f4715061a60>,512,0.0,1.0,3,0.03703703731298447
34,3,0.9932584345340728,cone,<function dropout at 0x7f4715061a60>,512,0.0,0.1,3,0.9837964177131653
35,3,0.9499998927116395,cone,<function dropout at 0x7f4715061a60>,512,0.0,0.01,3,0.9421296119689941
36,3,0.050561800599098206,cone,<function dropout at 0x7f4715061a60>,512,0.5,10.0,3,0.03703703731298447
37,3,0.11629213243722916,cone,<function dropout at 0x7f4715061a60>,512,0.5,1.0,3,0.03703703731298447
38,3,0.9589887142181396,cone,<function dropout at 0x7f4715061a60>,512,0.5,0.1,3,0.9166666865348816
39,3,0.8943819284439087,cone,<function dropout at 0x7f4715061a60>,512,0.5,0.01,3,0.8773148059844971
