,nstart,nlayers,layerForm,testAccuracy,dropoutFn,learningrate,dR,valAccuracy,activationFn
0,256,2,rect,0.7796609401702881,<function dropout at 0x7f31cfc19a60>,10.0,0.0,0.7824267745018006,3
1,256,2,rect,0.7796610593795776,<function dropout at 0x7f31cfc19a60>,10.0,0.5,0.7824267685413361,3
2,256,2,rect,0.7796609401702881,<function dropout at 0x7f31cfc19a60>,1.0,0.0,0.7824267506599427,3
3,256,2,rect,0.7796610593795776,<function dropout at 0x7f31cfc19a60>,1.0,0.5,0.7824267208576202,3
4,256,2,rect,0.907721221446991,<function dropout at 0x7f31cfc19a60>,0.1,0.0,0.9138074457645415,3
5,256,2,rect,0.902071475982666,<function dropout at 0x7f31cfc19a60>,0.1,0.5,0.9092049837112427,3
6,256,2,rect,0.8926553726196289,<function dropout at 0x7f31cfc19a60>,0.01,0.0,0.9150627255439758,3
7,256,2,rect,0.8832390904426575,<function dropout at 0x7f31cfc19a60>,0.01,0.5,0.9066945135593414,3
8,256,3,rect,0.7796609997749329,<function dropout at 0x7f31cfc19a60>,10.0,0.0,0.7824267566204072,3
9,256,3,rect,0.7796609401702881,<function dropout at 0x7f31cfc19a60>,10.0,0.5,0.7824267625808716,3
10,256,3,rect,0.7796609401702881,<function dropout at 0x7f31cfc19a60>,1.0,0.0,0.7824267566204071,3
11,256,3,rect,0.7796609997749329,<function dropout at 0x7f31cfc19a60>,1.0,0.5,0.7824267506599426,3
12,256,3,rect,0.9096044898033142,<function dropout at 0x7f31cfc19a60>,0.1,0.0,0.9079497337341309,3
13,256,3,rect,0.8700565099716187,<function dropout at 0x7f31cfc19a60>,0.1,0.5,0.8979079246520996,3
14,256,3,rect,0.8945385813713074,<function dropout at 0x7f31cfc19a60>,0.01,0.0,0.9138074815273285,3
15,256,3,rect,0.8455743193626404,<function dropout at 0x7f31cfc19a60>,0.01,0.5,0.8698744356632233,3
16,256,4,rect,0.7796609401702881,<function dropout at 0x7f31cfc19a60>,10.0,0.0,0.7824267446994781,3
17,256,4,rect,0.7796609401702881,<function dropout at 0x7f31cfc19a60>,10.0,0.5,0.7824267685413362,3
18,256,4,rect,0.7796609401702881,<function dropout at 0x7f31cfc19a60>,1.0,0.0,0.7824267446994783,3
19,256,4,rect,0.7796609401702881,<function dropout at 0x7f31cfc19a60>,1.0,0.5,0.7824267506599426,3
