,layerForm,nstart,testAccuracy,valAccuracy,learningrate,dropoutFn,activationFn,nlayers,dR
0,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
1,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
2,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
3,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
4,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
5,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
6,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
7,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
8,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
9,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
10,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
11,cone,256,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
12,cone,256,0.4325000047683716,0.44497354924678806,1.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
13,cone,256,0.492499977350235,0.48306877613067634,1.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
14,cone,256,0.4325000047683716,0.4142856955528259,1.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
15,cone,256,0.3974999785423279,0.42645502090454096,1.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
16,cone,256,0.3974999785423279,0.37037036418914787,1.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
17,cone,256,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
18,cone,256,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
19,cone,256,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
20,cone,256,0.4325000047683716,0.43121693134307865,1.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
21,cone,256,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
22,cone,256,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
23,cone,256,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
24,cone,256,0.6024999618530273,0.6560846447944642,0.1,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
25,cone,256,0.6025000214576721,0.6529100537300111,0.1,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
26,cone,256,0.5849999785423279,0.6608465552330017,0.1,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
27,cone,256,0.5949999690055847,0.6476190209388734,0.1,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
28,cone,256,0.5899999141693115,0.6746031641960144,0.1,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
29,cone,256,0.5774999856948853,0.6455026090145112,0.1,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
30,cone,256,0.5674999356269836,0.6693121433258058,0.1,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
31,cone,256,0.48249998688697815,0.5010581970214844,0.1,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
32,cone,256,0.6149999499320984,0.651322740316391,0.1,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
33,cone,256,0.004999999888241291,0.0,0.1,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
34,cone,256,0.5550000071525574,0.6576719522476195,0.1,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
35,cone,256,0.004999999888241291,0.0,0.1,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
36,cone,256,0.574999988079071,0.6280423164367676,0.01,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
37,cone,256,0.5974999666213989,0.6201057970523834,0.01,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
38,cone,256,0.5824999809265137,0.6656084537506103,0.01,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
39,cone,256,0.574999988079071,0.6386243045330047,0.01,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
40,cone,256,0.5824999809265137,0.7074074029922486,0.01,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
41,cone,256,0.5799999833106995,0.6370370030403139,0.01,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
42,cone,256,0.5874999761581421,0.6851851820945739,0.01,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
43,cone,256,0.48499998450279236,0.5534391403198242,0.01,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
44,cone,256,0.5849999785423279,0.6698412358760835,0.01,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
45,cone,256,0.49000000953674316,0.5703703463077545,0.01,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
46,cone,256,0.5524999499320984,0.5894179642200469,0.01,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
47,cone,256,0.004999999888241291,0.0,0.01,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
48,cone,512,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
49,cone,512,0.35500001907348633,0.031216931343078614,10.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
50,cone,512,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
51,cone,512,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
52,cone,512,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
53,cone,512,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
54,cone,512,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
55,cone,512,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
56,cone,512,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
57,cone,512,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
58,cone,512,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
59,cone,512,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
60,cone,512,0.4325000047683716,0.49206349253654474,1.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
61,cone,512,0.08499999344348907,0.38730158135294906,1.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
62,cone,512,0.3974999785423279,0.37037037611007695,1.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
63,cone,512,0.41749995946884155,0.0767195761203766,1.0,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
64,cone,512,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
65,cone,512,0.02749999798834324,0.00317460298538208,1.0,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
66,cone,512,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
67,cone,512,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
68,cone,512,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
69,cone,512,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
70,cone,512,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
71,cone,512,0.004999999888241291,0.0,1.0,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
72,cone,512,0.5924999713897705,0.6666666567325592,0.1,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
73,cone,512,0.6049999594688416,0.653968244791031,0.1,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
74,cone,512,0.5774999856948853,0.6666666507720947,0.1,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
75,cone,512,0.6149999499320984,0.6402116119861604,0.1,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
76,cone,512,0.5874999761581421,0.6402116179466247,0.1,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
77,cone,512,0.574999988079071,0.6513227343559266,0.1,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
78,cone,512,0.5824999809265137,0.6698412418365479,0.1,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
79,cone,512,0.5099999904632568,0.5195767015218735,0.1,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
80,cone,512,0.574999988079071,0.6375661313533784,0.1,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
81,cone,512,0.004999999888241291,0.0,0.1,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
82,cone,512,0.5974999666213989,0.6502645254135131,0.1,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
83,cone,512,0.004999999888241291,0.0,0.1,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
84,cone,512,0.5924999713897705,0.6523809492588043,0.01,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
85,cone,512,0.5699999332427979,0.5910052657127381,0.01,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
86,cone,512,0.5974999666213989,0.6613756358623506,0.01,<function dropout at 0x7fcb5cfe1a60>,3,3,0.0
87,cone,512,0.5949999690055847,0.6391534447669983,0.01,<function dropout at 0x7fcb5cfe1a60>,3,3,0.5
88,cone,512,0.5974999666213989,0.6740740656852723,0.01,<function dropout at 0x7fcb5cfe1a60>,3,4,0.0
89,cone,512,0.5674999356269836,0.6751322627067566,0.01,<function dropout at 0x7fcb5cfe1a60>,3,4,0.5
90,cone,512,0.6175000071525574,0.674603146314621,0.01,<function dropout at 0x7fcb5cfe1a60>,3,8,0.0
91,cone,512,0.3974999785423279,0.46825396120548257,0.01,<function dropout at 0x7fcb5cfe1a60>,3,8,0.5
92,cone,512,0.6024999618530273,0.67037034034729,0.01,<function dropout at 0x7fcb5cfe1a60>,3,16,0.0
93,cone,512,0.38249996304512024,0.37460317015647887,0.01,<function dropout at 0x7fcb5cfe1a60>,3,16,0.5
94,cone,512,0.6024999618530273,0.6412698268890382,0.01,<function dropout at 0x7fcb5cfe1a60>,3,32,0.0
95,cone,512,0.004999999888241291,0.0,0.01,<function dropout at 0x7fcb5cfe1a60>,3,32,0.5
96,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.0
97,cone,1024,0.004999999888241291,0.0,10.0,<function dropout at 0x7fcb5cfe1a60>,3,2,0.5
