,nstart,activationFn,nlayers,testAccuracy,layerForm,valAccuracy,dR,learningrate,dropoutFn
0,256,3,2,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
1,256,3,2,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
2,256,3,2,0.9731861352920532,rect,0.9580882310867309,0.0,0.1,<function dropout at 0x7fc77080ba60>
3,256,3,2,0.9716088771820068,rect,0.9558823108673097,0.0,0.01,<function dropout at 0x7fc77080ba60>
4,256,3,2,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
5,256,3,2,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
6,256,3,2,0.9731862545013428,rect,0.9547793865203859,0.5,0.1,<function dropout at 0x7fc77080ba60>
7,256,3,2,0.9716089963912964,rect,0.9558823108673097,0.5,0.01,<function dropout at 0x7fc77080ba60>
8,256,3,3,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
9,256,3,3,0.9716088771820068,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
10,256,3,3,0.9747635126113892,rect,0.9569852828979493,0.0,0.1,<function dropout at 0x7fc77080ba60>
11,256,3,3,0.9747635126113892,rect,0.9562499642372133,0.0,0.01,<function dropout at 0x7fc77080ba60>
12,256,3,3,0.9716089963912964,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
13,256,3,3,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
14,256,3,3,0.9574134349822998,rect,0.9547793745994569,0.5,0.1,<function dropout at 0x7fc77080ba60>
15,256,3,3,0.9700316190719604,rect,0.9544117450714112,0.5,0.01,<function dropout at 0x7fc77080ba60>
16,256,3,4,0.9716089963912964,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
17,256,3,4,0.9716089963912964,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
18,256,3,4,0.9731862545013428,rect,0.9555146694183351,0.0,0.1,<function dropout at 0x7fc77080ba60>
19,256,3,4,0.9716088771820068,rect,0.9558823108673097,0.0,0.01,<function dropout at 0x7fc77080ba60>
20,256,3,4,0.9716088771820068,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
21,256,3,4,0.9716088771820068,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
22,256,3,4,0.938485860824585,rect,0.9371323585510254,0.5,0.1,<function dropout at 0x7fc77080ba60>
23,256,3,4,0.9700316190719604,rect,0.9444852709770203,0.5,0.01,<function dropout at 0x7fc77080ba60>
24,256,3,8,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
25,256,3,8,0.9716089963912964,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
26,256,3,8,0.9432177543640137,rect,0.9547793984413148,0.0,0.1,<function dropout at 0x7fc77080ba60>
27,256,3,8,0.9716088771820068,rect,0.9514705896377563,0.0,0.01,<function dropout at 0x7fc77080ba60>
28,256,3,8,0.9716089963912964,rect,0.9558823108673097,0.5,10.0,<function dropout at 0x7fc77080ba60>
29,256,3,8,0.9716089963912964,rect,0.9558823108673097,0.5,1.0,<function dropout at 0x7fc77080ba60>
30,256,3,8,0.8328076601028442,rect,0.8713235437870024,0.5,0.1,<function dropout at 0x7fc77080ba60>
31,256,3,8,0.9668771028518677,rect,0.9551470518112183,0.5,0.01,<function dropout at 0x7fc77080ba60>
32,256,3,16,0.9716088771820068,rect,0.9558823108673097,0.0,10.0,<function dropout at 0x7fc77080ba60>
33,256,3,16,0.9716089367866516,rect,0.9558823108673097,0.0,1.0,<function dropout at 0x7fc77080ba60>
34,256,3,16,0.9716088771820068,rect,0.9558823108673097,0.0,0.1,<function dropout at 0x7fc77080ba60>
