,nstart,nlayers,testAccuracy,layerForm,activationFn,valAccuracy,dR,learningrate,dropoutFn
0,256,2,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
1,256,2,0.9816217422485352,rect,3,0.9763837695121766,0.0,1.0,<function dropout at 0x7fd76df1ba60>
2,256,2,0.9821621775627136,rect,3,0.9776137709617615,0.0,0.1,<function dropout at 0x7fd76df1ba60>
3,256,2,0.9810811281204224,rect,3,0.9798277854919434,0.0,0.01,<function dropout at 0x7fd76df1ba60>
4,256,2,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
5,256,2,0.9675676226615906,rect,3,0.9731857419013977,0.5,1.0,<function dropout at 0x7fd76df1ba60>
6,256,2,0.9329729676246643,rect,3,0.9509224891662598,0.5,0.1,<function dropout at 0x7fd76df1ba60>
7,256,2,0.8924323916435242,rect,3,0.9127921342849732,0.5,0.01,<function dropout at 0x7fd76df1ba60>
8,256,3,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
9,256,3,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
10,256,3,0.9821622371673584,rect,3,0.9778597950935363,0.0,0.1,<function dropout at 0x7fd76df1ba60>
11,256,3,0.9859460592269897,rect,3,0.976506793498993,0.0,0.01,<function dropout at 0x7fd76df1ba60>
12,256,3,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
13,256,3,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
14,256,3,0.8659459352493286,rect,3,0.9034440457820893,0.5,0.1,<function dropout at 0x7fd76df1ba60>
15,256,3,0.8264864683151245,rect,3,0.8484624624252318,0.5,0.01,<function dropout at 0x7fd76df1ba60>
16,256,4,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
17,256,4,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
18,256,4,0.9816216826438904,rect,3,0.9744157373905181,0.0,0.1,<function dropout at 0x7fd76df1ba60>
19,256,4,0.9843243360519409,rect,3,0.9801968574523926,0.0,0.01,<function dropout at 0x7fd76df1ba60>
20,256,4,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
21,256,4,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
22,256,4,0.86972975730896,rect,3,0.9046740710735323,0.5,0.1,<function dropout at 0x7fd76df1ba60>
23,256,4,0.8167567253112793,rect,3,0.8551045417785645,0.5,0.01,<function dropout at 0x7fd76df1ba60>
24,256,8,0.4951351583003998,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
25,256,8,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
26,256,8,0.9789189696311951,rect,3,0.9701107025146486,0.0,0.1,<function dropout at 0x7fd76df1ba60>
27,256,8,0.977837860584259,rect,3,0.9784747898578644,0.0,0.01,<function dropout at 0x7fd76df1ba60>
28,256,8,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
29,256,8,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
30,256,8,0.8567567467689514,rect,3,0.9179581701755524,0.5,0.1,<function dropout at 0x7fd76df1ba60>
31,256,8,0.5054054260253906,rect,3,0.5244772255420685,0.5,0.01,<function dropout at 0x7fd76df1ba60>
32,256,16,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
33,256,16,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
34,256,16,0.4951351284980774,rect,3,0.505535066127777,0.0,0.1,<function dropout at 0x7fd76df1ba60>
35,256,16,0.9740540981292725,rect,3,0.9630996346473694,0.0,0.01,<function dropout at 0x7fd76df1ba60>
36,256,16,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
37,256,16,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
38,256,16,0.4951351583003998,rect,3,0.505535066127777,0.5,0.1,<function dropout at 0x7fd76df1ba60>
39,256,16,0.5032432675361633,rect,3,0.4960639506578446,0.5,0.01,<function dropout at 0x7fd76df1ba60>
40,256,32,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
41,256,32,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
42,256,32,0.4951351284980774,rect,3,0.505535066127777,0.0,0.1,<function dropout at 0x7fd76df1ba60>
43,256,32,0.9675675630569458,rect,3,0.9623616695404053,0.0,0.01,<function dropout at 0x7fd76df1ba60>
44,256,32,0.4951351284980774,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
45,256,32,0.4951351583003998,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
46,256,32,0.4951351284980774,rect,3,0.505535066127777,0.5,0.1,<function dropout at 0x7fd76df1ba60>
47,256,32,0.4951351284980774,rect,3,0.505535066127777,0.5,0.01,<function dropout at 0x7fd76df1ba60>
48,512,2,0.4951351284980774,rect,3,0.505535066127777,0.0,10.0,<function dropout at 0x7fd76df1ba60>
49,512,2,0.4951351284980774,rect,3,0.505535066127777,0.0,1.0,<function dropout at 0x7fd76df1ba60>
50,512,2,0.9805406332015991,rect,3,0.9771217823028565,0.0,0.1,<function dropout at 0x7fd76df1ba60>
51,512,2,0.9864864945411682,rect,3,0.9810577988624573,0.0,0.01,<function dropout at 0x7fd76df1ba60>
52,512,2,0.4951351583003998,rect,3,0.505535066127777,0.5,10.0,<function dropout at 0x7fd76df1ba60>
53,512,2,0.4951351284980774,rect,3,0.505535066127777,0.5,1.0,<function dropout at 0x7fd76df1ba60>
