,activationFn,learningrate,valAccuracy,layerForm,dR,nstart,dropoutFn,nlayers,testAccuracy
0,3,10.0,0.5233644247055054,cone,0.0,256,<function dropout at 0x7fa218fd5a60>,2,0.5375000238418579
1,3,10.0,0.5233644247055054,cone,0.0,256,<function dropout at 0x7fa218fd5a60>,3,0.5375000834465027
2,3,10.0,0.5233644247055054,cone,0.0,256,<function dropout at 0x7fa218fd5a60>,4,0.5375000834465027
3,3,10.0,0.5233644247055054,cone,0.0,256,<function dropout at 0x7fa218fd5a60>,8,0.5375000834465027
4,3,10.0,0.5233644247055054,cone,0.0,256,<function dropout at 0x7fa218fd5a60>,16,0.5375000834465027
5,3,10.0,0.5093457490205765,cone,0.0,256,<function dropout at 0x7fa218fd5a60>,32,0.5375000834465027
6,3,10.0,0.5233644247055054,cone,0.0,512,<function dropout at 0x7fa218fd5a60>,2,0.5375000238418579
7,3,10.0,0.4766355067491532,cone,0.0,512,<function dropout at 0x7fa218fd5a60>,3,0.46250003576278687
8,3,10.0,0.5233644247055054,cone,0.0,512,<function dropout at 0x7fa218fd5a60>,4,0.5375000834465027
9,3,10.0,0.5233644247055054,cone,0.0,512,<function dropout at 0x7fa218fd5a60>,8,0.5375000238418579
10,3,10.0,0.5233644247055054,cone,0.0,512,<function dropout at 0x7fa218fd5a60>,16,0.5375000834465027
11,3,10.0,0.5233644247055054,cone,0.0,512,<function dropout at 0x7fa218fd5a60>,32,0.5375000238418579
12,3,10.0,0.5233644247055054,cone,0.0,1024,<function dropout at 0x7fa218fd5a60>,2,0.5375000834465027
13,3,10.0,0.5233644247055054,cone,0.0,1024,<function dropout at 0x7fa218fd5a60>,3,0.5375000238418579
14,3,10.0,0.5233644247055054,cone,0.0,1024,<function dropout at 0x7fa218fd5a60>,4,0.5375000238418579
15,3,10.0,0.5233644247055054,cone,0.0,1024,<function dropout at 0x7fa218fd5a60>,8,0.5375000834465027
16,3,10.0,0.5046728610992433,cone,0.0,1024,<function dropout at 0x7fa218fd5a60>,16,0.5375000834465027
17,3,10.0,0.48130839765071876,cone,0.0,1024,<function dropout at 0x7fa218fd5a60>,32,0.46250003576278687
18,3,10.0,0.5233644247055054,cone,0.5,256,<function dropout at 0x7fa218fd5a60>,2,0.5375000238418579
19,3,10.0,0.5233644247055054,cone,0.5,256,<function dropout at 0x7fa218fd5a60>,3,0.5375000238418579
20,3,10.0,0.5233644247055054,cone,0.5,256,<function dropout at 0x7fa218fd5a60>,4,0.5375000238418579
21,3,10.0,0.5233644247055054,cone,0.5,256,<function dropout at 0x7fa218fd5a60>,8,0.5375000238418579
22,3,10.0,0.5233644247055054,cone,0.5,256,<function dropout at 0x7fa218fd5a60>,16,0.5375000238418579
23,3,10.0,0.5233644247055054,cone,0.5,256,<function dropout at 0x7fa218fd5a60>,32,0.5375000238418579
24,3,10.0,0.5233644247055054,cone,0.5,512,<function dropout at 0x7fa218fd5a60>,2,0.5375000238418579
25,3,10.0,0.5233644247055054,cone,0.5,512,<function dropout at 0x7fa218fd5a60>,3,0.5375000238418579
26,3,10.0,0.5233644247055054,cone,0.5,512,<function dropout at 0x7fa218fd5a60>,4,0.5375000238418579
27,3,10.0,0.5233644247055054,cone,0.5,512,<function dropout at 0x7fa218fd5a60>,8,0.5375000834465027
28,3,10.0,0.5233644247055054,cone,0.5,512,<function dropout at 0x7fa218fd5a60>,16,0.5375000238418579
29,3,10.0,0.5233644247055054,cone,0.5,512,<function dropout at 0x7fa218fd5a60>,32,0.5375000238418579
30,3,10.0,0.5233644247055054,cone,0.5,1024,<function dropout at 0x7fa218fd5a60>,2,0.5375000238418579
31,3,10.0,0.5233644247055054,cone,0.5,1024,<function dropout at 0x7fa218fd5a60>,3,0.5375000238418579
32,3,10.0,0.5233644247055054,cone,0.5,1024,<function dropout at 0x7fa218fd5a60>,4,0.5375000238418579
33,3,10.0,0.5233644247055054,cone,0.5,1024,<function dropout at 0x7fa218fd5a60>,8,0.5375000834465027
34,3,10.0,0.5233644247055054,cone,0.5,1024,<function dropout at 0x7fa218fd5a60>,16,0.5375000238418579
35,3,10.0,0.5233644247055054,cone,0.5,1024,<function dropout at 0x7fa218fd5a60>,32,0.5375000834465027
36,3,1.0,0.5504672348499299,cone,0.0,256,<function dropout at 0x7fa218fd5a60>,2,0.5375000834465027
37,3,1.0,0.5233644247055054,cone,0.0,256,<function dropout at 0x7fa218fd5a60>,3,0.5375000238418579
38,3,1.0,0.5046728551387787,cone,0.0,256,<function dropout at 0x7fa218fd5a60>,4,0.46250003576278687
39,3,1.0,0.8757008910179139,cone,0.0,256,<function dropout at 0x7fa218fd5a60>,8,0.833333432674408
