,learningrate,dR,layerForm,valAccuracy,activationFn,dropoutFn,testAccuracy,nstart,nlayers
0,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5970149040222168,256,2
1,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,256,3
2,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,256,4
3,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,256,8
4,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,256,16
5,10.0,0.0,cone,0.5214285731315613,3,<function dropout at 0x7efefb706a60>,0.447761207818985,256,32
6,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,512,2
7,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,512,3
8,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,512,4
9,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,512,8
10,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,512,16
11,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,512,32
12,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,1024,2
13,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,1024,3
14,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,1024,4
15,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,1024,8
16,10.0,0.0,cone,0.5214285731315613,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,1024,16
17,10.0,0.0,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,1024,32
18,10.0,0.5,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,256,2
19,10.0,0.5,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,256,3
20,10.0,0.5,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,256,4
21,10.0,0.5,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,256,8
22,10.0,0.5,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,256,16
23,10.0,0.5,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,256,32
24,10.0,0.5,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,512,2
25,10.0,0.5,cone,0.6071428656578064,3,<function dropout at 0x7efefb706a60>,0.5522388219833374,512,3
