,learningrate,nlayers,layerForm,dR,nstart,valAccuracy,dropoutFn,activationFn,testAccuracy
0,10.0,2,cone,0.0,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
1,10.0,2,cone,0.0,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
2,10.0,2,cone,0.0,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
3,10.0,2,cone,0.5,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
4,10.0,2,cone,0.5,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
5,10.0,2,cone,0.5,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
6,10.0,3,cone,0.0,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
7,10.0,3,cone,0.0,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
8,10.0,3,cone,0.0,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
9,10.0,3,cone,0.5,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
10,10.0,3,cone,0.5,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
11,10.0,3,cone,0.5,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
12,10.0,4,cone,0.0,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
13,10.0,4,cone,0.0,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
14,10.0,4,cone,0.0,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
15,10.0,4,cone,0.5,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
16,10.0,4,cone,0.5,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
17,10.0,4,cone,0.5,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
18,10.0,8,cone,0.0,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
19,10.0,8,cone,0.0,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
20,10.0,8,cone,0.0,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
21,10.0,8,cone,0.5,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
22,10.0,8,cone,0.5,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
23,10.0,8,cone,0.5,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
24,10.0,16,cone,0.0,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
25,10.0,16,cone,0.0,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
26,10.0,16,cone,0.0,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
27,10.0,16,cone,0.5,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
28,10.0,16,cone,0.5,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
29,10.0,16,cone,0.5,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
30,10.0,32,cone,0.0,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
31,10.0,32,cone,0.0,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
32,10.0,32,cone,0.0,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
33,10.0,32,cone,0.5,256,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
34,10.0,32,cone,0.5,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
35,10.0,32,cone,0.5,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
36,1.0,2,cone,0.0,256,0.8460000216960906,<function dropout at 0x7f57a239ba60>,3,0.26595747470855713
37,1.0,2,cone,0.0,512,0.06799999848008155,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
38,1.0,2,cone,0.0,1024,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
39,1.0,2,cone,0.5,256,0.08199999891221522,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
40,1.0,2,cone,0.5,512,0.10199999809265135,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
41,1.0,2,cone,0.5,1024,0.07199999839067459,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
42,1.0,3,cone,0.0,256,0.06999999843537806,<function dropout at 0x7f57a239ba60>,3,0.1356382966041565
43,1.0,3,cone,0.0,512,0.059999998658895486,<function dropout at 0x7f57a239ba60>,3,0.06648936122655869
