,learningrate,nlayers,activationFn,dropoutFn,nstart,layerForm,dR,testAccuracy,valAccuracy
0,10.0,2,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.35714286565780634
1,10.0,2,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.35714286565780634
2,10.0,2,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.35714286565780634
3,10.0,2,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
4,10.0,2,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.08021390438079834,0.3857142984867095
5,10.0,2,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.3857142984867095
6,10.0,3,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.35714286565780634
7,10.0,3,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.35714286565780634
8,10.0,3,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.35714286565780634
9,10.0,3,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
10,10.0,3,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.08021390438079834,0.35714286565780634
11,10.0,3,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
12,10.0,4,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.35714286565780634
13,10.0,4,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.35714286565780634
14,10.0,4,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.35714286565780634
15,10.0,4,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
16,10.0,4,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.08021390438079834,0.35714286565780634
17,10.0,4,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.5,0.08021390438079834,0.35714286565780634
18,10.0,8,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.0,0.08021390438079834,0.35714286565780634
19,10.0,8,3,<function dropout at 0x7f7fe502ca60>,256,cone,0.5,0.08021390438079834,0.35714286565780634
20,10.0,8,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.0,0.08021390438079834,0.35714286565780634
21,10.0,8,3,<function dropout at 0x7f7fe502ca60>,512,cone,0.5,0.08021390438079834,0.35714286565780634
22,10.0,8,3,<function dropout at 0x7f7fe502ca60>,1024,cone,0.0,0.08021390438079834,0.35714286565780634
