,dR,testAccuracy,valAccuracy,activationFn,nlayers,nstart,dropoutFn,learningrate,layerForm
0,0.0,0.4418604373931885,0.54054057598114,3,2,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
1,0.0,0.4418604373931885,0.54054057598114,3,2,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
2,0.0,0.8430231809616089,0.8459459722042083,3,2,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
3,0.0,0.84883713722229,0.8378378748893737,3,2,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
4,0.0,0.44186049699783325,0.54054057598114,3,2,512,<function dropout at 0x7fcb1e66ea60>,10.0,rect
5,0.0,0.44186049699783325,0.54054057598114,3,2,512,<function dropout at 0x7fcb1e66ea60>,1.0,rect
6,0.0,0.8546512126922607,0.8243243515491486,3,2,512,<function dropout at 0x7fcb1e66ea60>,0.1,rect
7,0.0,0.8604650497436523,0.8581081330776215,3,2,512,<function dropout at 0x7fcb1e66ea60>,0.01,rect
8,0.0,0.44186046719551086,0.54054057598114,3,2,1024,<function dropout at 0x7fcb1e66ea60>,10.0,rect
9,0.0,0.44186046719551086,0.54054057598114,3,2,1024,<function dropout at 0x7fcb1e66ea60>,1.0,rect
10,0.0,0.8546512126922607,0.8554054319858552,3,2,1024,<function dropout at 0x7fcb1e66ea60>,0.1,rect
11,0.0,0.883720874786377,0.8783783912658693,3,2,1024,<function dropout at 0x7fcb1e66ea60>,0.01,rect
12,0.0,0.4418604373931885,0.54054057598114,3,3,256,<function dropout at 0x7fcb1e66ea60>,10.0,rect
13,0.0,0.4418604373931885,0.54054057598114,3,3,256,<function dropout at 0x7fcb1e66ea60>,1.0,rect
14,0.0,0.8720929622650146,0.8175676167011261,3,3,256,<function dropout at 0x7fcb1e66ea60>,0.1,rect
15,0.0,0.8604650497436523,0.8297297716140748,3,3,256,<function dropout at 0x7fcb1e66ea60>,0.01,rect
