,learningrate,dR,nlayers,layerForm,nstart,dropoutFn,activationFn,valAccuracy,testAccuracy
26,10.0,0.5,4,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
27,10.0,0.5,8,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647057771682739
28,10.0,0.5,8,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
29,10.0,0.5,8,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
30,10.0,0.5,16,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
31,10.0,0.5,16,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
32,10.0,0.5,16,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
33,10.0,0.5,32,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
34,10.0,0.5,32,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
35,10.0,0.5,32,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
36,1.0,0.0,2,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
37,1.0,0.0,2,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8148648619651796,0.7647058963775635
38,1.0,0.0,2,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647057771682739
39,1.0,0.0,3,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
40,1.0,0.0,3,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647057771682739
41,1.0,0.0,3,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
42,1.0,0.0,4,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
43,1.0,0.0,4,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647057771682739
44,1.0,0.0,4,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
45,1.0,0.0,8,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
46,1.0,0.0,8,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
47,1.0,0.0,8,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
48,1.0,0.0,16,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
49,1.0,0.0,16,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
50,1.0,0.0,16,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
51,1.0,0.0,32,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
52,1.0,0.0,32,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
53,1.0,0.0,32,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
54,1.0,0.5,2,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
55,1.0,0.5,2,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
56,1.0,0.5,2,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
57,1.0,0.5,3,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647057771682739
58,1.0,0.5,3,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
59,1.0,0.5,3,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
60,1.0,0.5,4,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
61,1.0,0.5,4,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
62,1.0,0.5,4,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
63,1.0,0.5,8,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647057771682739
64,1.0,0.5,8,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
65,1.0,0.5,8,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
66,1.0,0.5,16,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647057771682739
67,1.0,0.5,16,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
68,1.0,0.5,16,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
69,1.0,0.5,32,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058367729187
70,1.0,0.5,32,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647058963775635
71,1.0,0.5,32,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108043670655,0.7647057771682739
72,0.1,0.0,2,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.8216216921806337,0.7807486057281494
73,0.1,0.0,2,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8283784389495851,0.7860962152481079
74,0.1,0.0,2,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.8108108460903168,0.7914438247680664
75,0.1,0.0,3,rect,256,<function dropout at 0x7f8b8332aa60>,3,0.820270335674286,0.7967914342880249
76,0.1,0.0,3,rect,512,<function dropout at 0x7f8b8332aa60>,3,0.8067568182945252,0.7967914342880249
77,0.1,0.0,3,rect,1024,<function dropout at 0x7f8b8332aa60>,3,0.828378450870514,0.7967914342880249
