,nlayers,testAccuracy,dropoutFn,valAccuracy,dR,activationFn,nstart,learningrate,layerForm
0,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.0,3,256,10.0,rect
1,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.0,3,256,1.0,rect
2,2,0.71875,<function dropout at 0x7f1857c90a60>,0.7493827462196351,0.0,3,256,0.1,rect
3,2,0.78125,<function dropout at 0x7f1857c90a60>,0.7629629850387574,0.0,3,256,0.01,rect
4,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.0,3,512,10.0,rect
5,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.0,3,512,1.0,rect
6,2,0.7187501192092896,<function dropout at 0x7f1857c90a60>,0.7407407581806185,0.0,3,512,0.1,rect
7,2,0.6927083730697632,<function dropout at 0x7f1857c90a60>,0.7308642387390136,0.0,3,512,0.01,rect
8,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.0,3,1024,10.0,rect
9,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.6049382746219636,0.0,3,1024,1.0,rect
10,2,0.6666666865348816,<function dropout at 0x7f1857c90a60>,0.7320987939834596,0.0,3,1024,0.1,rect
11,2,0.7447916865348816,<function dropout at 0x7f1857c90a60>,0.7358025074005128,0.0,3,1024,0.01,rect
12,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.5,3,256,10.0,rect
13,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.5,3,256,1.0,rect
14,2,0.7343750596046448,<function dropout at 0x7f1857c90a60>,0.7530864477157594,0.5,3,256,0.1,rect
15,2,0.734375,<function dropout at 0x7f1857c90a60>,0.7518518805503847,0.5,3,256,0.01,rect
16,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.5,3,512,10.0,rect
17,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.5,3,512,1.0,rect
18,2,0.7447917461395264,<function dropout at 0x7f1857c90a60>,0.7469135999679567,0.5,3,512,0.1,rect
19,2,0.7708333730697632,<function dropout at 0x7f1857c90a60>,0.7469136118888855,0.5,3,512,0.01,rect
20,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.5,3,1024,10.0,rect
21,2,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.5,3,1024,1.0,rect
22,2,0.7291667461395264,<function dropout at 0x7f1857c90a60>,0.7345679402351379,0.5,3,1024,0.1,rect
23,2,0.7291666865348816,<function dropout at 0x7f1857c90a60>,0.7543210148811341,0.5,3,1024,0.01,rect
24,3,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.0,3,256,10.0,rect
25,3,0.6510416865348816,<function dropout at 0x7f1857c90a60>,0.604938268661499,0.0,3,256,1.0,rect
26,3,0.7239583730697632,<function dropout at 0x7f1857c90a60>,0.7407407760620119,0.0,3,256,0.1,rect
