,nstart,dropoutFn,testAccuracy,learningrate,dR,nlayers,activationFn,layerForm,valAccuracy
0,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,2,3,cone,0.48314607143402094
1,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,3,3,cone,0.48314607143402094
2,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,4,3,cone,0.48314607143402094
3,256,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,10.0,0.0,8,3,cone,0.48314607143402094
4,256,<function dropout at 0x7f3521ae9a60>,0.3489583432674408,10.0,0.0,16,3,cone,0.4067415699362754
5,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,32,3,cone,0.48314607143402094
6,256,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,10.0,0.5,2,3,cone,0.48314607143402094
7,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,3,3,cone,0.48314607143402094
8,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,4,3,cone,0.48314607143402094
9,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,8,3,cone,0.48314607143402094
10,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,16,3,cone,0.48314607143402094
11,256,<function dropout at 0x7f3521ae9a60>,0.47395840287208557,10.0,0.5,32,3,cone,0.48314607143402094
12,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.0,2,3,cone,0.48314607143402094
13,256,<function dropout at 0x7f3521ae9a60>,0.3489583432674408,1.0,0.0,3,3,cone,0.37752808630466456
14,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.0,4,3,cone,0.48314607143402094
15,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.0,8,3,cone,0.48314607143402094
16,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.0,16,3,cone,0.48314607143402094
17,256,<function dropout at 0x7f3521ae9a60>,0.3489583730697632,1.0,0.0,32,3,cone,0.4674157321453094
18,256,<function dropout at 0x7f3521ae9a60>,0.47395840287208557,1.0,0.5,2,3,cone,0.48314607143402094
19,256,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,1.0,0.5,3,3,cone,0.48314607143402094
20,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.5,4,3,cone,0.48314607143402094
21,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.5,8,3,cone,0.48314607143402094
22,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.5,16,3,cone,0.48314607143402094
23,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.5,32,3,cone,0.48314607143402094
24,256,<function dropout at 0x7f3521ae9a60>,0.8854166865348816,0.1,0.0,2,3,cone,0.8561797499656678
25,256,<function dropout at 0x7f3521ae9a60>,0.8958333730697632,0.1,0.0,3,3,cone,0.8584269404411317
26,256,<function dropout at 0x7f3521ae9a60>,0.8802083730697632,0.1,0.0,4,3,cone,0.8696628928184509
27,256,<function dropout at 0x7f3521ae9a60>,0.8958333730697632,0.1,0.0,8,3,cone,0.8764044642448425
28,256,<function dropout at 0x7f3521ae9a60>,0.9270833730697632,0.1,0.0,16,3,cone,0.9370786070823669
29,256,<function dropout at 0x7f3521ae9a60>,0.8125000596046448,0.1,0.0,32,3,cone,0.7719101071357728
30,256,<function dropout at 0x7f3521ae9a60>,0.8645833730697632,0.1,0.5,2,3,cone,0.8797752499580384
31,256,<function dropout at 0x7f3521ae9a60>,0.8593750596046448,0.1,0.5,3,3,cone,0.8629213213920592
32,256,<function dropout at 0x7f3521ae9a60>,0.8125,0.1,0.5,4,3,cone,0.7752808928489685
33,256,<function dropout at 0x7f3521ae9a60>,0.8125000596046448,0.1,0.5,8,3,cone,0.7752808928489685
34,256,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,0.1,0.5,16,3,cone,0.48314607143402094
35,256,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,0.1,0.5,32,3,cone,0.48314607143402094
36,256,<function dropout at 0x7f3521ae9a60>,0.8645833730697632,0.01,0.0,2,3,cone,0.8764044642448424
37,256,<function dropout at 0x7f3521ae9a60>,0.8697917461395264,0.01,0.0,3,3,cone,0.8640449166297913
38,256,<function dropout at 0x7f3521ae9a60>,0.8906250596046448,0.01,0.0,4,3,cone,0.8539325594902037
39,256,<function dropout at 0x7f3521ae9a60>,0.8072916865348816,0.01,0.0,8,3,cone,0.7910112261772156
40,256,<function dropout at 0x7f3521ae9a60>,0.880208432674408,0.01,0.0,16,3,cone,0.8640449166297914
41,256,<function dropout at 0x7f3521ae9a60>,0.8385417461395264,0.01,0.0,32,3,cone,0.8044943690299988
42,256,<function dropout at 0x7f3521ae9a60>,0.8697916865348816,0.01,0.5,2,3,cone,0.8764044642448424
43,256,<function dropout at 0x7f3521ae9a60>,0.848958432674408,0.01,0.5,3,3,cone,0.8629213213920592
44,256,<function dropout at 0x7f3521ae9a60>,0.8489583730697632,0.01,0.5,4,3,cone,0.8202247023582457
45,256,<function dropout at 0x7f3521ae9a60>,0.7395833730697632,0.01,0.5,8,3,cone,0.714606750011444
46,256,<function dropout at 0x7f3521ae9a60>,0.7708333730697632,0.01,0.5,16,3,cone,0.7438202261924745
47,256,<function dropout at 0x7f3521ae9a60>,0.5208333730697632,0.01,0.5,32,3,cone,0.5101123809814454
48,512,<function dropout at 0x7f3521ae9a60>,0.47395840287208557,10.0,0.0,2,3,cone,0.48314607143402094
49,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,3,3,cone,0.48314607143402094
50,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,4,3,cone,0.48314607143402094
51,512,<function dropout at 0x7f3521ae9a60>,0.47395840287208557,10.0,0.0,8,3,cone,0.48314607143402094
52,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,16,3,cone,0.48314607143402094
53,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.0,32,3,cone,0.48314607143402094
54,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,2,3,cone,0.48314607143402094
55,512,<function dropout at 0x7f3521ae9a60>,0.47395840287208557,10.0,0.5,3,3,cone,0.48314607143402094
56,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,4,3,cone,0.48314607143402094
57,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,8,3,cone,0.48314607143402094
58,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,16,3,cone,0.48314607143402094
59,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,10.0,0.5,32,3,cone,0.48314607143402094
60,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.0,2,3,cone,0.48314607143402094
61,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.0,3,3,cone,0.48314607143402094
62,512,<function dropout at 0x7f3521ae9a60>,0.1770833432674408,1.0,0.0,4,3,cone,0.22022471874952312
63,512,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,1.0,0.0,8,3,cone,0.48314607143402094
64,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.0,16,3,cone,0.48314607143402094
65,512,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,1.0,0.0,32,3,cone,0.45168539285659787
66,512,<function dropout at 0x7f3521ae9a60>,0.47395840287208557,1.0,0.5,2,3,cone,0.48314607143402094
67,512,<function dropout at 0x7f3521ae9a60>,0.1770833432674408,1.0,0.5,3,3,cone,0.19101123511791226
68,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.5,4,3,cone,0.48314607143402094
69,512,<function dropout at 0x7f3521ae9a60>,0.47395840287208557,1.0,0.5,8,3,cone,0.48314607143402094
70,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.5,16,3,cone,0.48314607143402094
71,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,1.0,0.5,32,3,cone,0.48314607143402094
72,512,<function dropout at 0x7f3521ae9a60>,0.859375,0.1,0.0,2,3,cone,0.8561797499656677
73,512,<function dropout at 0x7f3521ae9a60>,0.9427083730697632,0.1,0.0,3,3,cone,0.9404493927955627
74,512,<function dropout at 0x7f3521ae9a60>,0.864583432674408,0.1,0.0,4,3,cone,0.8685392975807191
75,512,<function dropout at 0x7f3521ae9a60>,0.9166667461395264,0.1,0.0,8,3,cone,0.9404493927955628
76,512,<function dropout at 0x7f3521ae9a60>,0.8958333730697632,0.1,0.0,16,3,cone,0.9280898451805115
77,512,<function dropout at 0x7f3521ae9a60>,0.8125,0.1,0.0,32,3,cone,0.7662921309471131
78,512,<function dropout at 0x7f3521ae9a60>,0.8854167461395264,0.1,0.5,2,3,cone,0.8797752499580386
79,512,<function dropout at 0x7f3521ae9a60>,0.8906251192092896,0.1,0.5,3,3,cone,0.8797752499580384
80,512,<function dropout at 0x7f3521ae9a60>,0.8125,0.1,0.5,4,3,cone,0.7752808928489685
81,512,<function dropout at 0x7f3521ae9a60>,0.8125,0.1,0.5,8,3,cone,0.7752808928489685
82,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,0.1,0.5,16,3,cone,0.48314607143402094
83,512,<function dropout at 0x7f3521ae9a60>,0.4739583432674408,0.1,0.5,32,3,cone,0.48314607143402094
84,512,<function dropout at 0x7f3521ae9a60>,0.8697916865348816,0.01,0.0,2,3,cone,0.8741572737693788
85,512,<function dropout at 0x7f3521ae9a60>,0.8645833730697632,0.01,0.0,3,3,cone,0.8651685118675232
86,512,<function dropout at 0x7f3521ae9a60>,0.8802083730697632,0.01,0.0,4,3,cone,0.869662892818451
87,512,<function dropout at 0x7f3521ae9a60>,0.8697917461395264,0.01,0.0,8,3,cone,0.868539297580719
88,512,<function dropout at 0x7f3521ae9a60>,0.8854167461395264,0.01,0.0,16,3,cone,0.8775280594825745
89,512,<function dropout at 0x7f3521ae9a60>,0.8229167461395264,0.01,0.0,32,3,cone,0.8044943690299989
90,512,<function dropout at 0x7f3521ae9a60>,0.8697917461395264,0.01,0.5,2,3,cone,0.8842696309089662
91,512,<function dropout at 0x7f3521ae9a60>,0.8645833730697632,0.01,0.5,3,3,cone,0.8752808690071106
92,512,<function dropout at 0x7f3521ae9a60>,0.828125,0.01,0.5,4,3,cone,0.8561797499656678
93,512,<function dropout at 0x7f3521ae9a60>,0.8125001192092896,0.01,0.5,8,3,cone,0.8337078452110291
94,512,<function dropout at 0x7f3521ae9a60>,0.4739583730697632,0.01,0.5,16,3,cone,0.48314607143402094
