,dropoutFn,testAccuracy,nstart,dR,nlayers,activationFn,valAccuracy,layerForm,learningrate
0,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.0,2,3,0.4204379618167877,cone,10.0
1,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.0,2,3,0.4218978106975555,cone,1.0
2,<function dropout at 0x7f8c7fc58a60>,0.7686274647712708,256,0.0,2,3,0.7854014337062836,cone,0.1
3,<function dropout at 0x7f8c7fc58a60>,0.7490196228027344,256,0.0,2,3,0.7744525134563446,cone,0.01
4,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.0,3,3,0.4211678773164748,cone,10.0
5,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.0,3,3,0.4014598667621613,cone,1.0
6,<function dropout at 0x7f8c7fc58a60>,0.772549033164978,256,0.0,3,3,0.7693430364131927,cone,0.1
7,<function dropout at 0x7f8c7fc58a60>,0.7764706015586853,256,0.0,3,3,0.7686131298542023,cone,0.01
8,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.0,4,3,0.4014598608016968,cone,10.0
9,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.0,4,3,0.5788321256637574,cone,1.0
10,<function dropout at 0x7f8c7fc58a60>,0.8313725590705872,256,0.0,4,3,0.8124087154865265,cone,0.1
11,<function dropout at 0x7f8c7fc58a60>,0.7803921699523926,256,0.0,4,3,0.7766423344612122,cone,0.01
12,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.0,8,3,0.4014598548412323,cone,10.0
13,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.0,8,3,0.42116788029670715,cone,1.0
14,<function dropout at 0x7f8c7fc58a60>,0.8039215803146362,256,0.0,8,3,0.7824817359447479,cone,0.1
15,<function dropout at 0x7f8c7fc58a60>,0.772549033164978,256,0.0,8,3,0.797080260515213,cone,0.01
16,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.0,16,3,0.5394160717725754,cone,10.0
17,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.0,16,3,0.5985401749610901,cone,1.0
18,<function dropout at 0x7f8c7fc58a60>,0.7882353067398071,256,0.0,16,3,0.7912408590316772,cone,0.1
19,<function dropout at 0x7f8c7fc58a60>,0.7843137383460999,256,0.0,16,3,0.7970802605152131,cone,0.01
20,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.0,32,3,0.401459851861,cone,10.0
21,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.0,32,3,0.5985401570796967,cone,1.0
22,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.0,32,3,0.6087591350078583,cone,0.1
23,<function dropout at 0x7f8c7fc58a60>,0.7960784435272217,256,0.0,32,3,0.7839415848255158,cone,0.01
24,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.5,2,3,0.5985401391983033,cone,10.0
25,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.5,2,3,0.4416058242321014,cone,1.0
26,<function dropout at 0x7f8c7fc58a60>,0.7137255072593689,256,0.5,2,3,0.7145984947681426,cone,0.1
27,<function dropout at 0x7f8c7fc58a60>,0.729411780834198,256,0.5,2,3,0.7671532690525055,cone,0.01
28,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.5,3,3,0.4014598518610001,cone,10.0
29,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.5,3,3,0.5788321048021317,cone,1.0
30,<function dropout at 0x7f8c7fc58a60>,0.729411780834198,256,0.5,3,3,0.752554702758789,cone,0.1
31,<function dropout at 0x7f8c7fc58a60>,0.6705882549285889,256,0.5,3,3,0.5985401749610901,cone,0.01
32,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.5,4,3,0.4014598608016968,cone,10.0
33,<function dropout at 0x7f8c7fc58a60>,0.3294117748737335,256,0.5,4,3,0.4211678892374039,cone,1.0
