,dropoutFn,learningrate,activationFn,nlayers,testAccuracy,valAccuracy,layerForm,dR,nstart
49,<function dropout at 0x7f32be70ca60>,1.0,3,4,0.2888889014720917,0.3181818127632141,cone,0.0,512
50,<function dropout at 0x7f32be70ca60>,1.0,3,4,0.7111111283302307,0.6818182468414306,cone,0.0,1024
51,<function dropout at 0x7f32be70ca60>,1.0,3,4,0.7111111283302307,0.6818182468414306,cone,0.5,256
52,<function dropout at 0x7f32be70ca60>,1.0,3,4,0.7111111283302307,0.6818182468414306,cone,0.5,512
53,<function dropout at 0x7f32be70ca60>,1.0,3,4,0.7111111283302307,0.6818182468414306,cone,0.5,1024
54,<function dropout at 0x7f32be70ca60>,1.0,3,8,0.2888889014720917,0.6090909600257873,cone,0.0,256
55,<function dropout at 0x7f32be70ca60>,1.0,3,8,0.7111111283302307,0.6818182468414306,cone,0.0,512
56,<function dropout at 0x7f32be70ca60>,1.0,3,8,0.7111111283302307,0.6818182468414306,cone,0.0,1024
57,<function dropout at 0x7f32be70ca60>,1.0,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,256
58,<function dropout at 0x7f32be70ca60>,1.0,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,512
59,<function dropout at 0x7f32be70ca60>,1.0,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,1024
60,<function dropout at 0x7f32be70ca60>,1.0,3,16,0.7111111283302307,0.6818182468414306,cone,0.0,256
61,<function dropout at 0x7f32be70ca60>,1.0,3,16,0.7111111283302307,0.6818182468414306,cone,0.0,512
62,<function dropout at 0x7f32be70ca60>,1.0,3,16,0.7111111283302307,0.6909091532230377,cone,0.0,1024
63,<function dropout at 0x7f32be70ca60>,1.0,3,16,0.7111111283302307,0.6818182468414306,cone,0.5,256
64,<function dropout at 0x7f32be70ca60>,1.0,3,16,0.7111111283302307,0.6818182468414306,cone,0.5,512
65,<function dropout at 0x7f32be70ca60>,1.0,3,16,0.7111111283302307,0.6818182468414306,cone,0.5,1024
66,<function dropout at 0x7f32be70ca60>,1.0,3,32,0.7111111283302307,0.6818182468414306,cone,0.0,256
67,<function dropout at 0x7f32be70ca60>,1.0,3,32,0.7111111283302307,0.6818182468414306,cone,0.0,512
68,<function dropout at 0x7f32be70ca60>,1.0,3,32,0.7111111283302307,0.6818182468414306,cone,0.0,1024
69,<function dropout at 0x7f32be70ca60>,1.0,3,32,0.7111111283302307,0.6818182468414306,cone,0.5,256
70,<function dropout at 0x7f32be70ca60>,1.0,3,32,0.7111111283302307,0.6818182468414306,cone,0.5,512
71,<function dropout at 0x7f32be70ca60>,1.0,3,32,0.7111111283302307,0.6818182468414306,cone,0.5,1024
72,<function dropout at 0x7f32be70ca60>,0.1,3,2,0.6222222447395325,0.6954545676708221,cone,0.0,256
73,<function dropout at 0x7f32be70ca60>,0.1,3,2,0.5333333611488342,0.6500000298023224,cone,0.0,512
74,<function dropout at 0x7f32be70ca60>,0.1,3,2,0.6222222447395325,0.7045454800128936,cone,0.0,1024
75,<function dropout at 0x7f32be70ca60>,0.1,3,2,0.7111111283302307,0.6863636970520018,cone,0.5,256
76,<function dropout at 0x7f32be70ca60>,0.1,3,2,0.7111111283302307,0.7000000476837157,cone,0.5,512
77,<function dropout at 0x7f32be70ca60>,0.1,3,2,0.7111111283302307,0.6636363983154296,cone,0.5,1024
78,<function dropout at 0x7f32be70ca60>,0.1,3,3,0.644444465637207,0.6363636672496795,cone,0.0,256
79,<function dropout at 0x7f32be70ca60>,0.1,3,3,0.6666666865348816,0.6681818425655366,cone,0.0,512
80,<function dropout at 0x7f32be70ca60>,0.1,3,3,0.644444465637207,0.7318182051181793,cone,0.0,1024
81,<function dropout at 0x7f32be70ca60>,0.1,3,3,0.7111111283302307,0.6818182468414306,cone,0.5,256
82,<function dropout at 0x7f32be70ca60>,0.1,3,3,0.7111111283302307,0.7045455038547515,cone,0.5,512
83,<function dropout at 0x7f32be70ca60>,0.1,3,3,0.7111111283302307,0.6818182468414306,cone,0.5,1024
84,<function dropout at 0x7f32be70ca60>,0.1,3,4,0.6000000238418579,0.7090909540653229,cone,0.0,256
85,<function dropout at 0x7f32be70ca60>,0.1,3,4,0.644444465637207,0.6636363923549652,cone,0.0,512
86,<function dropout at 0x7f32be70ca60>,0.1,3,4,0.6666666865348816,0.6727273046970367,cone,0.0,1024
87,<function dropout at 0x7f32be70ca60>,0.1,3,4,0.7111111283302307,0.6818182468414306,cone,0.5,256
88,<function dropout at 0x7f32be70ca60>,0.1,3,4,0.7111111283302307,0.6818182468414306,cone,0.5,512
89,<function dropout at 0x7f32be70ca60>,0.1,3,4,0.7111111283302307,0.6818182468414306,cone,0.5,1024
90,<function dropout at 0x7f32be70ca60>,0.1,3,8,0.6666666865348816,0.627272766828537,cone,0.0,256
91,<function dropout at 0x7f32be70ca60>,0.1,3,8,0.6000000238418579,0.6454545497894286,cone,0.0,512
92,<function dropout at 0x7f32be70ca60>,0.1,3,8,0.6666666865348816,0.6454545915126801,cone,0.0,1024
93,<function dropout at 0x7f32be70ca60>,0.1,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,256
94,<function dropout at 0x7f32be70ca60>,0.1,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,512
95,<function dropout at 0x7f32be70ca60>,0.1,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,1024
96,<function dropout at 0x7f32be70ca60>,0.1,3,16,0.6222222447395325,0.6636364042758942,cone,0.0,256
97,<function dropout at 0x7f32be70ca60>,0.1,3,16,0.6000000238418579,0.5681818485260011,cone,0.0,512
98,<function dropout at 0x7f32be70ca60>,0.1,3,16,0.7333333492279053,0.6318182170391082,cone,0.0,1024
99,<function dropout at 0x7f32be70ca60>,0.1,3,16,0.7111111283302307,0.6818182468414306,cone,0.5,256
100,<function dropout at 0x7f32be70ca60>,0.1,3,16,0.7111111283302307,0.6454546034336089,cone,0.5,512
101,<function dropout at 0x7f32be70ca60>,0.1,3,16,0.7111111283302307,0.6818182468414306,cone,0.5,1024
102,<function dropout at 0x7f32be70ca60>,0.1,3,32,0.7111111283302307,0.6863636910915374,cone,0.0,256
103,<function dropout at 0x7f32be70ca60>,0.1,3,32,0.7111111283302307,0.6727273344993591,cone,0.0,512
104,<function dropout at 0x7f32be70ca60>,0.1,3,32,0.7111111283302307,0.6818182468414306,cone,0.0,1024
105,<function dropout at 0x7f32be70ca60>,0.1,3,32,0.7111111283302307,0.6818182468414306,cone,0.5,256
106,<function dropout at 0x7f32be70ca60>,0.1,3,32,0.7111111283302307,0.6818182468414306,cone,0.5,512
107,<function dropout at 0x7f32be70ca60>,0.1,3,32,0.7111111283302307,0.6818182468414306,cone,0.5,1024
108,<function dropout at 0x7f32be70ca60>,0.01,3,2,0.6888889074325562,0.6590909063816071,cone,0.0,256
109,<function dropout at 0x7f32be70ca60>,0.01,3,2,0.7111111283302307,0.6590909481048584,cone,0.0,512
110,<function dropout at 0x7f32be70ca60>,0.01,3,2,0.6000000238418579,0.7000000238418579,cone,0.0,1024
111,<function dropout at 0x7f32be70ca60>,0.01,3,2,0.7111111283302307,0.6818182468414306,cone,0.5,256
112,<function dropout at 0x7f32be70ca60>,0.01,3,2,0.6888889074325562,0.6590909361839294,cone,0.5,512
113,<function dropout at 0x7f32be70ca60>,0.01,3,2,0.7111111283302307,0.7045454621315002,cone,0.5,1024
114,<function dropout at 0x7f32be70ca60>,0.01,3,3,0.6222222447395325,0.7227272987365722,cone,0.0,256
115,<function dropout at 0x7f32be70ca60>,0.01,3,3,0.6222222447395325,0.7136363863945007,cone,0.0,512
116,<function dropout at 0x7f32be70ca60>,0.01,3,3,0.6000000238418579,0.6636364221572876,cone,0.0,1024
117,<function dropout at 0x7f32be70ca60>,0.01,3,3,0.6666666865348816,0.7181818485260009,cone,0.5,256
118,<function dropout at 0x7f32be70ca60>,0.01,3,3,0.7333333492279053,0.6818182468414306,cone,0.5,512
119,<function dropout at 0x7f32be70ca60>,0.01,3,3,0.7111111283302307,0.6818182468414306,cone,0.5,1024
120,<function dropout at 0x7f32be70ca60>,0.01,3,4,0.6666666865348816,0.695454579591751,cone,0.0,256
121,<function dropout at 0x7f32be70ca60>,0.01,3,4,0.6666666865348816,0.6545454502105712,cone,0.0,512
122,<function dropout at 0x7f32be70ca60>,0.01,3,4,0.6888889074325562,0.727272754907608,cone,0.0,1024
123,<function dropout at 0x7f32be70ca60>,0.01,3,4,0.6888889074325562,0.6818182468414306,cone,0.5,256
124,<function dropout at 0x7f32be70ca60>,0.01,3,4,0.444444477558136,0.540909105539322,cone,0.5,512
125,<function dropout at 0x7f32be70ca60>,0.01,3,4,0.7111111283302307,0.6818182468414306,cone,0.5,1024
126,<function dropout at 0x7f32be70ca60>,0.01,3,8,0.6888889074325562,0.704545497894287,cone,0.0,256
127,<function dropout at 0x7f32be70ca60>,0.01,3,8,0.6222222447395325,0.6363636314868928,cone,0.0,512
128,<function dropout at 0x7f32be70ca60>,0.01,3,8,0.6222222447395325,0.6090909481048584,cone,0.0,1024
129,<function dropout at 0x7f32be70ca60>,0.01,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,256
130,<function dropout at 0x7f32be70ca60>,0.01,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,512
131,<function dropout at 0x7f32be70ca60>,0.01,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,1024
132,<function dropout at 0x7f32be70ca60>,0.01,3,16,0.6222222447395325,0.7090909481048583,cone,0.0,256
133,<function dropout at 0x7f32be70ca60>,0.01,3,16,0.6222222447395325,0.6727273344993591,cone,0.0,512
134,<function dropout at 0x7f32be70ca60>,0.01,3,16,0.6222222447395325,0.6363636434078216,cone,0.0,1024
135,<function dropout at 0x7f32be70ca60>,0.01,3,16,0.7111111283302307,0.6818182468414306,cone,0.5,256
136,<function dropout at 0x7f32be70ca60>,0.01,3,16,0.7111111283302307,0.6909091472625731,cone,0.5,512
137,<function dropout at 0x7f32be70ca60>,0.01,3,16,0.7111111283302307,0.6818182468414306,cone,0.5,1024
138,<function dropout at 0x7f32be70ca60>,0.01,3,32,0.7555556297302246,0.6636364102363586,cone,0.0,256
139,<function dropout at 0x7f32be70ca60>,0.01,3,32,0.7111111283302307,0.6818182468414306,cone,0.0,512
140,<function dropout at 0x7f32be70ca60>,0.01,3,32,0.6666666865348816,0.6272727251052856,cone,0.0,1024
141,<function dropout at 0x7f32be70ca60>,0.01,3,32,0.7111111283302307,0.6136364102363586,cone,0.5,256
142,<function dropout at 0x7f32be70ca60>,0.01,3,32,0.7111111283302307,0.6818182468414306,cone,0.5,512
143,<function dropout at 0x7f32be70ca60>,0.01,3,32,0.6888889074325562,0.6818182468414306,cone,0.5,1024
