,dropoutFn,learningrate,activationFn,nlayers,testAccuracy,valAccuracy,layerForm,dR,nstart
0,<function dropout at 0x7f32be70ca60>,10.0,3,2,0.7111111283302307,0.6818182468414306,cone,0.0,256
1,<function dropout at 0x7f32be70ca60>,10.0,3,2,0.7111111283302307,0.6818182468414306,cone,0.0,512
2,<function dropout at 0x7f32be70ca60>,10.0,3,2,0.7111111283302307,0.6818182468414306,cone,0.0,1024
3,<function dropout at 0x7f32be70ca60>,10.0,3,2,0.7111111283302307,0.6818182468414306,cone,0.5,256
4,<function dropout at 0x7f32be70ca60>,10.0,3,2,0.7111111283302307,0.6818182468414306,cone,0.5,512
5,<function dropout at 0x7f32be70ca60>,10.0,3,2,0.7111111283302307,0.6818182468414306,cone,0.5,1024
6,<function dropout at 0x7f32be70ca60>,10.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.0,256
7,<function dropout at 0x7f32be70ca60>,10.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.0,512
8,<function dropout at 0x7f32be70ca60>,10.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.0,1024
9,<function dropout at 0x7f32be70ca60>,10.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.5,256
10,<function dropout at 0x7f32be70ca60>,10.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.5,512
11,<function dropout at 0x7f32be70ca60>,10.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.5,1024
12,<function dropout at 0x7f32be70ca60>,10.0,3,4,0.7111111283302307,0.6818182468414306,cone,0.0,256
13,<function dropout at 0x7f32be70ca60>,10.0,3,4,0.7111111283302307,0.6818182468414306,cone,0.0,512
14,<function dropout at 0x7f32be70ca60>,10.0,3,4,0.7111111283302307,0.6818182468414306,cone,0.0,1024
15,<function dropout at 0x7f32be70ca60>,10.0,3,4,0.7111111283302307,0.6818182468414306,cone,0.5,256
16,<function dropout at 0x7f32be70ca60>,10.0,3,4,0.7111111283302307,0.6818182468414306,cone,0.5,512
17,<function dropout at 0x7f32be70ca60>,10.0,3,4,0.7111111283302307,0.6818182468414306,cone,0.5,1024
18,<function dropout at 0x7f32be70ca60>,10.0,3,8,0.7111111283302307,0.6818182468414306,cone,0.0,256
19,<function dropout at 0x7f32be70ca60>,10.0,3,8,0.7111111283302307,0.6818182468414306,cone,0.0,512
20,<function dropout at 0x7f32be70ca60>,10.0,3,8,0.7111111283302307,0.6818182468414306,cone,0.0,1024
21,<function dropout at 0x7f32be70ca60>,10.0,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,256
22,<function dropout at 0x7f32be70ca60>,10.0,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,512
23,<function dropout at 0x7f32be70ca60>,10.0,3,8,0.7111111283302307,0.6818182468414306,cone,0.5,1024
24,<function dropout at 0x7f32be70ca60>,10.0,3,16,0.2888889014720917,0.6090909600257873,cone,0.0,256
25,<function dropout at 0x7f32be70ca60>,10.0,3,16,0.7111111283302307,0.6818182468414306,cone,0.0,512
26,<function dropout at 0x7f32be70ca60>,10.0,3,16,0.7111111283302307,0.6090909600257873,cone,0.0,1024
27,<function dropout at 0x7f32be70ca60>,10.0,3,16,0.7111111283302307,0.6818182468414306,cone,0.5,256
28,<function dropout at 0x7f32be70ca60>,10.0,3,16,0.7111111283302307,0.6818182468414306,cone,0.5,512
29,<function dropout at 0x7f32be70ca60>,10.0,3,16,0.7111111283302307,0.6818182468414306,cone,0.5,1024
30,<function dropout at 0x7f32be70ca60>,10.0,3,32,0.7111111283302307,0.6818182468414306,cone,0.0,256
31,<function dropout at 0x7f32be70ca60>,10.0,3,32,0.7111111283302307,0.5727273166179657,cone,0.0,512
32,<function dropout at 0x7f32be70ca60>,10.0,3,32,0.7111111283302307,0.6818182468414306,cone,0.0,1024
33,<function dropout at 0x7f32be70ca60>,10.0,3,32,0.7111111283302307,0.6818182468414306,cone,0.5,256
34,<function dropout at 0x7f32be70ca60>,10.0,3,32,0.7111111283302307,0.6818182468414306,cone,0.5,512
35,<function dropout at 0x7f32be70ca60>,10.0,3,32,0.7111111283302307,0.6818182468414306,cone,0.5,1024
36,<function dropout at 0x7f32be70ca60>,1.0,3,2,0.7111111283302307,0.5727273166179657,cone,0.0,256
37,<function dropout at 0x7f32be70ca60>,1.0,3,2,0.2888889014720917,0.3545454561710358,cone,0.0,512
38,<function dropout at 0x7f32be70ca60>,1.0,3,2,0.7111111283302307,0.6818182468414306,cone,0.0,1024
39,<function dropout at 0x7f32be70ca60>,1.0,3,2,0.7111111283302307,0.6818182468414306,cone,0.5,256
40,<function dropout at 0x7f32be70ca60>,1.0,3,2,0.7111111283302307,0.6818182468414306,cone,0.5,512
41,<function dropout at 0x7f32be70ca60>,1.0,3,2,0.7111111283302307,0.6818182468414306,cone,0.5,1024
42,<function dropout at 0x7f32be70ca60>,1.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.0,256
43,<function dropout at 0x7f32be70ca60>,1.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.0,512
44,<function dropout at 0x7f32be70ca60>,1.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.0,1024
45,<function dropout at 0x7f32be70ca60>,1.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.5,256
46,<function dropout at 0x7f32be70ca60>,1.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.5,512
47,<function dropout at 0x7f32be70ca60>,1.0,3,3,0.7111111283302307,0.6818182468414306,cone,0.5,1024
48,<function dropout at 0x7f32be70ca60>,1.0,3,4,0.7111111283302307,0.5954545915126801,cone,0.0,256
