,nlayers,activationFn,dR,learningrate,layerForm,nstart,valAccuracy,dropoutFn,testAccuracy
0,2,3,0.0,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
1,2,3,0.0,10.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
2,2,3,0.0,10.0,rect,1024,0.4000000357627868,<function dropout at 0x7f97b8311a60>,0.5483871102333069
3,2,3,0.0,1.0,rect,256,0.4076923489570617,<function dropout at 0x7f97b8311a60>,0.5483870506286621
4,2,3,0.0,1.0,rect,512,0.4000000357627868,<function dropout at 0x7f97b8311a60>,0.5483870506286621
5,2,3,0.0,1.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
6,2,3,0.0,0.1,rect,256,0.5230769515037536,<function dropout at 0x7f97b8311a60>,0.5806452035903931
7,2,3,0.0,0.1,rect,512,0.5230769515037536,<function dropout at 0x7f97b8311a60>,0.6129032373428345
8,2,3,0.0,0.1,rect,1024,0.5307692646980285,<function dropout at 0x7f97b8311a60>,0.5268816947937012
9,2,3,0.0,0.01,rect,256,0.5538461804389953,<function dropout at 0x7f97b8311a60>,0.5053763389587402
10,2,3,0.0,0.01,rect,512,0.6076923310756682,<function dropout at 0x7f97b8311a60>,0.4946236312389374
11,2,3,0.0,0.01,rect,1024,0.5384615659713744,<function dropout at 0x7f97b8311a60>,0.5376344323158264
12,2,3,0.5,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
13,2,3,0.5,10.0,rect,512,0.4076923489570617,<function dropout at 0x7f97b8311a60>,0.5483871102333069
14,2,3,0.5,10.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
15,2,3,0.5,1.0,rect,256,0.4076923489570617,<function dropout at 0x7f97b8311a60>,0.5483871102333069
16,2,3,0.5,1.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
17,2,3,0.5,1.0,rect,1024,0.4076923489570617,<function dropout at 0x7f97b8311a60>,0.5483870506286621
18,2,3,0.5,0.1,rect,256,0.5538461804389953,<function dropout at 0x7f97b8311a60>,0.6397849321365356
19,2,3,0.5,0.1,rect,512,0.5153846561908721,<function dropout at 0x7f97b8311a60>,0.4838709533214569
20,2,3,0.5,0.1,rect,1024,0.5461538791656494,<function dropout at 0x7f97b8311a60>,0.6451613306999207
21,2,3,0.5,0.01,rect,256,0.5461538732051848,<function dropout at 0x7f97b8311a60>,0.5053763389587402
22,2,3,0.5,0.01,rect,512,0.5384615659713744,<function dropout at 0x7f97b8311a60>,0.5215053558349609
23,2,3,0.5,0.01,rect,1024,0.5000000298023223,<function dropout at 0x7f97b8311a60>,0.5913978219032288
24,3,3,0.0,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
25,3,3,0.0,10.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
26,3,3,0.0,10.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
27,3,3,0.0,1.0,rect,256,0.4000000357627868,<function dropout at 0x7f97b8311a60>,0.5483870506286621
28,3,3,0.0,1.0,rect,512,0.4000000357627868,<function dropout at 0x7f97b8311a60>,0.5483871102333069
29,3,3,0.0,1.0,rect,1024,0.3923077285289764,<function dropout at 0x7f97b8311a60>,0.5483871102333069
30,3,3,0.0,0.1,rect,256,0.6076923370361327,<function dropout at 0x7f97b8311a60>,0.5913978219032288
31,3,3,0.0,0.1,rect,512,0.4923077255487441,<function dropout at 0x7f97b8311a60>,0.5376343727111816
32,3,3,0.0,0.1,rect,1024,0.6230769455432891,<function dropout at 0x7f97b8311a60>,0.5268816947937012
33,3,3,0.0,0.01,rect,256,0.5923077166080474,<function dropout at 0x7f97b8311a60>,0.5483871102333069
34,3,3,0.0,0.01,rect,512,0.530769258737564,<function dropout at 0x7f97b8311a60>,0.5645161271095276
35,3,3,0.0,0.01,rect,1024,0.5000000298023223,<function dropout at 0x7f97b8311a60>,0.5215053558349609
36,3,3,0.5,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
37,3,3,0.5,10.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
38,3,3,0.5,10.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
39,3,3,0.5,1.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
40,3,3,0.5,1.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
41,3,3,0.5,1.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
42,3,3,0.5,0.1,rect,256,0.47692310810089106,<function dropout at 0x7f97b8311a60>,0.5860215425491333
43,3,3,0.5,0.1,rect,512,0.4000000357627868,<function dropout at 0x7f97b8311a60>,0.5483871102333069
44,3,3,0.5,0.1,rect,1024,0.4076923489570617,<function dropout at 0x7f97b8311a60>,0.5483870506286621
45,3,3,0.5,0.01,rect,256,0.5230769515037536,<function dropout at 0x7f97b8311a60>,0.5698924660682678
46,3,3,0.5,0.01,rect,512,0.5384615659713744,<function dropout at 0x7f97b8311a60>,0.48924732208251953
47,3,3,0.5,0.01,rect,1024,0.530769258737564,<function dropout at 0x7f97b8311a60>,0.6021504998207092
48,4,3,0.0,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
49,4,3,0.0,10.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
50,4,3,0.0,10.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
51,4,3,0.0,1.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
52,4,3,0.0,1.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
53,4,3,0.0,1.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
54,4,3,0.0,0.1,rect,256,0.4846154153347015,<function dropout at 0x7f97b8311a60>,0.5053763389587402
55,4,3,0.0,0.1,rect,512,0.6076923310756682,<function dropout at 0x7f97b8311a60>,0.602150559425354
56,4,3,0.0,0.1,rect,1024,0.40769234299659723,<function dropout at 0x7f97b8311a60>,0.5483871102333069
57,4,3,0.0,0.01,rect,256,0.5692307949066161,<function dropout at 0x7f97b8311a60>,0.5483871102333069
58,4,3,0.0,0.01,rect,512,0.5615384876728057,<function dropout at 0x7f97b8311a60>,0.6236559152603149
59,4,3,0.0,0.01,rect,1024,0.5923077166080474,<function dropout at 0x7f97b8311a60>,0.5860214829444885
60,4,3,0.5,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
61,4,3,0.5,10.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
62,4,3,0.5,10.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
63,4,3,0.5,1.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
64,4,3,0.5,1.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
65,4,3,0.5,1.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
66,4,3,0.5,0.1,rect,256,0.4000000357627868,<function dropout at 0x7f97b8311a60>,0.5483870506286621
67,4,3,0.5,0.1,rect,512,0.3923077285289764,<function dropout at 0x7f97b8311a60>,0.5483870506286621
68,4,3,0.5,0.1,rect,1024,0.4076923489570617,<function dropout at 0x7f97b8311a60>,0.5483871102333069
69,4,3,0.5,0.01,rect,256,0.5615384876728057,<function dropout at 0x7f97b8311a60>,0.5483871102333069
70,4,3,0.5,0.01,rect,512,0.5461538732051848,<function dropout at 0x7f97b8311a60>,0.5215053558349609
71,4,3,0.5,0.01,rect,1024,0.5384615659713744,<function dropout at 0x7f97b8311a60>,0.6397849321365356
72,8,3,0.0,10.0,rect,256,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
73,8,3,0.0,10.0,rect,512,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483870506286621
74,8,3,0.0,10.0,rect,1024,0.38461542129516596,<function dropout at 0x7f97b8311a60>,0.5483871102333069
