,layerForm,dropoutFn,learningrate,activationFn,nstart,valAccuracy,testAccuracy,nlayers,dR
0,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,2,0.0
1,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,2,0.5
2,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,3,0.0
3,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,3,0.5
4,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,4,0.0
5,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,4,0.5
6,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,8,0.0
7,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,8,0.5
8,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,16,0.0
9,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,16,0.5
10,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,32,0.0
11,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,256,0.5744681358337401,0.6029412746429443,32,0.5
12,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,512,0.5744681358337401,0.6029412746429443,2,0.0
13,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,512,0.5744681358337401,0.6029412746429443,2,0.5
14,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,512,0.5744681358337401,0.6029412746429443,3,0.0
15,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,512,0.5744681358337401,0.6029412746429443,3,0.5
16,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,512,0.4255319237709045,0.3970588445663452,4,0.0
17,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,512,0.5744681358337401,0.6029412746429443,4,0.5
18,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,512,0.5744681358337401,0.6029412746429443,8,0.0
19,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,512,0.5744681358337401,0.6029412746429443,8,0.5
20,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,512,0.5595745146274566,0.6029412746429443,16,0.0
21,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,512,0.5744681358337401,0.6029412746429443,16,0.5
22,cone,<function dropout at 0x7f76c2d6aa60>,10.0,3,512,0.5744681358337401,0.6029412746429443,32,0.0
