,dropoutFn,layerForm,nstart,valAccuracy,testAccuracy,learningrate,activationFn,nlayers,dR
17,<function dropout at 0x7f42b7303a60>,rect,256,0.346666693687439,0.3207547068595886,1.0,3,4,0.5
18,<function dropout at 0x7f42b7303a60>,rect,256,0.34666668474674234,0.3207547068595886,1.0,3,8,0.0
19,<function dropout at 0x7f42b7303a60>,rect,256,0.34666668176651005,0.3207547068595886,1.0,3,8,0.5
20,<function dropout at 0x7f42b7303a60>,rect,256,0.34666668772697457,0.3207547068595886,1.0,3,16,0.0
21,<function dropout at 0x7f42b7303a60>,rect,256,0.34666666686534886,0.3207547068595886,1.0,3,16,0.5
22,<function dropout at 0x7f42b7303a60>,rect,256,0.34666668772697457,0.320754736661911,1.0,3,32,0.0
23,<function dropout at 0x7f42b7303a60>,rect,256,0.3466666787862778,0.3207547068595886,1.0,3,32,0.5
24,<function dropout at 0x7f42b7303a60>,rect,256,0.5926666617393493,0.6118597984313965,0.1,3,2,0.0
25,<function dropout at 0x7f42b7303a60>,rect,256,0.604666668176651,0.6253368854522705,0.1,3,2,0.5
26,<function dropout at 0x7f42b7303a60>,rect,256,0.6073333323001862,0.5471698045730591,0.1,3,3,0.0
27,<function dropout at 0x7f42b7303a60>,rect,256,0.5920000016689301,0.6091643571853638,0.1,3,3,0.5
28,<function dropout at 0x7f42b7303a60>,rect,256,0.6000000000000001,0.5444743633270264,0.1,3,4,0.0
29,<function dropout at 0x7f42b7303a60>,rect,256,0.5886666536331178,0.5525606274604797,0.1,3,4,0.5
30,<function dropout at 0x7f42b7303a60>,rect,256,0.597333323955536,0.6010781526565552,0.1,3,8,0.0
31,<function dropout at 0x7f42b7303a60>,rect,256,0.47200000584125523,0.47708895802497864,0.1,3,8,0.5
32,<function dropout at 0x7f42b7303a60>,rect,256,0.34666666388511663,0.3207547068595886,0.1,3,16,0.0
33,<function dropout at 0x7f42b7303a60>,rect,256,0.3466666758060456,0.320754736661911,0.1,3,16,0.5
34,<function dropout at 0x7f42b7303a60>,rect,256,0.34666666388511663,0.320754736661911,0.1,3,32,0.0
35,<function dropout at 0x7f42b7303a60>,rect,256,0.3466666787862778,0.320754736661911,0.1,3,32,0.5
36,<function dropout at 0x7f42b7303a60>,rect,256,0.6293333292007446,0.6172506213188171,0.01,3,2,0.0
37,<function dropout at 0x7f42b7303a60>,rect,256,0.5886666417121887,0.5983827114105225,0.01,3,2,0.5
38,<function dropout at 0x7f42b7303a60>,rect,256,0.5946666836738587,0.6253368854522705,0.01,3,3,0.0
39,<function dropout at 0x7f42b7303a60>,rect,256,0.6033333241939545,0.5714285373687744,0.01,3,3,0.5
40,<function dropout at 0x7f42b7303a60>,rect,256,0.5986666738986969,0.6118597984313965,0.01,3,4,0.0
41,<function dropout at 0x7f42b7303a60>,rect,256,0.5793333292007447,0.5390836000442505,0.01,3,4,0.5
42,<function dropout at 0x7f42b7303a60>,rect,256,0.5786666333675384,0.5741239786148071,0.01,3,8,0.0
43,<function dropout at 0x7f42b7303a60>,rect,256,0.5466666519641876,0.47708892822265625,0.01,3,8,0.5
44,<function dropout at 0x7f42b7303a60>,rect,256,0.5833333313465119,0.579514741897583,0.01,3,16,0.0
45,<function dropout at 0x7f42b7303a60>,rect,256,0.33799999058246616,0.2964959442615509,0.01,3,16,0.5
46,<function dropout at 0x7f42b7303a60>,rect,256,0.6040000021457672,0.5956873297691345,0.01,3,32,0.0
47,<function dropout at 0x7f42b7303a60>,rect,256,0.34666666984558114,0.320754736661911,0.01,3,32,0.5
48,<function dropout at 0x7f42b7303a60>,rect,512,0.3466666907072068,0.3207547068595886,10.0,3,2,0.0
49,<function dropout at 0x7f42b7303a60>,rect,512,0.34666668474674234,0.3207547068595886,10.0,3,2,0.5
50,<function dropout at 0x7f42b7303a60>,rect,512,0.34666668772697457,0.320754736661911,10.0,3,3,0.0
51,<function dropout at 0x7f42b7303a60>,rect,512,0.3466666907072068,0.320754736661911,10.0,3,3,0.5
52,<function dropout at 0x7f42b7303a60>,rect,512,0.346666693687439,0.3207547068595886,10.0,3,4,0.0
53,<function dropout at 0x7f42b7303a60>,rect,512,0.3466666698455811,0.3207547068595886,10.0,3,4,0.5
54,<function dropout at 0x7f42b7303a60>,rect,512,0.34666668176651005,0.3207547068595886,10.0,3,8,0.0
55,<function dropout at 0x7f42b7303a60>,rect,512,0.34666666686534886,0.3207547068595886,10.0,3,8,0.5
56,<function dropout at 0x7f42b7303a60>,rect,512,0.34666668176651,0.320754736661911,10.0,3,16,0.0
57,<function dropout at 0x7f42b7303a60>,rect,512,0.3466666698455811,0.3207547068595886,10.0,3,16,0.5
58,<function dropout at 0x7f42b7303a60>,rect,512,0.3466666698455811,0.3207547068595886,10.0,3,32,0.0
59,<function dropout at 0x7f42b7303a60>,rect,512,0.34666668772697457,0.3207547068595886,10.0,3,32,0.5
60,<function dropout at 0x7f42b7303a60>,rect,512,0.3466666907072068,0.320754736661911,1.0,3,2,0.0
61,<function dropout at 0x7f42b7303a60>,rect,512,0.34666668474674234,0.3207547068595886,1.0,3,2,0.5
62,<function dropout at 0x7f42b7303a60>,rect,512,0.34666667282581337,0.3207547068595886,1.0,3,3,0.0
63,<function dropout at 0x7f42b7303a60>,rect,512,0.34666668772697457,0.320754736661911,1.0,3,3,0.5
64,<function dropout at 0x7f42b7303a60>,rect,512,0.34666668474674234,0.3207547068595886,1.0,3,4,0.0
65,<function dropout at 0x7f42b7303a60>,rect,512,0.3466666817665101,0.3207547068595886,1.0,3,4,0.5
66,<function dropout at 0x7f42b7303a60>,rect,512,0.34666666984558114,0.3207547068595886,1.0,3,8,0.0
67,<function dropout at 0x7f42b7303a60>,rect,512,0.346666693687439,0.320754736661911,1.0,3,8,0.5
68,<function dropout at 0x7f42b7303a60>,rect,512,0.34666666388511663,0.3207547068595886,1.0,3,16,0.0
69,<function dropout at 0x7f42b7303a60>,rect,512,0.346666693687439,0.3207547068595886,1.0,3,16,0.5
70,<function dropout at 0x7f42b7303a60>,rect,512,0.3466666728258133,0.3207547068595886,1.0,3,32,0.0
71,<function dropout at 0x7f42b7303a60>,rect,512,0.3466666877269745,0.3207547068595886,1.0,3,32,0.5
72,<function dropout at 0x7f42b7303a60>,rect,512,0.6053333342075349,0.5795148015022278,0.1,3,2,0.0
73,<function dropout at 0x7f42b7303a60>,rect,512,0.5953333258628846,0.5876010656356812,0.1,3,2,0.5
74,<function dropout at 0x7f42b7303a60>,rect,512,0.5919999837875366,0.563342273235321,0.1,3,3,0.0
75,<function dropout at 0x7f42b7303a60>,rect,512,0.5860000014305116,0.5579514503479004,0.1,3,3,0.5
76,<function dropout at 0x7f42b7303a60>,rect,512,0.5946666598320007,0.5956873297691345,0.1,3,4,0.0
77,<function dropout at 0x7f42b7303a60>,rect,512,0.5853333175182343,0.5822102427482605,0.1,3,4,0.5
78,<function dropout at 0x7f42b7303a60>,rect,512,0.5846666574478149,0.563342273235321,0.1,3,8,0.0
79,<function dropout at 0x7f42b7303a60>,rect,512,0.5419999957084656,0.5148247480392456,0.1,3,8,0.5
80,<function dropout at 0x7f42b7303a60>,rect,512,0.34666667580604554,0.3207547068595886,0.1,3,16,0.0
81,<function dropout at 0x7f42b7303a60>,rect,512,0.346666693687439,0.3207547068595886,0.1,3,16,0.5
82,<function dropout at 0x7f42b7303a60>,rect,512,0.34666668772697457,0.3207547068595886,0.1,3,32,0.0
83,<function dropout at 0x7f42b7303a60>,rect,512,0.34666667282581337,0.3207547068595886,0.1,3,32,0.5
84,<function dropout at 0x7f42b7303a60>,rect,512,0.622000002861023,0.6145552396774292,0.01,3,2,0.0
85,<function dropout at 0x7f42b7303a60>,rect,512,0.6139999985694885,0.5714285373687744,0.01,3,2,0.5
86,<function dropout at 0x7f42b7303a60>,rect,512,0.6193333387374879,0.5822101831436157,0.01,3,3,0.0
87,<function dropout at 0x7f42b7303a60>,rect,512,0.6033333241939545,0.5417789816856384,0.01,3,3,0.5
88,<function dropout at 0x7f42b7303a60>,rect,512,0.6279999911785126,0.6118598580360413,0.01,3,4,0.0
89,<function dropout at 0x7f42b7303a60>,rect,512,0.5653333306312561,0.5579515099525452,0.01,3,4,0.5
90,<function dropout at 0x7f42b7303a60>,rect,512,0.5919999957084656,0.6307277679443359,0.01,3,8,0.0
91,<function dropout at 0x7f42b7303a60>,rect,512,0.448666650056839,0.44474393129348755,0.01,3,8,0.5
92,<function dropout at 0x7f42b7303a60>,rect,512,0.5906666696071625,0.5471698045730591,0.01,3,16,0.0
93,<function dropout at 0x7f42b7303a60>,rect,512,0.26533332914114,0.23989218473434448,0.01,3,16,0.5
94,<function dropout at 0x7f42b7303a60>,rect,512,0.6119999945163728,0.5148247480392456,0.01,3,32,0.0
95,<function dropout at 0x7f42b7303a60>,rect,512,0.3466666907072068,0.320754736661911,0.01,3,32,0.5
96,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666668772697457,0.3207547068595886,10.0,3,2,0.0
97,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666817665101,0.320754736661911,10.0,3,2,0.5
98,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666758060456,0.320754736661911,10.0,3,3,0.0
99,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666668772697457,0.320754736661911,10.0,3,3,0.5
100,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666847467423,0.320754736661911,10.0,3,4,0.0
101,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666787862778,0.3207547068595886,10.0,3,4,0.5
102,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666668474674234,0.320754736661911,10.0,3,8,0.0
103,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666817665101,0.320754736661911,10.0,3,8,0.5
104,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666668474674234,0.3207547068595886,10.0,3,16,0.0
105,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666787862778,0.3207547068595886,10.0,3,16,0.5
106,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666668474674234,0.320754736661911,10.0,3,32,0.0
107,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666787862779,0.320754736661911,10.0,3,32,0.5
108,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666668772697457,0.3207547068595886,1.0,3,2,0.0
109,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666787862778,0.3207547068595886,1.0,3,2,0.5
110,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666668772697457,0.320754736661911,1.0,3,3,0.0
111,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666668176651005,0.3207547068595886,1.0,3,3,0.5
112,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666877269745,0.320754736661911,1.0,3,4,0.0
113,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666877269745,0.320754736661911,1.0,3,4,0.5
114,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666758060456,0.3207547068595886,1.0,3,8,0.0
115,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666787862778,0.3207547068595886,1.0,3,8,0.5
116,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666787862778,0.3207547068595886,1.0,3,16,0.0
117,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666787862778,0.320754736661911,1.0,3,16,0.5
118,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666668474674234,0.3207547068595886,1.0,3,32,0.0
119,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666787862778,0.3207547068595886,1.0,3,32,0.5
120,<function dropout at 0x7f42b7303a60>,rect,1024,0.5986666619777681,0.5741239190101624,0.1,3,2,0.0
121,<function dropout at 0x7f42b7303a60>,rect,1024,0.597333323955536,0.606468915939331,0.1,3,2,0.5
122,<function dropout at 0x7f42b7303a60>,rect,1024,0.5879999876022339,0.6118597984313965,0.1,3,3,0.0
123,<function dropout at 0x7f42b7303a60>,rect,1024,0.5793333351612091,0.5983827114105225,0.1,3,3,0.5
124,<function dropout at 0x7f42b7303a60>,rect,1024,0.5966666579246522,0.6091644167900085,0.1,3,4,0.0
125,<function dropout at 0x7f42b7303a60>,rect,1024,0.5620000064373016,0.522911012172699,0.1,3,4,0.5
126,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666668772697457,0.320754736661911,0.1,3,8,0.0
127,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666847467423,0.3207547068595886,0.1,3,8,0.5
128,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666787862778,0.320754736661911,0.1,3,16,0.0
129,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666787862778,0.3207547068595886,0.1,3,16,0.5
130,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666667878627777,0.3207547068595886,0.1,3,32,0.0
131,<function dropout at 0x7f42b7303a60>,rect,1024,0.34666666984558114,0.320754736661911,0.1,3,32,0.5
132,<function dropout at 0x7f42b7303a60>,rect,1024,0.5919999957084656,0.6091643571853638,0.01,3,2,0.0
133,<function dropout at 0x7f42b7303a60>,rect,1024,0.6046666622161864,0.5768194198608398,0.01,3,2,0.5
134,<function dropout at 0x7f42b7303a60>,rect,1024,0.6006666839122773,0.6091643571853638,0.01,3,3,0.0
135,<function dropout at 0x7f42b7303a60>,rect,1024,0.5966666579246521,0.5795148015022278,0.01,3,3,0.5
136,<function dropout at 0x7f42b7303a60>,rect,1024,0.6146666705608368,0.5929918885231018,0.01,3,4,0.0
137,<function dropout at 0x7f42b7303a60>,rect,1024,0.5706666707992554,0.5444743633270264,0.01,3,4,0.5
138,<function dropout at 0x7f42b7303a60>,rect,1024,0.6040000021457672,0.6064689755439758,0.01,3,8,0.0
139,<function dropout at 0x7f42b7303a60>,rect,1024,0.5099999904632568,0.49056604504585266,0.01,3,8,0.5
140,<function dropout at 0x7f42b7303a60>,rect,1024,0.592000013589859,0.5741239786148071,0.01,3,16,0.0
141,<function dropout at 0x7f42b7303a60>,rect,1024,0.3353333294391632,0.3180592954158783,0.01,3,16,0.5
142,<function dropout at 0x7f42b7303a60>,rect,1024,0.5873333275318146,0.5768194198608398,0.01,3,32,0.0
143,<function dropout at 0x7f42b7303a60>,rect,1024,0.3466666787862778,0.320754736661911,0.01,3,32,0.5
