,nlayers,layerForm,dropoutFn,nstart,learningrate,testAccuracy,dR,valAccuracy,activationFn
0,2,cone,<function dropout at 0x7f40d7dfaa60>,256,10.0,0.7915864586830139,0.0,0.7840430021286012,3
1,2,cone,<function dropout at 0x7f40d7dfaa60>,256,10.0,0.7915864586830139,0.5,0.7840430080890657,3
2,2,cone,<function dropout at 0x7f40d7dfaa60>,256,1.0,0.9987591505050659,0.0,0.9986649513244629,3
3,2,cone,<function dropout at 0x7f40d7dfaa60>,256,1.0,0.7915865182876587,0.5,0.8019494175910952,3
4,2,cone,<function dropout at 0x7f40d7dfaa60>,256,0.1,0.9985522627830505,0.0,0.9992648124694824,3
5,2,cone,<function dropout at 0x7f40d7dfaa60>,256,0.1,0.9975178241729736,0.5,0.9974202275276184,3
6,2,cone,<function dropout at 0x7f40d7dfaa60>,256,0.01,0.9975867867469788,0.0,0.9977351665496826,3
7,2,cone,<function dropout at 0x7f40d7dfaa60>,256,0.01,0.9939316511154175,0.5,0.9919763326644898,3
8,2,cone,<function dropout at 0x7f40d7dfaa60>,512,10.0,0.05579310655593872,0.0,0.05533893294632434,3
9,2,cone,<function dropout at 0x7f40d7dfaa60>,512,10.0,0.7915863990783691,0.5,0.7840429961681368,3
10,2,cone,<function dropout at 0x7f40d7dfaa60>,512,1.0,0.7915863990783691,0.0,0.7840429723262788,3
11,2,cone,<function dropout at 0x7f40d7dfaa60>,512,1.0,0.7915863990783691,0.5,0.7840430080890657,3
12,2,cone,<function dropout at 0x7f40d7dfaa60>,512,0.1,0.998828113079071,0.0,0.9988599061965943,3
13,2,cone,<function dropout at 0x7f40d7dfaa60>,512,0.1,0.9969661235809326,0.5,0.996925312280655,3
14,2,cone,<function dropout at 0x7f40d7dfaa60>,512,0.01,0.9978626370429993,0.0,0.9979301154613495,3
15,2,cone,<function dropout at 0x7f40d7dfaa60>,512,0.01,0.9955868124961853,0.5,0.9947657763957978,3
16,2,cone,<function dropout at 0x7f40d7dfaa60>,1024,10.0,0.7915864586830139,0.0,0.7840430080890657,3
17,2,cone,<function dropout at 0x7f40d7dfaa60>,1024,10.0,0.7915863990783691,0.5,0.7840429842472078,3
18,2,cone,<function dropout at 0x7f40d7dfaa60>,1024,1.0,0.7915864586830139,0.0,0.7840429902076723,3
19,2,cone,<function dropout at 0x7f40d7dfaa60>,1024,1.0,0.7915864586830139,0.5,0.7840430140495301,3
20,2,cone,<function dropout at 0x7f40d7dfaa60>,1024,0.1,0.9984833002090454,0.0,0.9988299131393432,3
21,2,cone,<function dropout at 0x7f40d7dfaa60>,1024,0.1,0.9980695247650146,0.5,0.9983649849891663,3
22,2,cone,<function dropout at 0x7f40d7dfaa60>,1024,0.01,0.9984833002090454,0.0,0.9988898992538454,3
23,2,cone,<function dropout at 0x7f40d7dfaa60>,1024,0.01,0.9944144487380981,0.5,0.9953656435012818,3
24,3,cone,<function dropout at 0x7f40d7dfaa60>,256,10.0,0.7915864586830139,0.0,0.7840429961681368,3
25,3,cone,<function dropout at 0x7f40d7dfaa60>,256,10.0,0.7915865182876587,0.5,0.7840429842472078,3
26,3,cone,<function dropout at 0x7f40d7dfaa60>,256,1.0,0.7915863990783691,0.0,0.7213105708360673,3
27,3,cone,<function dropout at 0x7f40d7dfaa60>,256,1.0,0.7915864586830139,0.5,0.7840429902076723,3
28,3,cone,<function dropout at 0x7f40d7dfaa60>,256,0.1,0.9986901879310608,0.0,0.9989648818969729,3
29,3,cone,<function dropout at 0x7f40d7dfaa60>,256,0.1,0.9953109622001648,0.5,0.9950356900691987,3
