,layerForm,nlayers,dR,dropoutFn,testAccuracy,activationFn,nstart,learningrate,valAccuracy
0,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,256,10.0,0.4130434453487397
1,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,256,1.0,0.4121738851070405
2,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.9748954176902771,3,256,0.1,0.9826086759567263
3,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.9623430967330933,3,256,0.01,0.9826086759567263
4,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,512,10.0,0.4130434453487397
5,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,512,1.0,0.4417391002178193
6,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.97907954454422,3,512,0.1,0.9826086759567263
7,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.970711350440979,3,512,0.01,0.9826086759567263
8,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,1024,10.0,0.4130434453487397
9,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,1024,1.0,0.4113043129444123
10,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.97907954454422,3,1024,0.1,0.9826086759567263
11,rect,2,0.0,<function dropout at 0x7f73a021aa60>,0.9581589698791504,3,1024,0.01,0.9826086759567263
12,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,256,10.0,0.4130434453487397
13,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,256,1.0,0.4417391002178193
14,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.9790794849395752,3,256,0.1,0.9782608449459078
15,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.8786609768867493,3,256,0.01,0.8773913025856017
16,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,512,10.0,0.4130434453487397
17,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,512,1.0,0.41826083958148963
18,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.9748954176902771,3,512,0.1,0.9826086759567263
19,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.9748954176902771,3,512,0.01,0.9826086759567263
20,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,1024,10.0,0.4130434453487397
21,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,1024,1.0,0.4130434453487397
22,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.9790794849395752,3,1024,0.1,0.9826086759567263
23,rect,2,0.5,<function dropout at 0x7f73a021aa60>,0.9665271639823914,3,1024,0.01,0.9817391037940981
24,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,256,10.0,0.3913043141365052
25,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,256,1.0,0.3913043141365052
26,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.9748954176902771,3,256,0.1,0.9826086759567263
27,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.9665272235870361,3,256,0.01,0.9826086759567263
28,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,512,10.0,0.3913043141365052
29,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,512,1.0,0.4130434453487397
30,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.9748954176902771,3,512,0.1,0.9826086759567263
31,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.9707112908363342,3,512,0.01,0.9826086759567263
32,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,1024,10.0,0.3913043141365052
33,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,1024,1.0,0.4130434453487397
34,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.9748954176902771,3,1024,0.1,0.9826086759567263
35,rect,3,0.0,<function dropout at 0x7f73a021aa60>,0.9748954176902771,3,1024,0.01,0.9826086759567263
36,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,256,10.0,0.3913043141365052
37,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,256,1.0,0.4130434453487397
38,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.9748954176902771,3,256,0.1,0.9826086759567263
39,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.8075312972068787,3,256,0.01,0.769565200805664
40,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,512,10.0,0.3913043141365052
41,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,512,1.0,0.3913043141365052
42,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.97907954454422,3,512,0.1,0.9808695435523989
43,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.9330543875694275,3,512,0.01,0.9391304016113283
44,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,1024,10.0,0.3913043141365052
45,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.3472803235054016,3,1024,1.0,0.3913043141365052
46,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.9874477386474609,3,1024,0.1,0.9817391097545626
47,rect,3,0.5,<function dropout at 0x7f73a021aa60>,0.9748953580856323,3,1024,0.01,0.98086953163147
