,nstart,layerForm,nlayers,dropoutFn,testAccuracy,activationFn,dR,learningrate,valAccuracy
59,512,rect,3,<function dropout at 0x7f19122aaa60>,0.644444465637207,3,0.0,0.01,0.7130435049533843
60,512,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
61,512,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
62,512,rect,3,<function dropout at 0x7f19122aaa60>,0.6666666865348816,3,0.5,0.1,0.6521739155054093
63,512,rect,3,<function dropout at 0x7f19122aaa60>,0.6888889074325562,3,0.5,0.01,0.6478260964155197
64,512,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
65,512,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
66,512,rect,4,<function dropout at 0x7f19122aaa60>,0.6222222447395325,3,0.0,0.1,0.7173913121223449
67,512,rect,4,<function dropout at 0x7f19122aaa60>,0.6000000238418579,3,0.0,0.01,0.6782608807086944
68,512,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
69,512,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
70,512,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
71,512,rect,4,<function dropout at 0x7f19122aaa60>,0.6888889074325562,3,0.5,0.01,0.6130434811115265
72,512,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
73,512,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
74,512,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,0.1,0.7391304373741149
75,512,rect,8,<function dropout at 0x7f19122aaa60>,0.5777778029441833,3,0.0,0.01,0.7347826123237609
76,512,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
77,512,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
78,512,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
79,512,rect,8,<function dropout at 0x7f19122aaa60>,0.6666666865348816,3,0.5,0.01,0.6565217673778534
80,512,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
81,512,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
82,512,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,0.1,0.7391304373741149
83,512,rect,16,<function dropout at 0x7f19122aaa60>,0.6666667461395264,3,0.0,0.01,0.7391304373741149
84,512,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
85,512,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
86,512,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
87,512,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.01,0.7391304373741149
88,512,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
89,512,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
90,512,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,0.1,0.7391304373741149
91,512,rect,32,<function dropout at 0x7f19122aaa60>,0.5555555820465088,3,0.0,0.01,0.782608687877655
92,512,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
93,512,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
94,512,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
95,512,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.01,0.7391304373741149
96,1024,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
97,1024,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
98,1024,rect,2,<function dropout at 0x7f19122aaa60>,0.5777778029441833,3,0.0,0.1,0.6130434811115266
99,1024,rect,2,<function dropout at 0x7f19122aaa60>,0.5777778029441833,3,0.0,0.01,0.6782608807086944
100,1024,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
101,1024,rect,2,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
102,1024,rect,2,<function dropout at 0x7f19122aaa60>,0.5111111402511597,3,0.5,0.1,0.6304347813129425
103,1024,rect,2,<function dropout at 0x7f19122aaa60>,0.5555555820465088,3,0.5,0.01,0.6565217554569244
104,1024,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
105,1024,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
106,1024,rect,3,<function dropout at 0x7f19122aaa60>,0.5333333611488342,3,0.0,0.1,0.6608695805072784
107,1024,rect,3,<function dropout at 0x7f19122aaa60>,0.5555555820465088,3,0.0,0.01,0.6739130556583405
108,1024,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
109,1024,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
110,1024,rect,3,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
111,1024,rect,3,<function dropout at 0x7f19122aaa60>,0.5333333611488342,3,0.5,0.01,0.6086956799030304
112,1024,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
113,1024,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
114,1024,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,0.1,0.7391304373741149
115,1024,rect,4,<function dropout at 0x7f19122aaa60>,0.6000000238418579,3,0.0,0.01,0.7043478310108184
116,1024,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
117,1024,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
118,1024,rect,4,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
119,1024,rect,4,<function dropout at 0x7f19122aaa60>,0.5111111402511597,3,0.5,0.01,0.6478261232376099
120,1024,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
121,1024,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
122,1024,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,0.1,0.7391304373741149
123,1024,rect,8,<function dropout at 0x7f19122aaa60>,0.5777778029441833,3,0.0,0.01,0.782608687877655
124,1024,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
125,1024,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
126,1024,rect,8,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
127,1024,rect,8,<function dropout at 0x7f19122aaa60>,0.6888889074325562,3,0.5,0.01,0.5695652276277542
128,1024,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
129,1024,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
130,1024,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,0.1,0.7391304373741149
131,1024,rect,16,<function dropout at 0x7f19122aaa60>,0.5777778029441833,3,0.0,0.01,0.7434782624244689
132,1024,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
133,1024,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
134,1024,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
135,1024,rect,16,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.01,0.7391304373741149
136,1024,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,10.0,0.7391304373741149
137,1024,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,1.0,0.7391304373741149
138,1024,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.0,0.1,0.7391304373741149
139,1024,rect,32,<function dropout at 0x7f19122aaa60>,0.6000000238418579,3,0.0,0.01,0.652173936367035
140,1024,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,10.0,0.7391304373741149
141,1024,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,1.0,0.7391304373741149
142,1024,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.1,0.7391304373741149
143,1024,rect,32,<function dropout at 0x7f19122aaa60>,0.7111111283302307,3,0.5,0.01,0.7391304373741149
