,dR,valAccuracy,nlayers,dropoutFn,learningrate,layerForm,nstart,testAccuracy,activationFn
0,0.0,0.28780484795570377,2,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.2606635093688965,3
1,0.0,0.23170730471611026,2,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.22748816013336182,3
2,0.0,0.28048777580261236,2,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
3,0.0,0.20731706917285922,2,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.2511848509311676,3
4,0.0,0.2378048658370972,2,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.23222750425338745,3
5,0.0,0.28048777580261236,2,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2606635093688965,3
6,0.0,0.8219511926174164,2,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.7867298722267151,3
7,0.0,0.8451219081878664,2,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.8151658773422241,3
8,0.0,0.8414633810520173,2,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.7535545825958252,3
9,0.0,0.8524389863014223,2,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.7630331516265869,3
10,0.0,0.8268292486667634,2,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.7962085604667664,3
11,0.0,0.8207316994667054,2,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.7867298722267151,3
12,0.0,0.28048777580261236,3,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.2606635093688965,3
13,0.0,0.28048777580261236,3,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.2606635093688965,3
14,0.0,0.28048777580261236,3,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
15,0.0,0.21219511777162556,3,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.2511848509311676,3
16,0.0,0.28048777580261236,3,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.2606635093688965,3
17,0.0,0.28048777580261236,3,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2606635093688965,3
18,0.0,0.8378048360347748,3,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.8104265928268433,3
19,0.0,0.8182926416397095,3,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.7867298722267151,3
20,0.0,0.829268252849579,3,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.7962085008621216,3
21,0.0,0.8243902325630189,3,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.7203791737556458,3
22,0.0,0.8378048539161684,3,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.8104265928268433,3
23,0.0,0.7987804770469666,3,<function dropout at 0x7fde6340fa60>,0.01,cone,1024,0.7488152384757996,3
24,0.0,0.28048777580261236,4,<function dropout at 0x7fde6340fa60>,10.0,cone,256,0.2606635093688965,3
25,0.0,0.28048777580261236,4,<function dropout at 0x7fde6340fa60>,10.0,cone,512,0.2606635093688965,3
26,0.0,0.28048777580261236,4,<function dropout at 0x7fde6340fa60>,10.0,cone,1024,0.2606635093688965,3
27,0.0,0.24390242248773575,4,<function dropout at 0x7fde6340fa60>,1.0,cone,256,0.23222747445106506,3
28,0.0,0.28048777580261236,4,<function dropout at 0x7fde6340fa60>,1.0,cone,512,0.2606635093688965,3
29,0.0,0.28048777580261236,4,<function dropout at 0x7fde6340fa60>,1.0,cone,1024,0.2606635093688965,3
30,0.0,0.8158536434173583,4,<function dropout at 0x7fde6340fa60>,0.1,cone,256,0.7962085604667664,3
31,0.0,0.8658536076545718,4,<function dropout at 0x7fde6340fa60>,0.1,cone,512,0.829383909702301,3
32,0.0,0.8353658199310303,4,<function dropout at 0x7fde6340fa60>,0.1,cone,1024,0.7772511839866638,3
33,0.0,0.8060975670814515,4,<function dropout at 0x7fde6340fa60>,0.01,cone,256,0.7772512435913086,3
34,0.0,0.8280487656593324,4,<function dropout at 0x7fde6340fa60>,0.01,cone,512,0.7677724957466125,3
