,layerForm,nstart,activationFn,testAccuracy,valAccuracy,nlayers,learningrate,dropoutFn,dR
0,rect,256,3,0.5,0.47619050741195673,2,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
1,rect,256,3,0.5,0.47619050741195673,2,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
2,rect,256,3,0.5,0.47619050741195673,2,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
3,rect,256,3,0.5,0.47619050741195673,2,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
4,rect,256,3,0.0357142873108387,0.895238161087036,2,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
5,rect,256,3,0.0357142873108387,0.7190476477146147,2,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
6,rect,256,3,0.0357142873108387,0.814285784959793,2,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
7,rect,256,3,0.0357142873108387,0.6142857372760772,2,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
8,rect,256,3,0.5,0.47619050741195673,3,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
9,rect,256,3,0.5,0.47619050741195673,3,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
10,rect,256,3,0.5,0.47619050741195673,3,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
11,rect,256,3,0.5,0.47619050741195673,3,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
12,rect,256,3,0.0357142873108387,0.8619048237800596,3,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
13,rect,256,3,0.0357142873108387,0.6047619283199309,3,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
14,rect,256,3,0.0357142873108387,0.8190476834774016,3,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
15,rect,256,3,0.0357142873108387,0.5904762148857116,3,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
16,rect,256,3,0.5,0.47619050741195673,4,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
17,rect,256,3,0.5,0.47619050741195673,4,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
18,rect,256,3,0.5,0.47619050741195673,4,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
19,rect,256,3,0.5,0.47619050741195673,4,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
20,rect,256,3,0.0357142873108387,0.8142857551574706,4,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
21,rect,256,3,0.0357142873108387,0.5095238357782363,4,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
22,rect,256,3,0.0357142873108387,0.8000000596046447,4,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
23,rect,256,3,0.0357142873108387,0.6714286088943482,4,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
24,rect,256,3,0.5,0.47619050741195673,8,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
25,rect,256,3,0.5,0.47619050741195673,8,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
26,rect,256,3,0.5,0.47619050741195673,8,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
27,rect,256,3,0.5,0.47619050741195673,8,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
28,rect,256,3,0.0357142873108387,0.785714316368103,8,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
29,rect,256,3,0.5,0.47619050741195673,8,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
30,rect,256,3,0.0357142873108387,0.8190476775169372,8,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
31,rect,256,3,0.0357142873108387,0.6523809731006621,8,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
32,rect,256,3,0.5,0.47619050741195673,16,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
33,rect,256,3,0.5,0.47619050741195673,16,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
34,rect,256,3,0.5,0.47619050741195673,16,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
35,rect,256,3,0.5,0.47619050741195673,16,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
36,rect,256,3,0.5,0.47619050741195673,16,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
37,rect,256,3,0.5,0.47619050741195673,16,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
38,rect,256,3,0.0357142873108387,0.8285714983940123,16,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
39,rect,256,3,0.5,0.47619050741195673,16,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
40,rect,256,3,0.5,0.47619050741195673,32,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
41,rect,256,3,0.5,0.47619050741195673,32,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
42,rect,256,3,0.5,0.47619050741195673,32,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
43,rect,256,3,0.5,0.47619050741195673,32,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
44,rect,256,3,0.5,0.47619050741195673,32,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
45,rect,256,3,0.5,0.47619050741195673,32,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
46,rect,256,3,0.1071428656578064,0.8095238626003264,32,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
47,rect,256,3,0.5,0.47619050741195673,32,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
48,rect,512,3,0.5,0.47619050741195673,2,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
49,rect,512,3,0.5,0.47619050741195673,2,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
50,rect,512,3,0.5,0.47619050741195673,2,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
51,rect,512,3,0.5,0.47619050741195673,2,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
52,rect,512,3,0.0357142873108387,0.8809524476528167,2,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
53,rect,512,3,0.0357142873108387,0.7380952835083007,2,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
54,rect,512,3,0.0357142873108387,0.7809524536132811,2,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
55,rect,512,3,0.0357142873108387,0.7380952894687651,2,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
56,rect,512,3,0.5,0.47619050741195673,3,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
57,rect,512,3,0.5,0.47619050741195673,3,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
58,rect,512,3,0.5,0.47619050741195673,3,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
59,rect,512,3,0.5,0.47619050741195673,3,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
60,rect,512,3,0.0357142873108387,0.8380953013896941,3,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
61,rect,512,3,0.0357142873108387,0.6095238387584686,3,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
62,rect,512,3,0.0357142873108387,0.8190476894378661,3,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
63,rect,512,3,0.0357142873108387,0.7428571999073028,3,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
64,rect,512,3,0.5,0.47619050741195673,4,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
65,rect,512,3,0.5,0.47619050741195673,4,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
66,rect,512,3,0.5,0.47619050741195673,4,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
67,rect,512,3,0.5,0.47619050741195673,4,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
68,rect,512,3,0.0357142873108387,0.8571429252624511,4,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
69,rect,512,3,0.5,0.48095241189002985,4,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
70,rect,512,3,0.0357142873108387,0.8190476834774016,4,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
71,rect,512,3,0.0357142873108387,0.6809524118900299,4,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
72,rect,512,3,0.5,0.47619050741195673,8,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
73,rect,512,3,0.5,0.47619050741195673,8,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
74,rect,512,3,0.5,0.47619050741195673,8,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
75,rect,512,3,0.5,0.47619050741195673,8,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
76,rect,512,3,0.5,0.47619050741195673,8,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
77,rect,512,3,0.5,0.47619050741195673,8,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
78,rect,512,3,0.0357142873108387,0.8142857730388641,8,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
79,rect,512,3,0.0357142873108387,0.5809524059295653,8,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
80,rect,512,3,0.5,0.47619050741195673,16,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
81,rect,512,3,0.5,0.47619050741195673,16,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
82,rect,512,3,0.5,0.47619050741195673,16,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
83,rect,512,3,0.5,0.47619050741195673,16,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
84,rect,512,3,0.5,0.47619050741195673,16,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
85,rect,512,3,0.5,0.47619050741195673,16,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
86,rect,512,3,0.0357142873108387,0.8380953013896941,16,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
87,rect,512,3,0.5,0.47619050741195673,16,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
88,rect,512,3,0.5,0.47619050741195673,32,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
89,rect,512,3,0.5,0.47619050741195673,32,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
90,rect,512,3,0.5,0.47619050741195673,32,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
91,rect,512,3,0.5,0.47619050741195673,32,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
92,rect,512,3,0.5,0.47619050741195673,32,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
93,rect,512,3,0.5,0.47619050741195673,32,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
94,rect,512,3,0.0357142873108387,0.8190476834774016,32,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
95,rect,512,3,0.5,0.47619050741195673,32,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
96,rect,1024,3,0.5,0.47619050741195673,2,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
97,rect,1024,3,0.5,0.47619050741195673,2,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
98,rect,1024,3,0.5,0.47619050741195673,2,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
99,rect,1024,3,0.5,0.47619050741195673,2,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
100,rect,1024,3,0.0357142873108387,0.8571429073810576,2,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
101,rect,1024,3,0.0357142873108387,0.5857143104076384,2,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
102,rect,1024,3,0.0357142873108387,0.8333334028720855,2,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
103,rect,1024,3,0.0357142873108387,0.6952381253242492,2,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
104,rect,1024,3,0.5,0.47619050741195673,3,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
105,rect,1024,3,0.5,0.47619050741195673,3,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
106,rect,1024,3,0.5,0.47619050741195673,3,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
107,rect,1024,3,0.5,0.47619050741195673,3,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
108,rect,1024,3,0.0357142873108387,0.8238095879554747,3,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
109,rect,1024,3,0.5,0.48571431636810297,3,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
110,rect,1024,3,0.0357142873108387,0.8190476894378661,3,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
111,rect,1024,3,0.0357142873108387,0.7476190924644469,3,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
112,rect,1024,3,0.5,0.47619050741195673,4,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
113,rect,1024,3,0.5,0.47619050741195673,4,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
114,rect,1024,3,0.5,0.47619050741195673,4,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
115,rect,1024,3,0.5,0.47619050741195673,4,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
116,rect,1024,3,0.5,0.48095241189002985,4,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
117,rect,1024,3,0.5,0.47619050741195673,4,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
118,rect,1024,3,0.0357142873108387,0.8238095819950103,4,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
119,rect,1024,3,0.0357142873108387,0.7142857491970062,4,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
120,rect,1024,3,0.5,0.47619050741195673,8,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
121,rect,1024,3,0.5,0.47619050741195673,8,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
122,rect,1024,3,0.5,0.47619050741195673,8,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
123,rect,1024,3,0.5,0.47619050741195673,8,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
124,rect,1024,3,0.5,0.47619050741195673,8,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
125,rect,1024,3,0.5,0.47619050741195673,8,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
126,rect,1024,3,0.0357142873108387,0.8285714924335479,8,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
127,rect,1024,3,0.0357142873108387,0.5904762178659438,8,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
128,rect,1024,3,0.5,0.47619050741195673,16,10.0,<function dropout at 0x7f07ea1f6a60>,0.0
129,rect,1024,3,0.5,0.47619050741195673,16,10.0,<function dropout at 0x7f07ea1f6a60>,0.5
130,rect,1024,3,0.5,0.47619050741195673,16,1.0,<function dropout at 0x7f07ea1f6a60>,0.0
131,rect,1024,3,0.5,0.47619050741195673,16,1.0,<function dropout at 0x7f07ea1f6a60>,0.5
132,rect,1024,3,0.5,0.47619050741195673,16,0.1,<function dropout at 0x7f07ea1f6a60>,0.0
133,rect,1024,3,0.5,0.47619050741195673,16,0.1,<function dropout at 0x7f07ea1f6a60>,0.5
134,rect,1024,3,0.0357142873108387,0.8333333909511564,16,0.01,<function dropout at 0x7f07ea1f6a60>,0.0
135,rect,1024,3,0.5,0.47619050741195673,16,0.01,<function dropout at 0x7f07ea1f6a60>,0.5
