,activationFn,nlayers,testAccuracy,learningrate,dropoutFn,dR,nstart,valAccuracy,layerForm
0,3,2,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.28571429848670954,cone
1,3,2,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.28571429848670954,cone
2,3,2,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.28571429848670954,cone
3,3,2,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
4,3,2,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
5,3,2,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
6,3,2,0.4268292486667633,1.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.304761916399002,cone
7,3,2,0.25609755516052246,1.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.21428572237491608,cone
8,3,2,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.28571429848670954,cone
9,3,2,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
10,3,2,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
11,3,2,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
12,3,2,0.5,0.1,<function dropout at 0x7f5a51757a60>,0.0,256,0.4047619134187698,cone
13,3,2,0.5,0.1,<function dropout at 0x7f5a51757a60>,0.0,512,0.41190477609634396,cone
14,3,2,0.46341460943222046,0.1,<function dropout at 0x7f5a51757a60>,0.0,1024,0.42857143878936765,cone
15,3,2,0.5121951103210449,0.1,<function dropout at 0x7f5a51757a60>,0.5,256,0.41904762983322136,cone
16,3,2,0.5121951103210449,0.1,<function dropout at 0x7f5a51757a60>,0.5,512,0.4214285820722579,cone
17,3,2,0.5,0.1,<function dropout at 0x7f5a51757a60>,0.5,1024,0.40952381491661066,cone
18,3,2,0.5365853309631348,0.01,<function dropout at 0x7f5a51757a60>,0.0,256,0.43095239698886867,cone
19,3,2,0.5365853309631348,0.01,<function dropout at 0x7f5a51757a60>,0.0,512,0.3952381014823913,cone
20,3,2,0.5365853309631348,0.01,<function dropout at 0x7f5a51757a60>,0.0,1024,0.40476191043853754,cone
21,3,2,0.5365853309631348,0.01,<function dropout at 0x7f5a51757a60>,0.5,256,0.4071428656578064,cone
22,3,2,0.5365853309631348,0.01,<function dropout at 0x7f5a51757a60>,0.5,512,0.39047619998455046,cone
23,3,2,0.5487805008888245,0.01,<function dropout at 0x7f5a51757a60>,0.5,1024,0.42142858803272243,cone
24,3,3,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.28571429848670954,cone
25,3,3,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.28571429848670954,cone
26,3,3,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.28571429848670954,cone
27,3,3,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
28,3,3,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
29,3,3,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
30,3,3,0.0731707289814949,1.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.04047619123011828,cone
31,3,3,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.28571429848670954,cone
32,3,3,0.08536584675312042,1.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.17619048375636337,cone
33,3,3,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
34,3,3,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
35,3,3,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
36,3,3,0.4878048896789551,0.1,<function dropout at 0x7f5a51757a60>,0.0,256,0.40714286565780633,cone
37,3,3,0.5487804412841797,0.1,<function dropout at 0x7f5a51757a60>,0.0,512,0.4380952447652816,cone
38,3,3,0.46341460943222046,0.1,<function dropout at 0x7f5a51757a60>,0.0,1024,0.4095238178968429,cone
39,3,3,0.5121951103210449,0.1,<function dropout at 0x7f5a51757a60>,0.5,256,0.4261904835700988,cone
40,3,3,0.5121951103210449,0.1,<function dropout at 0x7f5a51757a60>,0.5,512,0.4309523850679397,cone
41,3,3,0.5243902206420898,0.1,<function dropout at 0x7f5a51757a60>,0.5,1024,0.3928571581840515,cone
42,3,3,0.5121951103210449,0.01,<function dropout at 0x7f5a51757a60>,0.0,256,0.40476191043853754,cone
43,3,3,0.5609755516052246,0.01,<function dropout at 0x7f5a51757a60>,0.0,512,0.4380952417850494,cone
44,3,3,0.5121951103210449,0.01,<function dropout at 0x7f5a51757a60>,0.0,1024,0.4071428626775741,cone
45,3,3,0.4999999701976776,0.01,<function dropout at 0x7f5a51757a60>,0.5,256,0.4523810148239137,cone
46,3,3,0.47560974955558777,0.01,<function dropout at 0x7f5a51757a60>,0.5,512,0.41666668653488154,cone
47,3,3,0.5243902206420898,0.01,<function dropout at 0x7f5a51757a60>,0.5,1024,0.40000000894069665,cone
48,3,4,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.28571429848670954,cone
49,3,4,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.28571429848670954,cone
50,3,4,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.28571429848670954,cone
51,3,4,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
52,3,4,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
53,3,4,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
54,3,4,0.060975607484579086,1.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.08095238432288168,cone
55,3,4,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.28571429848670954,cone
56,3,4,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.28571429848670954,cone
57,3,4,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
58,3,4,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
59,3,4,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
60,3,4,0.5487805008888245,0.1,<function dropout at 0x7f5a51757a60>,0.0,256,0.404761916399002,cone
61,3,4,0.5365853309631348,0.1,<function dropout at 0x7f5a51757a60>,0.0,512,0.3714285790920257,cone
62,3,4,0.45121949911117554,0.1,<function dropout at 0x7f5a51757a60>,0.0,1024,0.3833333402872085,cone
63,3,4,0.4878048300743103,0.1,<function dropout at 0x7f5a51757a60>,0.5,256,0.4547619253396988,cone
64,3,4,0.45121949911117554,0.1,<function dropout at 0x7f5a51757a60>,0.5,512,0.4357142955064773,cone
65,3,4,0.5243902206420898,0.1,<function dropout at 0x7f5a51757a60>,0.5,1024,0.4333333402872085,cone
66,3,4,0.4756097197532654,0.01,<function dropout at 0x7f5a51757a60>,0.0,256,0.45238095521926874,cone
67,3,4,0.5,0.01,<function dropout at 0x7f5a51757a60>,0.0,512,0.3976190626621246,cone
68,3,4,0.5243902206420898,0.01,<function dropout at 0x7f5a51757a60>,0.0,1024,0.3761904835700988,cone
69,3,4,0.5121951103210449,0.01,<function dropout at 0x7f5a51757a60>,0.5,256,0.402380958199501,cone
70,3,4,0.5243902206420898,0.01,<function dropout at 0x7f5a51757a60>,0.5,512,0.4166666865348816,cone
71,3,4,0.45121949911117554,0.01,<function dropout at 0x7f5a51757a60>,0.5,1024,0.44761905670166013,cone
72,3,8,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.28571429848670954,cone
73,3,8,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.28571429848670954,cone
74,3,8,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.28571429848670954,cone
75,3,8,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
76,3,8,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
77,3,8,0.3048780560493469,10.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
78,3,8,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,256,0.28571429848670954,cone
79,3,8,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,512,0.28571429848670954,cone
80,3,8,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.0,1024,0.28571429848670954,cone
81,3,8,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,256,0.28571429848670954,cone
82,3,8,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,512,0.28571429848670954,cone
83,3,8,0.3048780560493469,1.0,<function dropout at 0x7f5a51757a60>,0.5,1024,0.28571429848670954,cone
84,3,8,0.4390243589878082,0.1,<function dropout at 0x7f5a51757a60>,0.0,256,0.4166666775941848,cone
85,3,8,0.4999999701976776,0.1,<function dropout at 0x7f5a51757a60>,0.0,512,0.36190477013587946,cone
86,3,8,0.4999999701976776,0.1,<function dropout at 0x7f5a51757a60>,0.0,1024,0.3785714387893676,cone
