,dropoutFn,nstart,dR,valAccuracy,nlayers,activationFn,layerForm,testAccuracy,learningrate
71,<function dropout at 0x7fb9c01c3a60>,512,0.0,0.664361721277237,32,3,cone,0.7211054563522339,0.01
72,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,2,3,cone,0.10050250589847565,10.0
73,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.13031915053725246,2,3,cone,0.09798994660377502,1.0
74,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.9249999761581422,2,3,cone,0.9396985173225403,0.1
75,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.904255324602127,2,3,cone,0.9170854091644287,0.01
76,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,3,3,cone,0.10050250589847565,10.0
77,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.1180851072072983,3,3,cone,0.09798994660377502,1.0
78,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.9148936033248901,3,3,cone,0.9271356463432312,0.1
79,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.9079786956310271,3,3,cone,0.909547746181488,0.01
80,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,4,3,cone,0.10050250589847565,10.0
81,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,4,3,cone,0.10050250589847565,1.0
82,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.9069148659706114,4,3,cone,0.9321607947349548,0.1
83,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.8489361524581909,4,3,cone,0.839195966720581,0.01
84,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,8,3,cone,0.10050250589847565,10.0
85,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,8,3,cone,0.10050250589847565,1.0
86,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.18829787075519563,8,3,cone,0.19597987830638885,0.1
87,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.11702127754688263,8,3,cone,0.15829145908355713,0.01
88,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,16,3,cone,0.10050250589847565,10.0
89,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,16,3,cone,0.10050250589847565,1.0
90,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,16,3,cone,0.10050250589847565,0.1
91,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.10585106313228608,16,3,cone,0.07035175710916519,0.01
92,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,32,3,cone,0.10050250589847565,10.0
93,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,32,3,cone,0.10050250589847565,1.0
94,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,32,3,cone,0.10050250589847565,0.1
95,<function dropout at 0x7fb9c01c3a60>,512,0.5,0.09574468433856965,32,3,cone,0.10050250589847565,0.01
