,layerForm,testAccuracy,nlayers,valAccuracy,dropoutFn,dR,learningrate,activationFn,nstart
0,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,10.0,3,256
1,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,10.0,3,512
2,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,10.0,3,1024
3,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,1.0,3,256
4,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,1.0,3,512
5,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,1.0,3,1024
6,rect,0.8799999952316284,2,0.9299999833106996,<function dropout at 0x7f6594f34a60>,0.0,0.1,3,256
7,rect,0.8399999737739563,2,0.8499999880790712,<function dropout at 0x7f6594f34a60>,0.0,0.1,3,512
8,rect,0.8799999952316284,2,0.9499999880790712,<function dropout at 0x7f6594f34a60>,0.0,0.1,3,1024
9,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.0,0.01,3,256
10,rect,0.8400000333786011,2,0.9299999833106996,<function dropout at 0x7f6594f34a60>,0.0,0.01,3,512
11,rect,0.9199999570846558,2,0.8999999940395357,<function dropout at 0x7f6594f34a60>,0.0,0.01,3,1024
12,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.5,10.0,3,256
13,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.5,10.0,3,512
14,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.5,10.0,3,1024
15,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.5,1.0,3,256
16,rect,0.8799999952316284,2,0.9999999999999999,<function dropout at 0x7f6594f34a60>,0.5,1.0,3,512
