,valAccuracy,dR,activationFn,dropoutFn,nlayers,nstart,layerForm,learningrate,testAccuracy
0,0.4643874585628509,0.0,3,<function dropout at 0x7f1491984a60>,2,256,rect,10.0,0.47684603929519653
1,0.4643874585628509,0.0,3,<function dropout at 0x7f1491984a60>,2,256,rect,1.0,0.47684603929519653
2,0.9914530396461486,0.0,3,<function dropout at 0x7f1491984a60>,2,256,rect,0.1,0.9849812984466553
3,0.9854700684547426,0.0,3,<function dropout at 0x7f1491984a60>,2,256,rect,0.01,0.978723406791687
4,0.46438747048377993,0.0,3,<function dropout at 0x7f1491984a60>,2,512,rect,10.0,0.47684603929519653
5,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,2,512,rect,1.0,0.47684603929519653
6,0.9934473037719727,0.0,3,<function dropout at 0x7f1491984a60>,2,512,rect,0.1,0.9862328767776489
7,0.9820512294769288,0.0,3,<function dropout at 0x7f1491984a60>,2,512,rect,0.01,0.9799749851226807
8,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,2,1024,rect,10.0,0.47684603929519653
9,0.4643874764442444,0.0,3,<function dropout at 0x7f1491984a60>,2,1024,rect,1.0,0.47684603929519653
10,0.9960113763809204,0.0,3,<function dropout at 0x7f1491984a60>,2,1024,rect,0.1,0.9862328767776489
11,0.982905924320221,0.0,3,<function dropout at 0x7f1491984a60>,2,1024,rect,0.01,0.9774718284606934
12,0.46438746452331536,0.0,3,<function dropout at 0x7f1491984a60>,3,256,rect,10.0,0.47684603929519653
13,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,3,256,rect,1.0,0.47684603929519653
14,0.9928775072097779,0.0,3,<function dropout at 0x7f1491984a60>,3,256,rect,0.1,0.9899876117706299
15,0.9934473156929016,0.0,3,<function dropout at 0x7f1491984a60>,3,256,rect,0.01,0.9799750447273254
16,0.46438745260238645,0.0,3,<function dropout at 0x7f1491984a60>,3,512,rect,10.0,0.47684603929519653
17,0.46438745856285096,0.0,3,<function dropout at 0x7f1491984a60>,3,512,rect,1.0,0.47684603929519653
18,0.9871794700622559,0.0,3,<function dropout at 0x7f1491984a60>,3,512,rect,0.1,0.9862328767776489
19,0.9829059839248656,0.0,3,<function dropout at 0x7f1491984a60>,3,512,rect,0.01,0.9762203097343445
20,0.46438747048377993,0.0,3,<function dropout at 0x7f1491984a60>,3,1024,rect,10.0,0.47684603929519653
21,0.46438747048377993,0.0,3,<function dropout at 0x7f1491984a60>,3,1024,rect,1.0,0.47684603929519653
22,0.9917379498481749,0.0,3,<function dropout at 0x7f1491984a60>,3,1024,rect,0.1,0.987484335899353
23,0.9874643564224242,0.0,3,<function dropout at 0x7f1491984a60>,3,1024,rect,0.01,0.9837297201156616
24,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,4,256,rect,10.0,0.47684603929519653
25,0.4643874704837799,0.0,3,<function dropout at 0x7f1491984a60>,4,256,rect,1.0,0.47684603929519653
26,0.9991453051567079,0.0,3,<function dropout at 0x7f1491984a60>,4,256,rect,0.1,0.9874844551086426
27,0.9820512413978576,0.0,3,<function dropout at 0x7f1491984a60>,4,256,rect,0.01,0.9799749851226807
28,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,4,512,rect,10.0,0.47684603929519653
29,0.46438747048377993,0.0,3,<function dropout at 0x7f1491984a60>,4,512,rect,1.0,0.47684603929519653
30,0.9960114300251007,0.0,3,<function dropout at 0x7f1491984a60>,4,512,rect,0.1,0.9849812984466553
31,0.9820512294769287,0.0,3,<function dropout at 0x7f1491984a60>,4,512,rect,0.01,0.9787234663963318
32,0.4643874585628509,0.0,3,<function dropout at 0x7f1491984a60>,4,1024,rect,10.0,0.47684603929519653
33,0.4643874585628509,0.0,3,<function dropout at 0x7f1491984a60>,4,1024,rect,1.0,0.47684603929519653
34,0.992307710647583,0.0,3,<function dropout at 0x7f1491984a60>,4,1024,rect,0.1,0.9874844551086426
35,0.9877492547035216,0.0,3,<function dropout at 0x7f1491984a60>,4,1024,rect,0.01,0.9862328767776489
36,0.46438745260238645,0.0,3,<function dropout at 0x7f1491984a60>,8,256,rect,10.0,0.47684603929519653
37,0.4643874526023864,0.0,3,<function dropout at 0x7f1491984a60>,8,256,rect,1.0,0.47684603929519653
38,0.989458692073822,0.0,3,<function dropout at 0x7f1491984a60>,8,256,rect,0.1,0.9874844551086426
39,0.9871794581413268,0.0,3,<function dropout at 0x7f1491984a60>,8,256,rect,0.01,0.9837297201156616
40,0.4643875002861024,0.0,3,<function dropout at 0x7f1491984a60>,8,512,rect,10.0,0.47684603929519653
41,0.46438745856285096,0.0,3,<function dropout at 0x7f1491984a60>,8,512,rect,1.0,0.47684603929519653
42,0.46438745856285096,0.0,3,<function dropout at 0x7f1491984a60>,8,512,rect,0.1,0.47684603929519653
43,0.9857549071311953,0.0,3,<function dropout at 0x7f1491984a60>,8,512,rect,0.01,0.982478141784668
44,0.46438744664192194,0.0,3,<function dropout at 0x7f1491984a60>,8,1024,rect,10.0,0.47684603929519653
