,testAccuracy,learningrate,nstart,dR,nlayers,valAccuracy,activationFn,dropoutFn,layerForm
0,0.7551020383834839,10.0,256,0.0,2,0.8421052694320678,3,<function dropout at 0x7fa8699efa60>,cone
1,0.2448979616165161,10.0,256,0.0,3,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
2,0.2448979616165161,10.0,256,0.0,4,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
3,0.2448979616165161,10.0,256,0.0,8,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
4,0.2448979616165161,10.0,256,0.0,16,0.7368421405553819,3,<function dropout at 0x7fa8699efa60>,cone
5,0.7551020383834839,10.0,256,0.0,32,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
6,0.2448979616165161,10.0,256,0.5,2,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
7,0.2448979616165161,10.0,256,0.5,3,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
8,0.2448979616165161,10.0,256,0.5,4,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
9,0.2448979616165161,10.0,256,0.5,8,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
10,0.2448979616165161,10.0,256,0.5,16,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
11,0.2448979616165161,10.0,256,0.5,32,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
12,0.2448979616165161,10.0,512,0.0,2,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
13,0.2448979616165161,10.0,512,0.0,3,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
14,0.2448979616165161,10.0,512,0.0,4,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
15,0.2448979616165161,10.0,512,0.0,8,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
16,0.2448979616165161,10.0,512,0.0,16,0.7368421405553819,3,<function dropout at 0x7fa8699efa60>,cone
17,0.2448979616165161,10.0,512,0.0,32,0.7368421405553819,3,<function dropout at 0x7fa8699efa60>,cone
18,0.2448979616165161,10.0,512,0.5,2,0.17894736975431438,3,<function dropout at 0x7fa8699efa60>,cone
19,0.2448979616165161,10.0,512,0.5,3,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
20,0.2448979616165161,10.0,512,0.5,4,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
21,0.2448979616165161,10.0,512,0.5,8,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
22,0.2448979616165161,10.0,512,0.5,16,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
23,0.2448979616165161,10.0,512,0.5,32,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
24,0.2448979616165161,10.0,1024,0.0,2,0.18421053141355512,3,<function dropout at 0x7fa8699efa60>,cone
25,0.2448979616165161,10.0,1024,0.0,3,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
26,0.2448979616165161,10.0,1024,0.0,4,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
27,0.2448979616165161,10.0,1024,0.0,8,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
28,0.2448979616165161,10.0,1024,0.0,16,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
29,0.2448979616165161,10.0,1024,0.0,32,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
30,0.2448979616165161,10.0,1024,0.5,2,0.18421053141355512,3,<function dropout at 0x7fa8699efa60>,cone
31,0.2448979616165161,10.0,1024,0.5,3,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
32,0.2448979616165161,10.0,1024,0.5,4,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
33,0.2448979616165161,10.0,1024,0.5,8,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
34,0.2448979616165161,10.0,1024,0.5,16,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
35,0.2448979616165161,10.0,1024,0.5,32,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
36,0.2448979616165161,1.0,256,0.0,2,0.16842105239629743,3,<function dropout at 0x7fa8699efa60>,cone
37,0.7346938848495483,1.0,256,0.0,3,0.7368421405553819,3,<function dropout at 0x7fa8699efa60>,cone
38,0.7551020383834839,1.0,256,0.0,4,0.8000000476837159,3,<function dropout at 0x7fa8699efa60>,cone
39,0.7551020383834839,1.0,256,0.0,8,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
40,0.7551020383834839,1.0,256,0.0,16,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
41,0.7551020383834839,1.0,256,0.0,32,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
42,0.2448979616165161,1.0,256,0.5,2,0.14210526794195172,3,<function dropout at 0x7fa8699efa60>,cone
43,0.2448979616165161,1.0,256,0.5,3,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
44,0.2448979616165161,1.0,256,0.5,4,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
45,0.2448979616165161,1.0,256,0.5,8,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
46,0.2448979616165161,1.0,256,0.5,16,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
47,0.2448979616165161,1.0,256,0.5,32,0.2631579041481018,3,<function dropout at 0x7fa8699efa60>,cone
48,0.2448979616165161,1.0,512,0.0,2,0.17894736975431438,3,<function dropout at 0x7fa8699efa60>,cone
49,0.7346938848495483,1.0,512,0.0,3,0.7105263024568558,3,<function dropout at 0x7fa8699efa60>,cone
50,0.7551020383834839,1.0,512,0.0,4,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
51,0.2448979616165161,1.0,512,0.0,8,0.7368421405553819,3,<function dropout at 0x7fa8699efa60>,cone
52,0.7551020383834839,1.0,512,0.0,16,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
53,0.7551020383834839,1.0,512,0.0,32,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
54,0.2448979616165161,1.0,512,0.5,2,0.11052631586790083,3,<function dropout at 0x7fa8699efa60>,cone
55,0.2448979616165161,1.0,512,0.5,3,0.18421053141355512,3,<function dropout at 0x7fa8699efa60>,cone
56,0.2448979616165161,1.0,512,0.5,4,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
57,0.2448979616165161,1.0,512,0.5,8,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
58,0.2448979616165161,1.0,512,0.5,16,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
59,0.7551020383834839,1.0,512,0.5,32,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
60,0.2448979616165161,1.0,1024,0.0,2,0.1631578981876373,3,<function dropout at 0x7fa8699efa60>,cone
61,0.2448979616165161,1.0,1024,0.0,3,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
62,0.7551020383834839,1.0,1024,0.0,4,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
63,0.7551020383834839,1.0,1024,0.0,8,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
64,0.2448979616165161,1.0,1024,0.0,16,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
65,0.7551020383834839,1.0,1024,0.0,32,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
66,0.2448979616165161,1.0,1024,0.5,2,0.4210526496171953,3,<function dropout at 0x7fa8699efa60>,cone
67,0.2448979616165161,1.0,1024,0.5,3,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
68,0.2448979616165161,1.0,1024,0.5,4,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
69,0.2448979616165161,1.0,1024,0.5,8,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
70,0.2448979616165161,1.0,1024,0.5,16,0.10526315867900847,3,<function dropout at 0x7fa8699efa60>,cone
71,0.2448979616165161,1.0,1024,0.5,32,0.18421053141355512,3,<function dropout at 0x7fa8699efa60>,cone
72,0.8775509595870972,0.1,256,0.0,2,0.8842105627059937,3,<function dropout at 0x7fa8699efa60>,cone
73,0.8571428060531616,0.1,256,0.0,3,0.9473684430122375,3,<function dropout at 0x7fa8699efa60>,cone
74,0.8979591131210327,0.1,256,0.0,4,0.9052631974220278,3,<function dropout at 0x7fa8699efa60>,cone
75,0.8979591131210327,0.1,256,0.0,8,0.9263158202171327,3,<function dropout at 0x7fa8699efa60>,cone
76,0.8979591131210327,0.1,256,0.0,16,0.8473684430122377,3,<function dropout at 0x7fa8699efa60>,cone
77,0.795918345451355,0.1,256,0.0,32,0.7842105507850647,3,<function dropout at 0x7fa8699efa60>,cone
78,0.8979591131210327,0.1,256,0.5,2,0.8842105627059937,3,<function dropout at 0x7fa8699efa60>,cone
79,0.8163264989852905,0.1,256,0.5,3,0.8263157844543456,3,<function dropout at 0x7fa8699efa60>,cone
80,0.8571428060531616,0.1,256,0.5,4,0.868421083688736,3,<function dropout at 0x7fa8699efa60>,cone
81,0.7551020383834839,0.1,256,0.5,8,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
82,0.7551020383834839,0.1,256,0.5,16,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
83,0.7551020383834839,0.1,256,0.5,32,0.8947368860244752,3,<function dropout at 0x7fa8699efa60>,cone
