,learningrate,dR,nstart,testAccuracy,valAccuracy,activationFn,layerForm,nlayers,dropoutFn
0,10.0,0.0,256,0.7272727489471436,0.9999999999999999,3,cone,2,<function dropout at 0x7f35a86eba60>
1,10.0,0.0,256,0.7272727489471436,0.9999999999999999,3,cone,3,<function dropout at 0x7f35a86eba60>
2,10.0,0.0,256,0.7272727489471436,0.9999999999999999,3,cone,4,<function dropout at 0x7f35a86eba60>
3,10.0,0.0,256,0.7272727489471436,0.9999999999999999,3,cone,8,<function dropout at 0x7f35a86eba60>
4,10.0,0.0,256,0.7272727489471436,0.9999999999999999,3,cone,16,<function dropout at 0x7f35a86eba60>
5,10.0,0.0,256,0.7272727489471436,0.9999999999999999,3,cone,32,<function dropout at 0x7f35a86eba60>
6,10.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,2,<function dropout at 0x7f35a86eba60>
7,10.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,3,<function dropout at 0x7f35a86eba60>
8,10.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,4,<function dropout at 0x7f35a86eba60>
9,10.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,8,<function dropout at 0x7f35a86eba60>
10,10.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,16,<function dropout at 0x7f35a86eba60>
11,10.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,32,<function dropout at 0x7f35a86eba60>
12,10.0,0.0,1024,0.7272727489471436,0.9999999999999999,3,cone,2,<function dropout at 0x7f35a86eba60>
13,10.0,0.0,1024,0.7272727489471436,0.9999999999999999,3,cone,3,<function dropout at 0x7f35a86eba60>
14,10.0,0.0,1024,0.7272727489471436,0.9999999999999999,3,cone,4,<function dropout at 0x7f35a86eba60>
15,10.0,0.0,1024,0.7272727489471436,0.9999999999999999,3,cone,8,<function dropout at 0x7f35a86eba60>
16,10.0,0.0,1024,0.7272727489471436,0.9999999999999999,3,cone,16,<function dropout at 0x7f35a86eba60>
17,10.0,0.0,1024,0.7272727489471436,0.9999999999999999,3,cone,32,<function dropout at 0x7f35a86eba60>
18,10.0,0.5,256,0.7272727489471436,0.9999999999999999,3,cone,2,<function dropout at 0x7f35a86eba60>
19,10.0,0.5,256,0.7272727489471436,0.9999999999999999,3,cone,3,<function dropout at 0x7f35a86eba60>
20,10.0,0.5,256,0.7272727489471436,0.9999999999999999,3,cone,4,<function dropout at 0x7f35a86eba60>
21,10.0,0.5,256,0.7272727489471436,0.9999999999999999,3,cone,8,<function dropout at 0x7f35a86eba60>
22,10.0,0.5,256,0.7272727489471436,0.9999999999999999,3,cone,16,<function dropout at 0x7f35a86eba60>
23,10.0,0.5,256,0.7272727489471436,0.9999999999999999,3,cone,32,<function dropout at 0x7f35a86eba60>
24,10.0,0.5,512,0.7272727489471436,0.9999999999999999,3,cone,2,<function dropout at 0x7f35a86eba60>
25,10.0,0.5,512,0.7272727489471436,0.9999999999999999,3,cone,3,<function dropout at 0x7f35a86eba60>
26,10.0,0.5,512,0.7272727489471436,0.9999999999999999,3,cone,4,<function dropout at 0x7f35a86eba60>
27,10.0,0.5,512,0.7272727489471436,0.9999999999999999,3,cone,8,<function dropout at 0x7f35a86eba60>
28,10.0,0.5,512,0.7272727489471436,0.9999999999999999,3,cone,16,<function dropout at 0x7f35a86eba60>
29,10.0,0.5,512,0.7272727489471436,0.9999999999999999,3,cone,32,<function dropout at 0x7f35a86eba60>
30,10.0,0.5,1024,0.7272727489471436,0.9999999999999999,3,cone,2,<function dropout at 0x7f35a86eba60>
31,10.0,0.5,1024,0.7272727489471436,0.9999999999999999,3,cone,3,<function dropout at 0x7f35a86eba60>
32,10.0,0.5,1024,0.7272727489471436,0.9999999999999999,3,cone,4,<function dropout at 0x7f35a86eba60>
33,10.0,0.5,1024,0.7272727489471436,0.9999999999999999,3,cone,8,<function dropout at 0x7f35a86eba60>
34,10.0,0.5,1024,0.7272727489471436,0.9999999999999999,3,cone,16,<function dropout at 0x7f35a86eba60>
35,10.0,0.5,1024,0.7272727489471436,0.9999999999999999,3,cone,32,<function dropout at 0x7f35a86eba60>
36,1.0,0.0,256,0.7272727489471436,0.9999999999999999,3,cone,2,<function dropout at 0x7f35a86eba60>
37,1.0,0.0,256,0.7272727489471436,0.9999999999999999,3,cone,3,<function dropout at 0x7f35a86eba60>
38,1.0,0.0,256,0.7272727489471436,0.9999999999999999,3,cone,4,<function dropout at 0x7f35a86eba60>
39,1.0,0.0,256,0.7272727489471436,0.8999999999999999,3,cone,8,<function dropout at 0x7f35a86eba60>
40,1.0,0.0,256,0.7272727489471436,0.9999999999999999,3,cone,16,<function dropout at 0x7f35a86eba60>
41,1.0,0.0,256,0.7272727489471436,0.9999999999999999,3,cone,32,<function dropout at 0x7f35a86eba60>
42,1.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,2,<function dropout at 0x7f35a86eba60>
43,1.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,3,<function dropout at 0x7f35a86eba60>
44,1.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,4,<function dropout at 0x7f35a86eba60>
45,1.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,8,<function dropout at 0x7f35a86eba60>
46,1.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,16,<function dropout at 0x7f35a86eba60>
47,1.0,0.0,512,0.7272727489471436,0.9999999999999999,3,cone,32,<function dropout at 0x7f35a86eba60>
48,1.0,0.0,1024,0.7272727489471436,0.1,3,cone,2,<function dropout at 0x7f35a86eba60>
49,1.0,0.0,1024,0.7272727489471436,0.9999999999999999,3,cone,3,<function dropout at 0x7f35a86eba60>
50,1.0,0.0,1024,0.7272727489471436,0.9999999999999999,3,cone,4,<function dropout at 0x7f35a86eba60>
51,1.0,0.0,1024,0.7272727489471436,0.9999999999999999,3,cone,8,<function dropout at 0x7f35a86eba60>
52,1.0,0.0,1024,0.7272727489471436,0.9999999999999999,3,cone,16,<function dropout at 0x7f35a86eba60>
53,1.0,0.0,1024,0.7272727489471436,0.9999999999999999,3,cone,32,<function dropout at 0x7f35a86eba60>
54,1.0,0.5,256,0.7272727489471436,0.9999999999999999,3,cone,2,<function dropout at 0x7f35a86eba60>
55,1.0,0.5,256,0.7272727489471436,0.9999999999999999,3,cone,3,<function dropout at 0x7f35a86eba60>
