,dR,dropoutFn,valAccuracy,learningrate,nstart,testAccuracy,activationFn,layerForm,nlayers
0,0.0,<function dropout at 0x7fc266982a60>,0.571153861284256,10.0,256,0.6060869693756104,3,cone,2
1,0.0,<function dropout at 0x7fc266982a60>,0.571153849363327,10.0,256,0.6060869693756104,3,cone,3
2,0.0,<function dropout at 0x7fc266982a60>,0.571153837442398,10.0,256,0.6060869693756104,3,cone,4
3,0.0,<function dropout at 0x7fc266982a60>,0.571153837442398,10.0,256,0.6060869693756104,3,cone,8
4,0.0,<function dropout at 0x7fc266982a60>,0.5426923096179962,10.0,256,0.6060869693756104,3,cone,16
5,0.0,<function dropout at 0x7fc266982a60>,0.5711538434028626,10.0,256,0.6060869693756104,3,cone,32
6,0.0,<function dropout at 0x7fc266982a60>,0.5711538195610045,10.0,512,0.6060869693756104,3,cone,2
7,0.0,<function dropout at 0x7fc266982a60>,0.5711538255214691,10.0,512,0.6060869693756104,3,cone,3
8,0.0,<function dropout at 0x7fc266982a60>,0.5711538434028626,10.0,512,0.6060869693756104,3,cone,4
9,0.0,<function dropout at 0x7fc266982a60>,0.5711538672447205,10.0,512,0.6060869693756104,3,cone,8
10,0.0,<function dropout at 0x7fc266982a60>,0.571153837442398,10.0,512,0.6060869693756104,3,cone,16
11,0.0,<function dropout at 0x7fc266982a60>,0.571153837442398,10.0,512,0.6060869693756104,3,cone,32
12,0.0,<function dropout at 0x7fc266982a60>,0.5711538493633269,10.0,1024,0.6060869693756104,3,cone,2
13,0.0,<function dropout at 0x7fc266982a60>,0.5711538195610045,10.0,1024,0.6060869693756104,3,cone,3
14,0.0,<function dropout at 0x7fc266982a60>,0.5711538612842559,10.0,1024,0.6060869693756104,3,cone,4
15,0.0,<function dropout at 0x7fc266982a60>,0.571153837442398,10.0,1024,0.6060869693756104,3,cone,8
16,0.0,<function dropout at 0x7fc266982a60>,0.528461554646492,10.0,1024,0.39391303062438965,3,cone,16
17,0.0,<function dropout at 0x7fc266982a60>,0.5711538672447204,10.0,1024,0.6060869693756104,3,cone,32
18,0.0,<function dropout at 0x7fc266982a60>,0.9442307829856873,1.0,256,0.940000057220459,3,cone,2
19,0.0,<function dropout at 0x7fc266982a60>,0.9267307579517365,1.0,256,0.9408695697784424,3,cone,3
20,0.0,<function dropout at 0x7fc266982a60>,0.9371154069900514,1.0,256,0.9269565343856812,3,cone,4
21,0.0,<function dropout at 0x7fc266982a60>,0.9332692563533783,1.0,256,0.9347826838493347,3,cone,8
22,0.0,<function dropout at 0x7fc266982a60>,0.5711538255214691,1.0,256,0.6060869693756104,3,cone,16
23,0.0,<function dropout at 0x7fc266982a60>,0.5848076790571212,1.0,256,0.6060869693756104,3,cone,32
