,valAccuracy,activationFn,learningrate,nlayers,nstart,testAccuracy,dR,dropoutFn,layerForm
0,0.588235318660736,3,10.0,2,256,0.6712963581085205,0.0,<function dropout at 0x7f6f0e00da60>,rect
1,0.588235318660736,3,10.0,2,256,0.6712962985038757,0.5,<function dropout at 0x7f6f0e00da60>,rect
2,0.588235318660736,3,10.0,2,512,0.6712962985038757,0.0,<function dropout at 0x7f6f0e00da60>,rect
3,0.588235318660736,3,10.0,2,512,0.6712962985038757,0.5,<function dropout at 0x7f6f0e00da60>,rect
4,0.588235318660736,3,10.0,2,1024,0.6712962985038757,0.0,<function dropout at 0x7f6f0e00da60>,rect
5,0.588235318660736,3,10.0,2,1024,0.6712963581085205,0.5,<function dropout at 0x7f6f0e00da60>,rect
6,0.588235318660736,3,10.0,3,256,0.6712962985038757,0.0,<function dropout at 0x7f6f0e00da60>,rect
7,0.588235318660736,3,10.0,3,256,0.6712963581085205,0.5,<function dropout at 0x7f6f0e00da60>,rect
8,0.588235318660736,3,10.0,3,512,0.6712963581085205,0.0,<function dropout at 0x7f6f0e00da60>,rect
9,0.588235318660736,3,10.0,3,512,0.6712963581085205,0.5,<function dropout at 0x7f6f0e00da60>,rect
10,0.588235318660736,3,10.0,3,1024,0.6712962985038757,0.0,<function dropout at 0x7f6f0e00da60>,rect
11,0.588235318660736,3,10.0,3,1024,0.6712963581085205,0.5,<function dropout at 0x7f6f0e00da60>,rect
12,0.588235318660736,3,10.0,4,256,0.6712963581085205,0.0,<function dropout at 0x7f6f0e00da60>,rect
13,0.588235318660736,3,10.0,4,256,0.6712962985038757,0.5,<function dropout at 0x7f6f0e00da60>,rect
14,0.588235318660736,3,10.0,4,512,0.6712962985038757,0.0,<function dropout at 0x7f6f0e00da60>,rect
15,0.588235318660736,3,10.0,4,512,0.6712963581085205,0.5,<function dropout at 0x7f6f0e00da60>,rect
16,0.588235318660736,3,10.0,4,1024,0.6712963581085205,0.0,<function dropout at 0x7f6f0e00da60>,rect
17,0.588235318660736,3,10.0,4,1024,0.6712962985038757,0.5,<function dropout at 0x7f6f0e00da60>,rect
18,0.588235318660736,3,10.0,8,256,0.6712963581085205,0.0,<function dropout at 0x7f6f0e00da60>,rect
19,0.588235318660736,3,10.0,8,256,0.6712962985038757,0.5,<function dropout at 0x7f6f0e00da60>,rect
20,0.588235318660736,3,10.0,8,512,0.6712962985038757,0.0,<function dropout at 0x7f6f0e00da60>,rect
21,0.588235318660736,3,10.0,8,512,0.6712963581085205,0.5,<function dropout at 0x7f6f0e00da60>,rect
22,0.588235318660736,3,10.0,8,1024,0.6712963581085205,0.0,<function dropout at 0x7f6f0e00da60>,rect
