,valAccuracy,nstart,nlayers,learningrate,testAccuracy,dropoutFn,activationFn,dR,layerForm
0,0.35357144773006444,256,2,10.0,0.3391999900341034,<function dropout at 0x7f41f9177a60>,3,0.0,cone
1,0.3535714447498322,256,2,10.0,0.339199960231781,<function dropout at 0x7f41f9177a60>,3,0.5,cone
2,0.3535714447498322,256,2,1.0,0.3391999900341034,<function dropout at 0x7f41f9177a60>,3,0.0,cone
3,0.3535714447498322,256,2,1.0,0.3391999900341034,<function dropout at 0x7f41f9177a60>,3,0.5,cone
4,0.8426785886287689,256,2,0.1,0.8663999438285828,<function dropout at 0x7f41f9177a60>,3,0.0,cone
5,0.8258928775787353,256,2,0.1,0.8623999357223511,<function dropout at 0x7f41f9177a60>,3,0.5,cone
6,0.8407143115997315,256,2,0.01,0.8527998924255371,<function dropout at 0x7f41f9177a60>,3,0.0,cone
7,0.8357143342494966,256,2,0.01,0.8671999573707581,<function dropout at 0x7f41f9177a60>,3,0.5,cone
8,0.3535714447498322,256,3,10.0,0.339199960231781,<function dropout at 0x7f41f9177a60>,3,0.0,cone
9,0.3535714447498322,256,3,10.0,0.3391999900341034,<function dropout at 0x7f41f9177a60>,3,0.5,cone
10,0.3535714447498322,256,3,1.0,0.339199960231781,<function dropout at 0x7f41f9177a60>,3,0.0,cone
11,0.319107174873352,256,3,1.0,0.3303999900817871,<function dropout at 0x7f41f9177a60>,3,0.5,cone
12,0.8285714447498321,256,3,0.1,0.8583999276161194,<function dropout at 0x7f41f9177a60>,3,0.0,cone
13,0.8223214328289034,256,3,0.1,0.8527998924255371,<function dropout at 0x7f41f9177a60>,3,0.5,cone
14,0.8167857348918915,256,3,0.01,0.8600000143051147,<function dropout at 0x7f41f9177a60>,3,0.0,cone
15,0.8092857241630553,256,3,0.01,0.8480000495910645,<function dropout at 0x7f41f9177a60>,3,0.5,cone
16,0.3535714447498322,256,4,10.0,0.339199960231781,<function dropout at 0x7f41f9177a60>,3,0.0,cone
17,0.3535714447498322,256,4,10.0,0.339199960231781,<function dropout at 0x7f41f9177a60>,3,0.5,cone
18,0.3178571760654449,256,4,1.0,0.3303999900817871,<function dropout at 0x7f41f9177a60>,3,0.0,cone
19,0.3535714447498322,256,4,1.0,0.339199960231781,<function dropout at 0x7f41f9177a60>,3,0.5,cone
20,0.8285714447498322,256,4,0.1,0.8567999601364136,<function dropout at 0x7f41f9177a60>,3,0.0,cone
21,0.8392857253551483,256,4,0.1,0.8568000197410583,<function dropout at 0x7f41f9177a60>,3,0.5,cone
22,0.8276786088943482,256,4,0.01,0.8592000007629395,<function dropout at 0x7f41f9177a60>,3,0.0,cone
23,0.8233928740024568,256,4,0.01,0.8359999656677246,<function dropout at 0x7f41f9177a60>,3,0.5,cone
24,0.3535714447498322,256,8,10.0,0.3392000198364258,<function dropout at 0x7f41f9177a60>,3,0.0,cone
25,0.3535714447498322,256,8,10.0,0.3391999900341034,<function dropout at 0x7f41f9177a60>,3,0.5,cone
26,0.3535714447498322,256,8,1.0,0.3391999900341034,<function dropout at 0x7f41f9177a60>,3,0.0,cone
27,0.3535714447498322,256,8,1.0,0.339199960231781,<function dropout at 0x7f41f9177a60>,3,0.5,cone
28,0.8230357468128204,256,8,0.1,0.8431999683380127,<function dropout at 0x7f41f9177a60>,3,0.0,cone
29,0.6205357611179352,256,8,0.1,0.6319999694824219,<function dropout at 0x7f41f9177a60>,3,0.5,cone
30,0.8310714721679687,256,8,0.01,0.8543999195098877,<function dropout at 0x7f41f9177a60>,3,0.0,cone
31,0.5289285749197006,256,8,0.01,0.585599958896637,<function dropout at 0x7f41f9177a60>,3,0.5,cone
32,0.33678573668003087,256,16,10.0,0.3303999900817871,<function dropout at 0x7f41f9177a60>,3,0.0,cone
33,0.3535714447498322,256,16,10.0,0.3391999900341034,<function dropout at 0x7f41f9177a60>,3,0.5,cone
34,0.3307143092155457,256,16,1.0,0.3303999900817871,<function dropout at 0x7f41f9177a60>,3,0.0,cone
35,0.3535714477300645,256,16,1.0,0.3391999900341034,<function dropout at 0x7f41f9177a60>,3,0.5,cone
36,0.8139285802841187,256,16,0.1,0.8527998924255371,<function dropout at 0x7f41f9177a60>,3,0.0,cone
37,0.3378571629524232,256,16,0.1,0.3303999900817871,<function dropout at 0x7f41f9177a60>,3,0.5,cone
38,0.8094642996788026,256,16,0.01,0.8279999494552612,<function dropout at 0x7f41f9177a60>,3,0.0,cone
39,0.3060714453458786,256,16,0.01,0.35040000081062317,<function dropout at 0x7f41f9177a60>,3,0.5,cone
40,0.3535714447498322,256,32,10.0,0.3391999900341034,<function dropout at 0x7f41f9177a60>,3,0.0,cone
41,0.3535714536905289,256,32,10.0,0.339199960231781,<function dropout at 0x7f41f9177a60>,3,0.5,cone
42,0.3400000154972077,256,32,1.0,0.339199960231781,<function dropout at 0x7f41f9177a60>,3,0.0,cone
