,layerForm,dR,nlayers,nstart,valAccuracy,testAccuracy,activationFn,dropoutFn,learningrate
51,cone,0.0,16,256,0.9999999999999999,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
52,cone,0.0,16,512,0.7999999999999999,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
53,cone,0.0,16,512,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
54,cone,0.0,16,512,0.9999999999999999,1.0,3,<function dropout at 0x7f4af77cfa60>,0.1
55,cone,0.0,16,512,0.666666677594185,0.8333333730697632,3,<function dropout at 0x7f4af77cfa60>,0.01
56,cone,0.0,16,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
57,cone,0.0,16,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
58,cone,0.0,16,1024,0.966666668653488,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.1
59,cone,0.0,16,1024,0.966666668653488,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
60,cone,0.0,32,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
61,cone,0.0,32,256,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
62,cone,0.0,32,256,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.1
63,cone,0.0,32,256,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.01
64,cone,0.0,32,512,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,10.0
65,cone,0.0,32,512,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
66,cone,0.0,32,512,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.1
67,cone,0.0,32,512,0.33333334326744074,0.8333333730697632,3,<function dropout at 0x7f4af77cfa60>,0.01
68,cone,0.0,32,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
69,cone,0.0,32,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
70,cone,0.0,32,1024,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.1
71,cone,0.0,32,1024,0.9999999999999999,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
72,cone,0.5,2,256,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,10.0
73,cone,0.5,2,256,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
74,cone,0.5,2,256,0.9333333373069762,0.8333333730697632,3,<function dropout at 0x7f4af77cfa60>,0.1
75,cone,0.5,2,256,0.9999999999999999,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
76,cone,0.5,2,512,0.06666666865348816,0.5,3,<function dropout at 0x7f4af77cfa60>,10.0
77,cone,0.5,2,512,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
78,cone,0.5,2,512,0.7000000089406966,0.8333333730697632,3,<function dropout at 0x7f4af77cfa60>,0.1
79,cone,0.5,2,512,0.9999999999999999,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
80,cone,0.5,2,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
81,cone,0.5,2,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
82,cone,0.5,2,1024,0.30000000298023227,0.3333333432674408,3,<function dropout at 0x7f4af77cfa60>,0.1
83,cone,0.5,2,1024,0.9999999999999999,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
84,cone,0.5,3,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
85,cone,0.5,3,256,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
86,cone,0.5,3,256,0.46666666865348816,0.5,3,<function dropout at 0x7f4af77cfa60>,0.1
87,cone,0.5,3,256,0.9999999999999999,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
88,cone,0.5,3,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
89,cone,0.5,3,512,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
90,cone,0.5,3,512,0.1333333343267441,0.8333333730697632,3,<function dropout at 0x7f4af77cfa60>,0.1
91,cone,0.5,3,512,0.9999999999999999,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
92,cone,0.5,3,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
93,cone,0.5,3,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
94,cone,0.5,3,1024,0.03333333432674408,0.5,3,<function dropout at 0x7f4af77cfa60>,0.1
95,cone,0.5,3,1024,0.9999999999999999,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
96,cone,0.5,4,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
97,cone,0.5,4,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
98,cone,0.5,4,256,0.1333333343267441,0.5,3,<function dropout at 0x7f4af77cfa60>,0.1
99,cone,0.5,4,256,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.01
100,cone,0.5,4,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
101,cone,0.5,4,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
102,cone,0.5,4,512,0.03333333432674408,0.3333333432674408,3,<function dropout at 0x7f4af77cfa60>,0.1
103,cone,0.5,4,512,0.966666668653488,1.0,3,<function dropout at 0x7f4af77cfa60>,0.01
104,cone,0.5,4,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
105,cone,0.5,4,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
106,cone,0.5,4,1024,0.06666666865348816,0.8333333730697632,3,<function dropout at 0x7f4af77cfa60>,0.1
107,cone,0.5,4,1024,0.33333334326744074,0.5,3,<function dropout at 0x7f4af77cfa60>,0.01
108,cone,0.5,8,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
109,cone,0.5,8,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
110,cone,0.5,8,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,0.1
111,cone,0.5,8,256,0.5,0.3333333432674408,3,<function dropout at 0x7f4af77cfa60>,0.01
112,cone,0.5,8,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
113,cone,0.5,8,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
114,cone,0.5,8,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,0.1
115,cone,0.5,8,512,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.01
116,cone,0.5,8,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
117,cone,0.5,8,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
118,cone,0.5,8,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,0.1
119,cone,0.5,8,1024,0.7999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.01
120,cone,0.5,16,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
121,cone,0.5,16,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
122,cone,0.5,16,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,0.1
123,cone,0.5,16,256,0.3000000029802322,0.3333333432674408,3,<function dropout at 0x7f4af77cfa60>,0.01
124,cone,0.5,16,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
125,cone,0.5,16,512,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,1.0
126,cone,0.5,16,512,0.16666666865348817,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.1
127,cone,0.5,16,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,0.01
128,cone,0.5,16,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
129,cone,0.5,16,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
130,cone,0.5,16,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,0.1
131,cone,0.5,16,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,0.01
132,cone,0.5,32,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
133,cone,0.5,32,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
134,cone,0.5,32,256,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,0.1
135,cone,0.5,32,256,0.9999999999999999,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.01
136,cone,0.5,32,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,10.0
137,cone,0.5,32,512,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
138,cone,0.5,32,512,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.1
139,cone,0.5,32,512,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,0.01
140,cone,0.5,32,1024,0.1,0.6666666865348816,3,<function dropout at 0x7f4af77cfa60>,10.0
141,cone,0.5,32,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,1.0
142,cone,0.5,32,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,0.1
143,cone,0.5,32,1024,0.0,0.1666666716337204,3,<function dropout at 0x7f4af77cfa60>,0.01
