,dropoutFn,activationFn,nstart,learningrate,nlayers,layerForm,testAccuracy,dR,valAccuracy
0,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,2,rect,0.5375000834465027,0.0,0.5044247508049011
1,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,2,rect,0.5375000238418579,0.5,0.5044247508049011
2,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,3,rect,0.5375000834465027,0.0,0.5044247508049011
3,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,3,rect,0.5375000834465027,0.5,0.5044247508049011
4,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,4,rect,0.5375000834465027,0.0,0.5044247508049011
5,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,4,rect,0.5375000238418579,0.5,0.5044247508049011
6,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,8,rect,0.5375000834465027,0.0,0.5044247508049011
7,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,8,rect,0.5375000238418579,0.5,0.5044247508049011
8,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,16,rect,0.5375000238418579,0.0,0.5044247508049011
9,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,16,rect,0.5375000834465027,0.5,0.5044247508049011
10,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,32,rect,0.5375000238418579,0.0,0.5044247508049011
11,<function dropout at 0x7f89ef9e1a60>,3,256,10.0,32,rect,0.5375000238418579,0.5,0.5044247508049011
12,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,2,rect,0.5375000834465027,0.0,0.5044247508049011
13,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,2,rect,0.5375000238418579,0.5,0.5044247508049011
14,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,3,rect,0.5375000238418579,0.0,0.5044247508049011
15,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,3,rect,0.5375000238418579,0.5,0.5044247508049011
16,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,4,rect,0.5375000238418579,0.0,0.5044247508049011
17,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,4,rect,0.5375000238418579,0.5,0.5044247508049011
18,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,8,rect,0.5375000238418579,0.0,0.5044247508049011
19,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,8,rect,0.5375000834465027,0.5,0.5044247508049011
20,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,16,rect,0.5375000834465027,0.0,0.5044247508049011
21,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,16,rect,0.5375000238418579,0.5,0.5044247508049011
22,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,32,rect,0.5375000834465027,0.0,0.5044247508049011
23,<function dropout at 0x7f89ef9e1a60>,3,256,1.0,32,rect,0.5375000238418579,0.5,0.5044247508049011
24,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,2,rect,0.8208333849906921,0.0,0.8292035698890686
25,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,2,rect,0.8166667222976685,0.5,0.8300885081291199
26,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,3,rect,0.8208333849906921,0.0,0.8380531191825867
27,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,3,rect,0.8000001311302185,0.5,0.8318584084510805
28,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,4,rect,0.8083333969116211,0.0,0.8362832069396974
29,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,4,rect,0.8166667819023132,0.5,0.8106194615364074
30,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,8,rect,0.8208334445953369,0.0,0.8477876424789429
31,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,8,rect,0.8083333969116211,0.5,0.7707964539527893
32,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,16,rect,0.5375000834465027,0.0,0.5044247508049011
33,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,16,rect,0.5375000834465027,0.5,0.5044247508049011
34,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,32,rect,0.5375000834465027,0.0,0.5044247508049011
35,<function dropout at 0x7f89ef9e1a60>,3,256,0.1,32,rect,0.5375000834465027,0.5,0.5044247508049011
36,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,2,rect,0.8083333969116211,0.0,0.822123885154724
37,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,2,rect,0.833333432674408,0.5,0.8008849620819093
38,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,3,rect,0.8083333969116211,0.0,0.8424778819084169
39,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,3,rect,0.8166667222976685,0.5,0.8070796370506287
40,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,4,rect,0.8250000476837158,0.0,0.8292035639286043
41,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,4,rect,0.8250001072883606,0.5,0.8026548862457275
42,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,8,rect,0.8041667342185974,0.0,0.841592937707901
43,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,8,rect,0.8166667819023132,0.5,0.7946902751922609
44,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,16,rect,0.8166667222976685,0.0,0.8336283445358277
45,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,16,rect,0.44166672229766846,0.5,0.5681415885686875
46,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,32,rect,0.783333420753479,0.0,0.8548672556877136
47,<function dropout at 0x7f89ef9e1a60>,3,256,0.01,32,rect,0.5375000834465027,0.5,0.5044247508049011
48,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,2,rect,0.5375000238418579,0.0,0.5044247508049011
49,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,2,rect,0.5375000238418579,0.5,0.5044247508049011
50,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,3,rect,0.5375000238418579,0.0,0.5044247508049011
51,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,3,rect,0.5375000238418579,0.5,0.5044247508049011
52,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,4,rect,0.5375000238418579,0.0,0.5044247508049011
53,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,4,rect,0.5375000834465027,0.5,0.5044247508049011
54,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,8,rect,0.5375000238418579,0.0,0.5044247508049011
55,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,8,rect,0.5375000238418579,0.5,0.5044247508049011
56,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,16,rect,0.5375000834465027,0.0,0.5044247508049011
57,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,16,rect,0.5375000238418579,0.5,0.5044247508049011
58,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,32,rect,0.5375000238418579,0.0,0.5044247508049011
59,<function dropout at 0x7f89ef9e1a60>,3,512,10.0,32,rect,0.5375000834465027,0.5,0.5044247508049011
60,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,2,rect,0.5375000238418579,0.0,0.5044247508049011
61,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,2,rect,0.5375000238418579,0.5,0.5044247508049011
62,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,3,rect,0.5375000238418579,0.0,0.5044247508049011
63,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,3,rect,0.5375000834465027,0.5,0.5044247508049011
64,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,4,rect,0.5375000238418579,0.0,0.5044247508049011
65,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,4,rect,0.5375000238418579,0.5,0.5044247508049011
66,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,8,rect,0.5375000834465027,0.0,0.5044247508049011
67,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,8,rect,0.5375000238418579,0.5,0.5044247508049011
68,<function dropout at 0x7f89ef9e1a60>,3,512,1.0,16,rect,0.5375000834465027,0.0,0.5044247508049011
