,nlayers,dR,layerForm,nstart,dropoutFn,valAccuracy,activationFn,learningrate,testAccuracy
0,2,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
1,2,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
2,2,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.846666717529297,3,0.1,0.7888889312744141
3,2,0.0,rect,256,<function dropout at 0x7f57a8540a60>,0.7444444596767426,3,0.01,0.7333333492279053
4,2,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
5,2,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,1.0,0.06666667014360428
6,2,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.8088889241218568,3,0.1,0.8333333730697632
7,2,0.0,rect,512,<function dropout at 0x7f57a8540a60>,0.7488889455795288,3,0.01,0.7111111879348755
8,2,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
9,2,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.04666666798293591,3,1.0,0.06666667014360428
10,2,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.8177778363227846,3,0.1,0.7666667103767395
11,2,0.0,rect,1024,<function dropout at 0x7f57a8540a60>,0.8266667127609253,3,0.01,0.7777777910232544
12,2,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
13,2,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.04888889007270336,3,1.0,0.06666667014360428
14,2,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.8400000572204592,3,0.1,0.7777778506278992
15,2,0.5,rect,256,<function dropout at 0x7f57a8540a60>,0.7777777910232543,3,0.01,0.6666666865348816
16,2,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04444444552063942,3,10.0,0.06666667014360428
17,2,0.5,rect,512,<function dropout at 0x7f57a8540a60>,0.04666666798293591,3,1.0,0.06666667014360428
