,nstart,dR,valAccuracy,activationFn,dropoutFn,learningrate,layerForm,nlayers,testAccuracy
0,256,0.0,0.20000000149011612,3,<function dropout at 0x7f84ab386a60>,10.0,cone,2,0.16541354358196259
1,256,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,3,0.1654135286808014
2,256,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,4,0.1654135286808014
3,256,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,8,0.1654135286808014
4,256,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,16,0.1654135286808014
5,256,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,32,0.16541354358196259
6,256,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,2,0.1654135286808014
7,256,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,3,0.1654135286808014
8,256,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,4,0.1654135286808014
9,256,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,8,0.1654135286808014
10,256,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,16,0.1654135286808014
11,256,0.0,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,32,0.1654135286808014
12,256,0.0,0.8719298720359802,3,<function dropout at 0x7f84ab386a60>,0.1,cone,2,0.8947368860244751
13,256,0.0,0.8877193212509156,3,<function dropout at 0x7f84ab386a60>,0.1,cone,3,0.902255654335022
14,256,0.0,0.8842105567455292,3,<function dropout at 0x7f84ab386a60>,0.1,cone,4,0.902255654335022
15,256,0.0,0.9298245906829836,3,<function dropout at 0x7f84ab386a60>,0.1,cone,8,0.8947368860244751
16,256,0.0,0.8350877225399018,3,<function dropout at 0x7f84ab386a60>,0.1,cone,16,0.8496240377426147
17,256,0.0,0.670175451040268,3,<function dropout at 0x7f84ab386a60>,0.1,cone,32,0.61654132604599
18,256,0.0,0.8596491813659668,3,<function dropout at 0x7f84ab386a60>,0.01,cone,2,0.864661693572998
19,256,0.0,0.8421052694320678,3,<function dropout at 0x7f84ab386a60>,0.01,cone,3,0.8646616339683533
20,256,0.0,0.8877193212509156,3,<function dropout at 0x7f84ab386a60>,0.01,cone,4,0.8796992301940918
21,256,0.0,0.8947368860244752,3,<function dropout at 0x7f84ab386a60>,0.01,cone,8,0.864661693572998
22,256,0.0,0.8736842155456542,3,<function dropout at 0x7f84ab386a60>,0.01,cone,16,0.8947368860244751
23,256,0.0,0.8508772253990173,3,<function dropout at 0x7f84ab386a60>,0.01,cone,32,0.864661693572998
24,256,0.5,0.20701754540205003,3,<function dropout at 0x7f84ab386a60>,10.0,cone,2,0.1654135286808014
25,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,3,0.1654135286808014
26,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,4,0.1654135286808014
27,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,8,0.1654135286808014
28,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,16,0.1654135286808014
29,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,10.0,cone,32,0.1654135286808014
30,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,2,0.1654135286808014
31,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,3,0.16541354358196259
32,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,4,0.1654135286808014
33,256,0.5,0.17543859779834747,3,<function dropout at 0x7f84ab386a60>,1.0,cone,8,0.1654135286808014
