,dropoutFn,learningrate,layerForm,testAccuracy,nstart,valAccuracy,dR,nlayers,activationFn
57,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,8,3
58,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,16,3
59,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,512,0.5806451439857484,0.5,32,3
60,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,2,3
61,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,3,3
62,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,4,3
63,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,8,3
64,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,16,3
65,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.0,32,3
66,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,2,3
67,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,3,3
68,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,4,3
69,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,8,3
70,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,16,3
71,<function dropout at 0x7ff43089da60>,1.0,rect,0.7042253017425537,1024,0.5806451439857484,0.5,32,3
72,<function dropout at 0x7ff43089da60>,0.1,rect,0.6478873491287231,256,0.6677419126033783,0.0,2,3
73,<function dropout at 0x7ff43089da60>,0.1,rect,0.6338027715682983,256,0.6677419126033783,0.0,3,3
74,<function dropout at 0x7ff43089da60>,0.1,rect,0.6478872895240784,256,0.6387096524238587,0.0,4,3
75,<function dropout at 0x7ff43089da60>,0.1,rect,0.6338027715682983,256,0.6935483872890472,0.0,8,3
76,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,256,0.5806451439857484,0.0,16,3
77,<function dropout at 0x7ff43089da60>,0.1,rect,0.7042253017425537,256,0.5806451439857484,0.0,32,3
78,<function dropout at 0x7ff43089da60>,0.1,rect,0.7323943972587585,256,0.6548386812210083,0.5,2,3
79,<function dropout at 0x7ff43089da60>,0.1,rect,0.6760563254356384,256,0.6387096583843231,0.5,3,3
