,learningrate,testAccuracy,dropoutFn,nstart,valAccuracy,activationFn,layerForm,dR,nlayers
0,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.0,2
1,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.0,3
2,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.0,4
3,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.0,8
4,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.0,16
5,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.0,32
6,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.5,2
7,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.5,3
8,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.5,4
9,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.5,8
10,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.5,16
11,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,256,0.18749999999999997,3,rect,0.5,32
12,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.0,2
13,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.0,3
14,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.0,4
15,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.0,8
16,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.0,16
17,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.0,32
18,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.5,2
19,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.5,3
20,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.5,4
21,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.5,8
22,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.5,16
23,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,512,0.18749999999999997,3,rect,0.5,32
24,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,1024,0.18749999999999997,3,rect,0.0,2
25,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,1024,0.18749999999999997,3,rect,0.0,3
26,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,1024,0.18749999999999997,3,rect,0.0,4
27,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,1024,0.18749999999999997,3,rect,0.0,8
28,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,1024,0.18749999999999997,3,rect,0.0,16
29,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,1024,0.18749999999999997,3,rect,0.0,32
30,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,1024,0.18749999999999997,3,rect,0.5,2
31,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,1024,0.18749999999999997,3,rect,0.5,3
32,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,1024,0.18749999999999997,3,rect,0.5,4
33,10.0,0.192307710647583,<function dropout at 0x7f0700c2ea60>,1024,0.18749999999999997,3,rect,0.5,8
