,nlayers,dR,activationFn,learningrate,nstart,valAccuracy,layerForm,testAccuracy,dropoutFn
0,2,0.0,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
1,2,0.0,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
2,2,0.0,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
3,2,0.0,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
4,2,0.0,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
5,2,0.0,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
6,2,0.0,3,0.1,256,0.5712454497814178,rect,0.5522876381874084,<function dropout at 0x7fd7f177ba60>
7,2,0.0,3,0.1,512,0.5617216289043426,rect,0.5302287936210632,<function dropout at 0x7fd7f177ba60>
8,2,0.0,3,0.1,1024,0.5593406796455384,rect,0.5612745881080627,<function dropout at 0x7fd7f177ba60>
9,2,0.0,3,0.01,256,0.592307722568512,rect,0.5580065846443176,<function dropout at 0x7fd7f177ba60>
10,2,0.0,3,0.01,512,0.5849816977977752,rect,0.5661764740943909,<function dropout at 0x7fd7f177ba60>
11,2,0.0,3,0.01,1024,0.5771062433719635,rect,0.5571895837783813,<function dropout at 0x7fd7f177ba60>
12,2,0.5,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
13,2,0.5,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
14,2,0.5,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
15,2,0.5,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
16,2,0.5,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
17,2,0.5,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
18,2,0.5,3,0.1,256,0.5774725437164306,rect,0.5465686917304993,<function dropout at 0x7fd7f177ba60>
19,2,0.5,3,0.1,512,0.5706959903240204,rect,0.529411792755127,<function dropout at 0x7fd7f177ba60>
20,2,0.5,3,0.1,1024,0.525091591477394,rect,0.5106209516525269,<function dropout at 0x7fd7f177ba60>
21,2,0.5,3,0.01,256,0.5697802603244783,rect,0.5490196347236633,<function dropout at 0x7fd7f177ba60>
22,2,0.5,3,0.01,512,0.5736264109611512,rect,0.540032684803009,<function dropout at 0x7fd7f177ba60>
23,2,0.5,3,0.01,1024,0.5558608293533326,rect,0.5196078419685364,<function dropout at 0x7fd7f177ba60>
24,3,0.0,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
25,3,0.0,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
26,3,0.0,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
27,3,0.0,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
28,3,0.0,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
29,3,0.0,3,1.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
30,3,0.0,3,0.1,256,0.5769231021404266,rect,0.5416666865348816,<function dropout at 0x7fd7f177ba60>
31,3,0.0,3,0.1,512,0.5769230961799622,rect,0.5433006882667542,<function dropout at 0x7fd7f177ba60>
32,3,0.0,3,0.1,1024,0.556959730386734,rect,0.5359477400779724,<function dropout at 0x7fd7f177ba60>
33,3,0.0,3,0.01,256,0.6023809850215912,rect,0.5637255311012268,<function dropout at 0x7fd7f177ba60>
34,3,0.0,3,0.01,512,0.5965201795101166,rect,0.5612745881080627,<function dropout at 0x7fd7f177ba60>
35,3,0.0,3,0.01,1024,0.580402946472168,rect,0.5596405863761902,<function dropout at 0x7fd7f177ba60>
36,3,0.5,3,10.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
37,3,0.5,3,10.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
38,3,0.5,3,10.0,1024,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
39,3,0.5,3,1.0,256,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
40,3,0.5,3,1.0,512,0.0,rect,0.004084967542439699,<function dropout at 0x7fd7f177ba60>
