,dR,dropoutFn,valAccuracy,testAccuracy,nstart,learningrate,nlayers,layerForm,activationFn
46,0.0,<function dropout at 0x7f5c351a1a60>,0.6692307949066161,0.769230842590332,512,0.01,16,cone,3
47,0.0,<function dropout at 0x7f5c351a1a60>,0.5384615659713744,0.8076924085617065,512,0.01,32,cone,3
48,0.0,<function dropout at 0x7f5c351a1a60>,0.5384615659713744,0.3076923191547394,1024,10.0,2,cone,3
49,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,10.0,3,cone,3
50,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,10.0,4,cone,3
51,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,10.0,8,cone,3
52,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,10.0,16,cone,3
53,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,10.0,32,cone,3
54,0.0,<function dropout at 0x7f5c351a1a60>,0.46923080086708063,0.3076923191547394,1024,1.0,2,cone,3
55,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,1.0,3,cone,3
56,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,1.0,4,cone,3
57,0.0,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,1024,1.0,8,cone,3
58,0.0,<function dropout at 0x7f5c351a1a60>,0.15384615957736966,0.11538462340831757,1024,1.0,16,cone,3
59,0.0,<function dropout at 0x7f5c351a1a60>,0.40769234299659723,0.3076923191547394,1024,1.0,32,cone,3
60,0.0,<function dropout at 0x7f5c351a1a60>,0.7538462102413177,0.7307692766189575,1024,0.1,2,cone,3
61,0.0,<function dropout at 0x7f5c351a1a60>,0.7461539149284362,0.769230842590332,1024,0.1,3,cone,3
62,0.0,<function dropout at 0x7f5c351a1a60>,0.5769231200218201,0.692307710647583,1024,0.1,4,cone,3
63,0.0,<function dropout at 0x7f5c351a1a60>,0.615384668111801,0.8076923489570618,1024,0.1,8,cone,3
64,0.0,<function dropout at 0x7f5c351a1a60>,0.41538465023040766,0.576923131942749,1024,0.1,16,cone,3
65,0.0,<function dropout at 0x7f5c351a1a60>,0.6384615600109099,0.7307692766189575,1024,0.1,32,cone,3
66,0.0,<function dropout at 0x7f5c351a1a60>,0.6538461923599242,0.769230842590332,1024,0.01,2,cone,3
67,0.0,<function dropout at 0x7f5c351a1a60>,0.723076969385147,0.7692307829856873,1024,0.01,3,cone,3
68,0.0,<function dropout at 0x7f5c351a1a60>,0.6461539030075073,0.8076923489570618,1024,0.01,4,cone,3
69,0.0,<function dropout at 0x7f5c351a1a60>,0.7692308425903319,0.7307692766189575,1024,0.01,8,cone,3
70,0.0,<function dropout at 0x7f5c351a1a60>,0.7076923370361327,0.8076924085617065,1024,0.01,16,cone,3
71,0.0,<function dropout at 0x7f5c351a1a60>,0.7153846502304075,0.6538462042808533,1024,0.01,32,cone,3
72,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,10.0,2,cone,3
73,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,10.0,3,cone,3
74,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,10.0,4,cone,3
75,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,10.0,8,cone,3
76,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,10.0,16,cone,3
77,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,10.0,32,cone,3
78,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,1.0,2,cone,3
79,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,1.0,3,cone,3
80,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,1.0,4,cone,3
81,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,1.0,8,cone,3
82,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,1.0,16,cone,3
83,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,1.0,32,cone,3
84,0.5,<function dropout at 0x7f5c351a1a60>,0.630769258737564,0.6538462042808533,256,0.1,2,cone,3
85,0.5,<function dropout at 0x7f5c351a1a60>,0.5538462162017822,0.769230842590332,256,0.1,3,cone,3
86,0.5,<function dropout at 0x7f5c351a1a60>,0.5538461863994598,0.7307692766189575,256,0.1,4,cone,3
87,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,0.1,8,cone,3
88,0.5,<function dropout at 0x7f5c351a1a60>,0.4615384936332702,0.3076923191547394,256,0.1,16,cone,3
