,nstart,layerForm,nlayers,dR,learningrate,testAccuracy,valAccuracy,activationFn,dropoutFn
0,256,cone,2,0.0,10.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
1,256,cone,2,0.0,1.0,0.9554092884063721,0.953278684616089,3,<function dropout at 0x7f244fc7ca60>
2,256,cone,2,0.0,0.1,0.9700291752815247,0.9524590015411376,3,<function dropout at 0x7f244fc7ca60>
3,256,cone,2,0.0,0.01,0.9634503126144409,0.9513114809989929,3,<function dropout at 0x7f244fc7ca60>
4,256,cone,2,0.5,10.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
5,256,cone,2,0.5,1.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
6,256,cone,2,0.5,0.1,0.9612572193145752,0.9513114571571349,3,<function dropout at 0x7f244fc7ca60>
7,256,cone,2,0.5,0.01,0.9473683834075928,0.9409836411476135,3,<function dropout at 0x7f244fc7ca60>
8,256,cone,3,0.0,10.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
9,256,cone,3,0.0,1.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
10,256,cone,3,0.0,0.1,0.9656432271003723,0.9532786726951598,3,<function dropout at 0x7f244fc7ca60>
11,256,cone,3,0.0,0.01,0.9649121761322021,0.95245903134346,3,<function dropout at 0x7f244fc7ca60>
12,256,cone,3,0.5,10.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
13,256,cone,3,0.5,1.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
14,256,cone,3,0.5,0.1,0.9605262279510498,0.9483606636524201,3,<function dropout at 0x7f244fc7ca60>
15,256,cone,3,0.5,0.01,0.9371345043182373,0.9409836292266845,3,<function dropout at 0x7f244fc7ca60>
16,256,cone,4,0.0,10.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
17,256,cone,4,0.0,1.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
18,256,cone,4,0.0,0.1,0.9700291752815247,0.9544262349605559,3,<function dropout at 0x7f244fc7ca60>
19,256,cone,4,0.0,0.01,0.9671052694320679,0.9554098486900331,3,<function dropout at 0x7f244fc7ca60>
20,256,cone,4,0.5,10.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
21,256,cone,4,0.5,1.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
22,256,cone,4,0.5,0.1,0.932748556137085,0.9288524389266968,3,<function dropout at 0x7f244fc7ca60>
23,256,cone,4,0.5,0.01,0.9298245906829834,0.9375409722328187,3,<function dropout at 0x7f244fc7ca60>
24,256,cone,8,0.0,10.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
25,256,cone,8,0.0,1.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
26,256,cone,8,0.0,0.1,0.9700291156768799,0.9559016466140746,3,<function dropout at 0x7f244fc7ca60>
27,256,cone,8,0.0,0.01,0.9649122357368469,0.9555737793445587,3,<function dropout at 0x7f244fc7ca60>
28,256,cone,8,0.5,10.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
29,256,cone,8,0.5,1.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
30,256,cone,8,0.5,0.1,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
31,256,cone,8,0.5,0.01,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
32,256,cone,16,0.0,10.0,0.8983917832374573,0.8950819432735445,3,<function dropout at 0x7f244fc7ca60>
33,256,cone,16,0.0,1.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
34,256,cone,16,0.0,0.1,0.9561402797698975,0.9532786965370179,3,<function dropout at 0x7f244fc7ca60>
35,256,cone,16,0.0,0.01,0.9671052098274231,0.9554098248481752,3,<function dropout at 0x7f244fc7ca60>
36,256,cone,16,0.5,10.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
37,256,cone,16,0.5,1.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
38,256,cone,16,0.5,0.1,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
39,256,cone,16,0.5,0.01,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
40,256,cone,32,0.0,10.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
41,256,cone,32,0.0,1.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
42,256,cone,32,0.0,0.1,0.9678361415863037,0.9511475503444672,3,<function dropout at 0x7f244fc7ca60>
43,256,cone,32,0.0,0.01,0.9480993747711182,0.9395082235336303,3,<function dropout at 0x7f244fc7ca60>
44,256,cone,32,0.5,10.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
45,256,cone,32,0.5,1.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
46,256,cone,32,0.5,0.1,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
47,256,cone,32,0.5,0.01,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
48,512,cone,2,0.0,10.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
49,512,cone,2,0.0,1.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
50,512,cone,2,0.0,0.1,0.9649122357368469,0.9527868747711181,3,<function dropout at 0x7f244fc7ca60>
51,512,cone,2,0.0,0.01,0.9641811847686768,0.9529507994651796,3,<function dropout at 0x7f244fc7ca60>
52,512,cone,2,0.5,10.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
53,512,cone,2,0.5,1.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
54,512,cone,2,0.5,0.1,0.962719202041626,0.952786898612976,3,<function dropout at 0x7f244fc7ca60>
55,512,cone,2,0.5,0.01,0.9554092884063721,0.9452458858489989,3,<function dropout at 0x7f244fc7ca60>
56,512,cone,3,0.0,10.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
57,512,cone,3,0.0,1.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
58,512,cone,3,0.0,0.1,0.9539473056793213,0.9527868628501893,3,<function dropout at 0x7f244fc7ca60>
59,512,cone,3,0.0,0.01,0.9649122357368469,0.9540983855724335,3,<function dropout at 0x7f244fc7ca60>
60,512,cone,3,0.5,10.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
61,512,cone,3,0.5,1.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
62,512,cone,3,0.5,0.1,0.9656431674957275,0.9490163922309877,3,<function dropout at 0x7f244fc7ca60>
63,512,cone,3,0.5,0.01,0.9393274784088135,0.9408196210861206,3,<function dropout at 0x7f244fc7ca60>
64,512,cone,4,0.0,10.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
65,512,cone,4,0.0,1.0,0.898391842842102,0.8950819432735445,3,<function dropout at 0x7f244fc7ca60>
66,512,cone,4,0.0,0.1,0.9729531407356262,0.9504917919635774,3,<function dropout at 0x7f244fc7ca60>
67,512,cone,4,0.0,0.01,0.9649122953414917,0.9522951006889342,3,<function dropout at 0x7f244fc7ca60>
68,512,cone,4,0.5,10.0,0.8983917832374573,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
69,512,cone,4,0.5,1.0,0.898391842842102,0.8950819373130801,3,<function dropout at 0x7f244fc7ca60>
70,512,cone,4,0.5,0.1,0.9546782970428467,0.9437704980373383,3,<function dropout at 0x7f244fc7ca60>
71,512,cone,4,0.5,0.01,0.9334795475006104,0.9309836387634278,3,<function dropout at 0x7f244fc7ca60>
