,learningrate,nstart,nlayers,layerForm,testAccuracy,valAccuracy,activationFn,dropoutFn,dR
53,1.0,512,4,cone,0.20512820780277252,0.12499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.5
54,1.0,512,8,cone,0.20512820780277252,0.8000000000000002,3,<function dropout at 0x7f9c9be63a60>,0.0
55,1.0,512,8,cone,0.20512820780277252,0.12499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.5
56,1.0,512,16,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.0
57,1.0,512,16,cone,0.20512820780277252,0.3500000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
58,1.0,512,32,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.0
59,1.0,512,32,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.5
60,1.0,1024,2,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.0
61,1.0,1024,2,cone,0.20512820780277252,0.12499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.5
62,1.0,1024,3,cone,0.20512820780277252,0.12499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.0
63,1.0,1024,3,cone,0.20512820780277252,0.20000000000000007,3,<function dropout at 0x7f9c9be63a60>,0.5
64,1.0,1024,4,cone,0.20512820780277252,0.12499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.0
65,1.0,1024,4,cone,0.20512820780277252,0.12499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.5
66,1.0,1024,8,cone,0.20512820780277252,0.1541666686534882,3,<function dropout at 0x7f9c9be63a60>,0.0
67,1.0,1024,8,cone,0.20512820780277252,0.12499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.5
68,1.0,1024,16,cone,0.7948718070983887,0.8750000000000001,3,<function dropout at 0x7f9c9be63a60>,0.0
69,1.0,1024,16,cone,0.20512820780277252,0.12499999999999999,3,<function dropout at 0x7f9c9be63a60>,0.5
