,testAccuracy,layerForm,nlayers,nstart,dropoutFn,learningrate,dR,activationFn,valAccuracy
0,0.5789473652839661,rect,2,256,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
1,0.5789473652839661,rect,2,256,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
2,0.5789473652839661,rect,2,256,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
3,0.5789473652839661,rect,2,256,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
4,0.9342105388641357,rect,2,256,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.9245283067226409
5,0.8947368860244751,rect,2,256,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.9245283305644987
6,0.9035087823867798,rect,2,256,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9188679695129393
7,0.8728070259094238,rect,2,256,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.9047169923782349
8,0.5789473652839661,rect,2,512,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5943396687507629
9,0.5789473652839661,rect,2,512,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
10,0.5789473652839661,rect,2,512,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
11,0.5789473652839661,rect,2,512,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
12,0.9078947305679321,rect,2,512,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.9132075607776642
13,0.9122806787490845,rect,2,512,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.9330188930034637
14,0.9122807383537292,rect,2,512,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9207547128200531
15,0.890350878238678,rect,2,512,<function dropout at 0x7fc0141dfa60>,0.01,0.5,3,0.9056603908538818
16,0.5789473652839661,rect,2,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.0,3,0.5962264537811279
17,0.5789473652839661,rect,2,1024,<function dropout at 0x7fc0141dfa60>,10.0,0.5,3,0.5943396687507629
18,0.5789473652839661,rect,2,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.0,3,0.5943396687507629
19,0.5789473652839661,rect,2,1024,<function dropout at 0x7fc0141dfa60>,1.0,0.5,3,0.5943396687507629
20,0.9210525751113892,rect,2,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.0,3,0.9424528598785402
21,0.8947367668151855,rect,2,1024,<function dropout at 0x7fc0141dfa60>,0.1,0.5,3,0.9179245531558989
22,0.903508722782135,rect,2,1024,<function dropout at 0x7fc0141dfa60>,0.01,0.0,3,0.9235849201679228
