,dR,layerForm,testAccuracy,nstart,valAccuracy,dropoutFn,nlayers,activationFn,learningrate
0,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,2,3,10.0
1,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,2,3,1.0
2,0.0,rect,0.8680211305618286,256,0.8706278800964355,<function dropout at 0x7f8d6e0cba60>,2,3,0.1
3,0.0,rect,0.8565342426300049,256,0.8623978555202484,<function dropout at 0x7f8d6e0cba60>,2,3,0.01
4,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,3,3,10.0
5,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,3,3,1.0
6,0.0,rect,0.8695605993270874,256,0.8719599783420563,<function dropout at 0x7f8d6e0cba60>,3,3,0.1
7,0.0,rect,0.8697973489761353,256,0.8680823802947999,<function dropout at 0x7f8d6e0cba60>,3,3,0.01
8,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,4,3,10.0
9,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,4,3,1.0
10,0.0,rect,0.8533369302749634,256,0.8682802259922028,<function dropout at 0x7f8d6e0cba60>,4,3,0.1
11,0.0,rect,0.8686723113059998,256,0.8699288427829744,<function dropout at 0x7f8d6e0cba60>,4,3,0.01
12,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,8,3,10.0
13,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,8,3,1.0
14,0.0,rect,0.8642908334732056,256,0.8625956952571869,<function dropout at 0x7f8d6e0cba60>,8,3,0.1
15,0.0,rect,0.8513829708099365,256,0.8673965454101563,<function dropout at 0x7f8d6e0cba60>,8,3,0.01
16,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,16,3,10.0
17,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,16,3,1.0
18,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,16,3,0.1
19,0.0,rect,0.8674290180206299,256,0.8673569679260255,<function dropout at 0x7f8d6e0cba60>,16,3,0.01
20,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,32,3,10.0
21,0.0,rect,0.7538045644760132,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,32,3,1.0
22,0.0,rect,0.7538045048713684,256,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,32,3,0.1
23,0.0,rect,0.8407843708992004,256,0.8491295993328096,<function dropout at 0x7f8d6e0cba60>,32,3,0.01
24,0.0,rect,0.7538045048713684,512,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,2,3,10.0
25,0.0,rect,0.7538045644760132,512,0.756924331188202,<function dropout at 0x7f8d6e0cba60>,2,3,1.0
