,layerForm,nlayers,dR,dropoutFn,valAccuracy,testAccuracy,activationFn,learningrate,nstart
0,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,10.0,256
1,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,10.0,512
2,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,10.0,1024
3,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,1.0,256
4,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,1.0,512
5,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,1.0,1024
6,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.6519999742507935,0.7346938252449036,3,0.1,256
7,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.6319999754428864,0.8367346525192261,3,0.1,512
8,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.6679999709129334,0.7346938848495483,3,0.1,1024
9,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.7039999604225159,0.8775510191917419,3,0.01,256
10,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.6999999821186065,0.7346938848495483,3,0.01,512
11,cone,2,0.0,<function dropout at 0x7f1c602a4a60>,0.6559999704360963,0.795918345451355,3,0.01,1024
12,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,10.0,256
13,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,10.0,512
14,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,10.0,1024
15,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,1.0,256
16,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,1.0,512
17,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.2919999927282333,0.22448979318141937,3,1.0,1024
18,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.7439999818801881,0.795918345451355,3,0.1,256
19,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.6999999642372131,0.7551020383834839,3,0.1,512
20,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.687999963760376,0.8367346525192261,3,0.1,1024
21,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.715999960899353,0.6938775777816772,3,0.01,256
22,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.6799999594688415,0.7551020383834839,3,0.01,512
23,cone,2,0.5,<function dropout at 0x7f1c602a4a60>,0.6959999620914459,0.7346938848495483,3,0.01,1024
24,cone,3,0.0,<function dropout at 0x7f1c602a4a60>,0.759999990463257,0.7755101919174194,3,10.0,256
