,nstart,testAccuracy,learningrate,nlayers,valAccuracy,dR,activationFn,dropoutFn,layerForm
0,256,0.3312000036239624,10.0,2,0.36310682296752933,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
1,256,0.3312000036239624,10.0,2,0.36310681104660036,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
2,256,0.3312000036239624,10.0,3,0.36310680508613585,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
3,256,0.3312000036239624,10.0,3,0.36310679316520683,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
4,256,0.3312000036239624,10.0,4,0.36310682296752933,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
5,256,0.3312000036239624,10.0,4,0.36310681104660036,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
6,256,0.3312000036239624,10.0,8,0.3631067872047424,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
7,256,0.3312000036239624,10.0,8,0.36310684680938726,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
8,256,0.3312000036239624,10.0,16,0.3631067872047424,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
9,256,0.3312000036239624,10.0,16,0.3631067872047424,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
10,256,0.3312000036239624,10.0,32,0.36310684680938726,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
11,256,0.3312000036239624,10.0,32,0.3631068289279938,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
12,256,0.3312000036239624,1.0,2,0.36310679912567134,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
13,256,0.3312000036239624,1.0,2,0.36310681104660036,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
14,256,0.3312000036239624,1.0,3,0.3631068408489228,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
15,256,0.3312000036239624,1.0,3,0.3631067872047424,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
16,256,0.3312000036239624,1.0,4,0.3631068348884583,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
17,256,0.3311999440193176,1.0,4,0.3631067931652069,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
18,256,0.3312000036239624,1.0,8,0.3631068348884583,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
19,256,0.3312000036239624,1.0,8,0.3631067931652069,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
20,256,0.3312000036239624,1.0,16,0.36310681104660036,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
21,256,0.3312000036239624,1.0,16,0.3631067872047424,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
22,256,0.3312000036239624,1.0,32,0.36310682892799384,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
23,256,0.3312000036239624,1.0,32,0.36310680508613585,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
24,256,0.8432000279426575,0.1,2,0.8533980965614321,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
25,256,0.845599889755249,0.1,2,0.8456311225891113,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
26,256,0.8391999006271362,0.1,3,0.8471845030784608,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
27,256,0.8463999032974243,0.1,3,0.8532039463520049,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
28,256,0.8391999006271362,0.1,4,0.8466019868850708,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
29,256,0.8392000198364258,0.1,4,0.8460194647312165,0.5,3,<function dropout at 0x7fb3866e6a60>,rect
30,256,0.818399965763092,0.1,8,0.837281608581543,0.0,3,<function dropout at 0x7fb3866e6a60>,rect
