,nstart,valAccuracy,dropoutFn,nlayers,testAccuracy,learningrate,activationFn,dR,layerForm
0,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,10.0,3,0.0,rect
1,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,10.0,3,0.5,rect
2,256,0.6384616136550902,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,1.0,3,0.0,rect
3,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,2,0.6267606019973755,1.0,3,0.5,rect
4,256,0.961538553237915,<function dropout at 0x7fb1205c3a60>,2,0.9859154224395752,0.1,3,0.0,rect
5,256,0.9653846979141236,<function dropout at 0x7fb1205c3a60>,2,0.98591548204422,0.1,3,0.5,rect
6,256,0.961538553237915,<function dropout at 0x7fb1205c3a60>,2,0.9718309640884399,0.01,3,0.0,rect
7,256,0.9461539268493652,<function dropout at 0x7fb1205c3a60>,2,0.9718309640884399,0.01,3,0.5,rect
8,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267606019973755,10.0,3,0.0,rect
9,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267605423927307,10.0,3,0.5,rect
10,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267606019973755,1.0,3,0.0,rect
11,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,3,0.6267606019973755,1.0,3,0.5,rect
12,256,0.961538553237915,<function dropout at 0x7fb1205c3a60>,3,0.9929577112197876,0.1,3,0.0,rect
13,256,0.961538553237915,<function dropout at 0x7fb1205c3a60>,3,0.9929577112197876,0.1,3,0.5,rect
14,256,0.9653846979141236,<function dropout at 0x7fb1205c3a60>,3,0.9859154224395752,0.01,3,0.0,rect
15,256,0.961538553237915,<function dropout at 0x7fb1205c3a60>,3,0.9788732528686523,0.01,3,0.5,rect
16,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267606019973755,10.0,3,0.0,rect
17,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267605423927307,10.0,3,0.5,rect
18,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267606019973755,1.0,3,0.0,rect
19,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,4,0.6267606019973755,1.0,3,0.5,rect
20,256,0.961538553237915,<function dropout at 0x7fb1205c3a60>,4,0.9859154224395752,0.1,3,0.0,rect
21,256,0.961538553237915,<function dropout at 0x7fb1205c3a60>,4,0.9929577112197876,0.1,3,0.5,rect
22,256,0.9807692766189577,<function dropout at 0x7fb1205c3a60>,4,0.9788732528686523,0.01,3,0.0,rect
23,256,0.9807692766189577,<function dropout at 0x7fb1205c3a60>,4,0.9788732528686523,0.01,3,0.5,rect
24,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,10.0,3,0.0,rect
25,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,10.0,3,0.5,rect
26,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,1.0,3,0.0,rect
27,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,8,0.6267606019973755,1.0,3,0.5,rect
28,256,0.9692308425903321,<function dropout at 0x7fb1205c3a60>,8,0.98591548204422,0.1,3,0.0,rect
29,256,0.9653846979141236,<function dropout at 0x7fb1205c3a60>,8,0.9718309044837952,0.1,3,0.5,rect
30,256,0.961538553237915,<function dropout at 0x7fb1205c3a60>,8,0.98591548204422,0.01,3,0.0,rect
31,256,0.9480770051479339,<function dropout at 0x7fb1205c3a60>,8,0.9647887349128723,0.01,3,0.5,rect
32,256,0.6153846979141235,<function dropout at 0x7fb1205c3a60>,16,0.6267606019973755,10.0,3,0.0,rect
