,layerForm,nstart,dropoutFn,nlayers,activationFn,learningrate,valAccuracy,dR,testAccuracy
0,cone,256,<function dropout at 0x7f4ea566ca60>,2,3,10.0,0.49999999999999994,0.0,0.5
1,cone,256,<function dropout at 0x7f4ea566ca60>,2,3,10.0,0.49999999999999994,0.5,0.5
2,cone,256,<function dropout at 0x7f4ea566ca60>,2,3,1.0,0.49999999999999994,0.0,0.5
3,cone,256,<function dropout at 0x7f4ea566ca60>,2,3,1.0,0.49999999999999994,0.5,0.5
4,cone,256,<function dropout at 0x7f4ea566ca60>,2,3,0.1,0.900000023841858,0.0,0.7692307829856873
5,cone,256,<function dropout at 0x7f4ea566ca60>,2,3,0.1,0.8333333730697633,0.5,0.6153846979141235
6,cone,256,<function dropout at 0x7f4ea566ca60>,2,3,0.01,0.8333333730697633,0.0,0.7307692766189575
7,cone,256,<function dropout at 0x7f4ea566ca60>,2,3,0.01,0.8166667044162751,0.5,0.7307692766189575
8,cone,256,<function dropout at 0x7f4ea566ca60>,3,3,10.0,0.49999999999999994,0.0,0.5
9,cone,256,<function dropout at 0x7f4ea566ca60>,3,3,10.0,0.49999999999999994,0.5,0.5
10,cone,256,<function dropout at 0x7f4ea566ca60>,3,3,1.0,0.49999999999999994,0.0,0.46153849363327026
11,cone,256,<function dropout at 0x7f4ea566ca60>,3,3,1.0,0.49999999999999994,0.5,0.5
12,cone,256,<function dropout at 0x7f4ea566ca60>,3,3,0.1,0.8333333730697633,0.0,0.7307692766189575
13,cone,256,<function dropout at 0x7f4ea566ca60>,3,3,0.1,0.8333333730697633,0.5,0.8076923489570618
14,cone,256,<function dropout at 0x7f4ea566ca60>,3,3,0.01,0.8333333730697633,0.0,0.8076924085617065
15,cone,256,<function dropout at 0x7f4ea566ca60>,3,3,0.01,0.8333333730697633,0.5,0.8076923489570618
16,cone,256,<function dropout at 0x7f4ea566ca60>,4,3,10.0,0.49999999999999994,0.0,0.5
17,cone,256,<function dropout at 0x7f4ea566ca60>,4,3,10.0,0.49999999999999994,0.5,0.5
18,cone,256,<function dropout at 0x7f4ea566ca60>,4,3,1.0,0.49999999999999994,0.0,0.5
19,cone,256,<function dropout at 0x7f4ea566ca60>,4,3,1.0,0.49999999999999994,0.5,0.5
20,cone,256,<function dropout at 0x7f4ea566ca60>,4,3,0.1,0.8333333730697633,0.0,0.7307692766189575
21,cone,256,<function dropout at 0x7f4ea566ca60>,4,3,0.1,0.6666666865348815,0.5,0.8076924085617065
22,cone,256,<function dropout at 0x7f4ea566ca60>,4,3,0.01,0.6666666865348815,0.0,0.7307692766189575
23,cone,256,<function dropout at 0x7f4ea566ca60>,4,3,0.01,0.6666666865348815,0.5,0.6153846979141235
24,cone,256,<function dropout at 0x7f4ea566ca60>,8,3,10.0,0.49999999999999994,0.0,0.5
25,cone,256,<function dropout at 0x7f4ea566ca60>,8,3,10.0,0.49999999999999994,0.5,0.5
26,cone,256,<function dropout at 0x7f4ea566ca60>,8,3,1.0,0.49999999999999994,0.0,0.5
27,cone,256,<function dropout at 0x7f4ea566ca60>,8,3,1.0,0.49999999999999994,0.5,0.5
28,cone,256,<function dropout at 0x7f4ea566ca60>,8,3,0.1,0.9999999999999999,0.0,0.8461538553237915
29,cone,256,<function dropout at 0x7f4ea566ca60>,8,3,0.1,0.49999999999999994,0.5,0.5
30,cone,256,<function dropout at 0x7f4ea566ca60>,8,3,0.01,0.8333333730697633,0.0,0.7307692766189575
31,cone,256,<function dropout at 0x7f4ea566ca60>,8,3,0.01,0.4500000029802322,0.5,0.5384615659713745
32,cone,256,<function dropout at 0x7f4ea566ca60>,16,3,10.0,0.49999999999999994,0.0,0.5
33,cone,256,<function dropout at 0x7f4ea566ca60>,16,3,10.0,0.49999999999999994,0.5,0.5
34,cone,256,<function dropout at 0x7f4ea566ca60>,16,3,1.0,0.8333333730697633,0.0,0.884615421295166
35,cone,256,<function dropout at 0x7f4ea566ca60>,16,3,1.0,0.5166666686534881,0.5,0.5
36,cone,256,<function dropout at 0x7f4ea566ca60>,16,3,0.1,0.8333333730697633,0.0,0.769230842590332
37,cone,256,<function dropout at 0x7f4ea566ca60>,16,3,0.1,0.5666666746139527,0.5,0.5
38,cone,256,<function dropout at 0x7f4ea566ca60>,16,3,0.01,0.6666666865348815,0.0,0.769230842590332
39,cone,256,<function dropout at 0x7f4ea566ca60>,16,3,0.01,0.33333334326744074,0.5,0.6538461446762085
40,cone,256,<function dropout at 0x7f4ea566ca60>,32,3,10.0,0.49999999999999994,0.0,0.5
41,cone,256,<function dropout at 0x7f4ea566ca60>,32,3,10.0,0.5166666686534881,0.5,0.5
