,learningrate,dropoutFn,activationFn,layerForm,valAccuracy,nlayers,dR,nstart,testAccuracy
0,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,2,0.0,256,0.239648699760437
1,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,2,0.0,512,0.239648699760437
2,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,2,0.0,1024,0.239648699760437
3,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,2,0.5,256,0.239648699760437
4,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,2,0.5,512,0.239648699760437
5,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,2,0.5,1024,0.239648699760437
6,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,3,0.0,256,0.239648699760437
7,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,3,0.0,512,0.23964868485927582
8,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,3,0.0,1024,0.23964868485927582
9,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,3,0.5,256,0.23964868485927582
10,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,3,0.5,512,0.239648699760437
11,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,3,0.5,1024,0.239648699760437
12,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,4,0.0,256,0.239648699760437
13,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,4,0.0,512,0.239648699760437
14,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,4,0.0,1024,0.239648699760437
15,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,4,0.5,256,0.239648699760437
16,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,4,0.5,512,0.239648699760437
17,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,4,0.5,1024,0.23964868485927582
18,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,8,0.0,256,0.239648699760437
19,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,8,0.0,512,0.239648699760437
20,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,8,0.0,1024,0.239648699760437
21,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,8,0.5,256,0.239648699760437
22,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,8,0.5,512,0.239648699760437
23,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,8,0.5,1024,0.239648699760437
24,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,16,0.0,256,0.239648699760437
25,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,16,0.0,512,0.239648699760437
26,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,16,0.0,1024,0.239648699760437
27,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,16,0.5,256,0.239648699760437
28,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,16,0.5,512,0.239648699760437
29,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,16,0.5,1024,0.239648699760437
30,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.0,256,0.239648699760437
31,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.0,512,0.23964868485927582
32,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.0,1024,0.239648699760437
33,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.5,256,0.239648699760437
34,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.5,512,0.239648699760437
35,10.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,32,0.5,1024,0.239648699760437
36,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.855555534362793,2,0.0,256,0.8707654476165771
37,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.8358333706855773,2,0.0,512,0.8594731092453003
38,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.37861110866069786,2,0.0,1024,0.239648699760437
39,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.8444444894790649,2,0.5,256,0.8506901264190674
40,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.724444478750229,2,0.5,512,0.6800501942634583
41,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.4611111208796502,2,0.5,1024,0.23839399218559265
42,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.8436111450195313,3,0.0,256,0.875784158706665
43,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.2166666686534882,3,0.0,512,0.239648699760437
44,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.21805555820465092,3,0.0,1024,0.239648699760437
45,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.4211111068725586,3,0.5,256,0.519447922706604
46,1.0,<function dropout at 0x7f6d2e151a60>,3,cone,0.48805555701255804,3,0.5,512,0.23839399218559265
