,nstart,nlayers,dropoutFn,layerForm,activationFn,learningrate,dR,testAccuracy,valAccuracy
0,256,2,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.1184210553765297,0.20740741491317755
1,256,2,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
2,256,2,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.3815789520740509,0.45555556714534756
3,256,2,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
4,256,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5921052694320679,0.42962962985038755
5,256,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.6052631735801697,0.4629629671573639
6,256,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.6184210777282715,0.4629629701375961
7,256,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.6184210181236267,0.44444444775581354
8,256,3,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
9,256,3,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
10,256,3,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.4868420958518982,0.07777777910232545
11,256,3,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
12,256,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5789473652839661,0.3925925999879838
13,256,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.6184210181236267,0.4444444507360459
14,256,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.6052631735801697,0.5259259223937989
15,256,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.5921052694320679,0.47407408058643347
16,256,4,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
17,256,4,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
18,256,4,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5,0.04074074029922486
19,256,4,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
20,256,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5789473652839661,0.4259259313344955
21,256,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.6842105388641357,0.45555557012557996
22,256,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.6447368264198303,0.5629629611968994
23,256,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.6052631735801697,0.3740740895271302
24,256,8,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
25,256,8,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
26,256,8,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.44444444775581354
27,256,8,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
28,256,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5263158082962036,0.4592592626810075
29,256,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5657894611358643,0.44444444775581354
30,256,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.6184210777282715,0.4148148238658906
31,256,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.5921052694320679,0.4703703731298447
32,256,16,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
33,256,16,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
34,256,16,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.44444444775581354
35,256,16,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
36,256,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5657894611358643,0.45555555820465093
37,256,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5657894611358643,0.44444444775581354
38,256,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.5789473652839661,0.5037037014961243
39,256,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.5657894611358643,0.44814815223217
40,256,32,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
41,256,32,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
42,256,32,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.1184210553765297,0.18518519401550296
43,256,32,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
44,256,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5657894611358643,0.45185185372829434
45,256,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5657894611358643,0.44444444775581354
46,256,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.5526315569877625,0.40370370745658885
47,256,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.5657894611358643,0.44444444775581354
48,512,2,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
49,512,2,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
50,512,2,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.42105263471603394,0.03333333432674408
51,512,2,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
52,512,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5394736528396606,0.3703703790903091
53,512,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5526316165924072,0.4370370388031006
54,512,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.6052631735801697,0.492592626810074
55,512,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.6052631735801697,0.44444444775581354
56,512,3,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
57,512,3,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
58,512,3,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.44444444775581354
59,512,3,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
60,512,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.6184210181236267,0.4222222268581391
61,512,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.6315789222717285,0.43333333432674415
62,512,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.5921052098274231,0.4740740746259689
63,512,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.5657894611358643,0.44814815223217014
64,512,4,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
65,512,4,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
66,512,4,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.45555556118488305
67,512,4,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
68,512,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.513157844543457,0.392592602968216
69,512,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5921052694320679,0.5592592656612396
70,512,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.6184210181236267,0.3703703880310059
71,512,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.6184210777282715,0.44444444775581354
