,nstart,nlayers,dropoutFn,layerForm,activationFn,learningrate,dR,testAccuracy,valAccuracy
72,512,8,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
73,512,8,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
74,512,8,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.44444444775581354
75,512,8,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
76,512,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5526315569877625,0.45555556118488316
77,512,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5657894611358643,0.44444444775581354
78,512,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.5921052694320679,0.5481481552124023
79,512,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.32894736528396606,0.16296296641230587
80,512,16,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
81,512,16,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
82,512,16,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.44444444775581354
83,512,16,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
84,512,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5526315569877625,0.4444444507360459
85,512,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5657894611358643,0.44444444775581354
86,512,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.5657894611358643,0.5629629790782928
87,512,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.5,0.5000000059604646
88,512,32,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
89,512,32,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
90,512,32,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.44444444775581354
91,512,32,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
92,512,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5921052694320679,0.4333333402872086
93,512,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5657894611358643,0.44444444775581354
94,512,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.5657894611358643,0.5962962985038758
95,512,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.5657894611358643,0.44444444775581354
96,1024,2,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
97,1024,2,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
98,1024,2,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.44444444775581354
99,1024,2,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
100,1024,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5526315569877625,0.38518519401550305
101,1024,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5657894611358643,0.42222222685813915
102,1024,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.5789473652839661,0.4518518537282943
103,1024,2,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.6052631735801697,0.44074074327945706
104,1024,3,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
105,1024,3,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
106,1024,3,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.44444444775581354
107,1024,3,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
108,1024,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5921052694320679,0.4222222298383713
109,1024,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.6184210777282715,0.4481481552124024
110,1024,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.6315789222717285,0.3851851969957352
111,1024,3,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.5789473652839661,0.5148148238658905
112,1024,4,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
113,1024,4,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
114,1024,4,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.44444444775581354
115,1024,4,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
116,1024,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5263158082962036,0.396296301484108
117,1024,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.6184210777282715,0.42222221791744236
118,1024,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.6184210181236267,0.38518519401550305
119,1024,4,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.6052631139755249,0.38518519997596745
120,1024,8,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
121,1024,8,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
122,1024,8,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.17105264961719513,0.2962962985038758
123,1024,8,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
124,1024,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5526315569877625,0.3925925999879838
125,1024,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5657894611358643,0.44444444775581354
126,1024,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.5526315569877625,0.45555556118488316
127,1024,8,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.5263158082962036,0.5259259343147278
128,1024,16,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
129,1024,16,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
130,1024,16,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.4296296328306198
131,1024,16,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
132,1024,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.5789473652839661,0.5037037074565888
133,1024,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5657894611358643,0.44444444775581354
134,1024,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.5526316165924072,0.5629629850387573
135,1024,16,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.5657894611358643,0.44444444775581354
136,1024,32,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.0,0.5657894611358643,0.44444444775581354
137,1024,32,<function dropout at 0x7f2541e2aa60>,cone,3,10.0,0.5,0.5657894611358643,0.44444444775581354
138,1024,32,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.0,0.5657894611358643,0.44444444775581354
139,1024,32,<function dropout at 0x7f2541e2aa60>,cone,3,1.0,0.5,0.5657894611358643,0.44444444775581354
140,1024,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.0,0.6184210777282715,0.4629629701375962
141,1024,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.1,0.5,0.5657894611358643,0.44444444775581354
142,1024,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.0,0.5394736528396606,0.5037037134170533
143,1024,32,<function dropout at 0x7f2541e2aa60>,cone,3,0.01,0.5,0.5657894611358643,0.44444444775581354
