"dataset","blockForm","nhidden","learningrate","nblocks","testAccuracy","bottleneck","valAccuracy"
"balloons","rect",256,0.01,4,1,0.5,1
"balloons","rect",512,0.01,3,0,0.25,1
"balloons","rect",512,0.01,3,0.75,0.5,1
"balloons","diavolo",256,0.01,3,0.25,0.25,1
"balloons","rect",1024,0.01,2,0.5,0.25,1
"balloons","rect",1024,0.01,2,0.75,0.5,1
"balloons","diavolo",1024,0.01,2,0.5,0.25,1
"balloons","rect",512,0.01,2,0.5,0.25,1
"balloons","rect",512,0.01,2,0.75,0.5,1
"balloons","rect",256,0.01,2,0.5,0.25,1
"balloons","rect",256,0.01,2,0.75,0.5,1
"balloons","rect",256,0.01,4,0.25,0.25,0.9
"balloons","diavolo",256,0.01,2,0.75,0.25,0.9
"balloons","rect",1024,0.01,3,0.5,0.5,0.8
"balloons","rect",256,0.01,3,0.5,0.25,0.8
"balloons","rect",256,0.01,3,0.75,0.5,0.8
"balloons","diavolo",256,0.01,2,0.5,0.5,0.8
"balloons","diavolo",256,0.1,2,0.25,0.5,0.8
"balloons","rect",512,0.01,4,0.5,0.25,0.7
"balloons","diavolo",1024,0.01,2,1,0.5,0.7
"balloons","rect",1024,0.01,4,0.75,0.5,0.6
"balloons","rect",1024,0.01,3,0.75,0.25,0.6
"balloons","diavolo",1024,0.01,4,0.25,0.25,0.5
"balloons","rect",512,0.01,4,0.5,0.5,0.5
"balloons","diavolo",1024,0.01,3,0.75,0.25,0.5
"balloons","diavolo",512,0.01,3,0.75,0.5,0.5
"balloons","diavolo",512,0.01,2,0.5,0.5,0.4
"balloons","diavolo",1024,0.01,3,0.25,0.5,0.3
"balloons","diavolo",256,0.01,3,0.25,0.5,0.3
"balloons","diavolo",512,0.01,2,0.25,0.25,0.3
"balloons","rect",1024,0.01,4,0.75,0.25,0.2
"balloons","diavolo",512,0.01,4,0.75,0.5,0.2
"balloons","diavolo",256,0.1,4,0.5,0.5,0.2
"balloons","diavolo",512,0.01,3,0,0.25,0.2
"balloons","rect",1024,0.1,3,0.25,0.5,0.2
"balloons","rect",512,0.1,3,1,0.5,0.2
"balloons","rect",256,0.1,3,0.25,0.25,0.2
"balloons","rect",512,0.1,2,1,0.5,0.2
"balloons","rect",256,0.1,2,0.25,0.25,0.2
"balloons","rect",256,0.1,2,0.25,0.5,0.2
"balloons","rect",1024,0.1,4,0.25,0.25,0.1
"balloons","rect",1024,0.1,4,0.25,0.5,0.1
"balloons","rect",512,0.1,4,0.25,0.25,0.1
"balloons","diavolo",512,0.1,4,0.25,0.25,0.1
"balloons","rect",256,0.1,4,0.25,0.25,0.1
"balloons","rect",256,0.1,4,0,0.5,0.1
"balloons","diavolo",256,0.1,4,0.25,0.25,0.1
"balloons","rect",512,1,4,0.25,0.25,0.1
"balloons","rect",1024,0.1,3,0.75,0.25,0.1
"balloons","rect",512,0.1,3,0.25,0.25,0.1
"balloons","rect",256,0.1,3,0.25,0.5,0.1
"balloons","diavolo",256,0.1,3,0.25,0.25,0.1
"balloons","diavolo",256,0.1,3,0.75,0.5,0.1
"balloons","rect",512,1,3,0.25,0.5,0.1
"balloons","rect",1024,0.1,2,0.75,0.25,0.1
"balloons","rect",1024,0.1,2,0.75,0.5,0.1
"balloons","diavolo",1024,0.1,2,0.75,0.25,0.1
"balloons","diavolo",1024,0.1,2,0.75,0.5,0.1
"balloons","rect",512,0.1,2,0.75,0.25,0.1
"balloons","diavolo",512,0.1,2,0.25,0.25,0.1
"balloons","diavolo",256,0.1,2,0.75,0.25,0.1
"balloons","rect",512,1,2,0.25,0.25,0.1
"balloons","diavolo",512,1,2,0.75,0.5,0.1
"balloons","rect",256,1,2,0.75,0.25,0.1
"balloons","rect",1024,0.01,16,0.75,0.25,0
"balloons","rect",1024,0.01,16,0.75,0.5,0
"balloons","diavolo",1024,0.01,16,0.75,0.25,0
"balloons","diavolo",1024,0.01,16,0.75,0.5,0
"balloons","rect",512,0.01,16,0.75,0.25,0
"balloons","rect",512,0.01,16,0.75,0.5,0
"balloons","diavolo",512,0.01,16,0.75,0.25,0
"balloons","diavolo",512,0.01,16,0.75,0.5,0
"balloons","rect",256,0.01,16,0.75,0.25,0
"balloons","rect",256,0.01,16,0.75,0.5,0
"balloons","diavolo",256,0.01,16,0.75,0.25,0
"balloons","diavolo",256,0.01,16,0.75,0.5,0
"balloons","rect",1024,0.1,16,0.75,0.25,0
"balloons","rect",1024,0.1,16,0.75,0.5,0
"balloons","diavolo",1024,0.1,16,0.75,0.25,0
"balloons","diavolo",1024,0.1,16,0.75,0.5,0
"balloons","rect",512,0.1,16,0.75,0.25,0
"balloons","rect",512,0.1,16,0.75,0.5,0
"balloons","diavolo",512,0.1,16,0.75,0.25,0
"balloons","diavolo",512,0.1,16,0.75,0.5,0
"balloons","rect",256,0.1,16,0.75,0.25,0
"balloons","rect",256,0.1,16,0.75,0.5,0
"balloons","diavolo",256,0.1,16,0.75,0.25,0
"balloons","diavolo",256,0.1,16,0.75,0.5,0
"balloons","rect",1024,1,16,0.75,0.25,0
"balloons","rect",1024,1,16,0.75,0.5,0
"balloons","diavolo",1024,1,16,0.75,0.25,0
"balloons","diavolo",1024,1,16,0.75,0.5,0
"balloons","rect",512,1,16,0.75,0.25,0
"balloons","rect",512,1,16,0.75,0.5,0
