"dataset","nhidden","learningrate","nblocks","bottleneck","blockForm","testAccuracy","valAccuracy"
"primary-tumor",1024,0.01,3,0.25,"diavolo",0.378048777580261,0.283333343267441
"primary-tumor",512,0.01,8,0.5,"rect",0.414634108543396,0.280555574595928
"primary-tumor",256,0.1,2,0.5,"diavolo",0.439024388790131,0.280555573105812
"primary-tumor",1024,0.1,3,0.25,"rect",0.499999970197678,0.280555568635464
"primary-tumor",512,0.1,2,0.5,"diavolo",0.487804859876633,0.27222223430872
"primary-tumor",1024,0.01,4,0.25,"diavolo",0.365853667259216,0.272222232818603
"primary-tumor",1024,0.01,3,0.5,"diavolo",0.475609719753265,0.266666677594185
"primary-tumor",256,0.01,4,0.5,"rect",0.414634108543396,0.250000029802322
"primary-tumor",512,0.01,3,0.5,"rect",0.329268276691437,0.247222229838371
"primary-tumor",256,0.01,2,0.25,"rect",0.439024388790131,0.244444444775581
"primary-tumor",512,0.01,8,0.25,"rect",0.439024388790131,0.236111119389534
"primary-tumor",1024,0.01,2,0.5,"rect",0.46341460943222,0.225000004470348
"primary-tumor",512,0.1,8,0.5,"diavolo",0.353658556938171,0.225000001490116
"primary-tumor",256,0.01,3,0.5,"rect",0.341463387012482,0.222222238779068
"primary-tumor",1024,0.01,16,0.25,"rect",0.390243887901306,0.222222225368023
"primary-tumor",512,0.01,8,0.25,"diavolo",0.341463416814804,0.222222223877907
"primary-tumor",256,0.1,3,0.5,"diavolo",0.439024358987808,0.211111114919186
"primary-tumor",256,0.01,2,0.25,"diavolo",0.402438998222351,0.211111113429069
"primary-tumor",1024,0.01,4,0.25,"rect",0.365853667259216,0.200000005960464
"primary-tumor",1024,0.01,3,0.5,"rect",0.378048777580261,0.200000002980232
"primary-tumor",256,0.01,4,0.25,"diavolo",0.378048747777939,0.194444447755814
"primary-tumor",256,0.01,8,0.5,"rect",0.390243917703629,0.188888892531395
"primary-tumor",512,0.01,16,0.5,"diavolo",0.341463416814804,0.186111117899418
"primary-tumor",256,0.1,8,0.25,"rect",0.463414639234543,0.186111114919186
"primary-tumor",1024,0.1,4,0.25,"rect",0.317073166370392,0.183333337306976
"primary-tumor",256,0.01,8,0.25,"rect",0.402438998222351,0.180555559694767
"primary-tumor",512,0.1,16,0.25,"diavolo",0.341463387012482,0.177777782082558
"primary-tumor",256,0.1,8,0.5,"rect",0.414634168148041,0.177777782082558
"primary-tumor",256,0.01,4,0.5,"diavolo",0.378048777580261,0.175000004470348
"primary-tumor",1024,0.1,16,0.5,"diavolo",0.304878056049347,0.16944444924593
"primary-tumor",1024,0.1,16,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,0.1,16,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,0.1,16,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,0.1,16,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,16,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,16,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,16,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,16,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",512,1,16,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,1,16,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",512,1,16,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,1,16,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",256,1,16,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",256,1,16,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",256,1,16,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",256,1,16,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",1024,0.1,8,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,0.1,8,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,8,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,8,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,8,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,8,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",512,1,8,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,1,8,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",512,1,8,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,1,8,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",256,1,8,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",256,1,8,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",256,1,8,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",256,1,8,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,4,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,4,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,4,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,4,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",512,1,4,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,1,4,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",512,1,4,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,1,4,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",256,1,4,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",256,1,4,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",256,1,4,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",256,1,4,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,3,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,3,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,3,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,3,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",512,1,3,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,1,3,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",512,1,3,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,1,3,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",256,1,3,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",256,1,3,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",256,1,3,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",256,1,3,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,2,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,2,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,2,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",1024,1,2,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",512,1,2,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,1,2,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",512,1,2,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",512,1,2,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",256,1,2,0.25,"rect",0.304878056049347,0.16666667163372
"primary-tumor",256,1,2,0.25,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",256,1,2,0.5,"rect",0.304878056049347,0.16666667163372
"primary-tumor",256,1,2,0.5,"diavolo",0.304878056049347,0.16666667163372
"primary-tumor",512,0.01,16,0.5,"rect",0.304878026247025,0.166666670888662
"primary-tumor",512,0.01,16,0.25,"diavolo",0.5,0.163888894021511
"primary-tumor",256,0.01,16,0.5,"rect",0.219512194395065,0.163888894021511
"primary-tumor",256,0.01,16,0.25,"rect",0.280487775802612,0.161111116409302
"primary-tumor",256,0.1,16,0.25,"diavolo",0.378048747777939,0.14444444924593
"primary-tumor",256,0.01,8,0.25,"diavolo",0.280487775802612,0.133333338797092
"primary-tumor",512,0.1,8,0.5,"rect",0.0975609719753265,0.1277777813375
"primary-tumor",512,0.1,8,0.25,"rect",0.304878056049347,0.12500000372529
"primary-tumor",512,0.01,2,0.25,"diavolo",0.365853667259216,0.119444446265697
"primary-tumor",256,0.01,8,0.5,"diavolo",0.29268291592598,0.116666669398546
"primary-tumor",256,0.1,16,0.25,"rect",0.0853658467531204,0.108333336561918
"primary-tumor",1024,0.1,8,0.5,"diavolo",0.0731707289814949,0.102777780033648
"primary-tumor",1024,0.1,16,0.25,"diavolo",0.109756097197533,0.0972222246229649
"primary-tumor",256,0.1,16,0.5,"rect",0.0365853644907475,0.094444446451962
"primary-tumor",256,0.1,16,0.5,"diavolo",0.0121951214969158,0.0916666693985462
"primary-tumor",1024,0.1,4,0.5,"rect",0.304878056049347,0.0472222235053778
"primary-tumor",512,0.1,16,0.5,"diavolo",0.0243902429938316,0.0472222231328487
