"dataset","blockForm","valAccuracy","nhidden","bottleneck","learningrate","testAccuracy","nblocks"
"low-res-spect","rect",0.749152541160583,1024,0.5,0.01,0.774436116218567,8
"low-res-spect","rect",0.749152541160583,512,0.5,0.01,0.804511249065399,16
"low-res-spect","diavolo",0.74745762348175,1024,0.5,0.1,0.714285731315613,4
"low-res-spect","diavolo",0.745762705802917,512,0.25,0.01,0.812030076980591,3
"low-res-spect","diavolo",0.745762705802917,1024,0.5,0.01,0.857142925262451,2
"low-res-spect","rect",0.745762705802917,512,0.5,0.1,0.76691722869873,2
"low-res-spect","rect",0.744067794084549,512,0.25,0.1,0.736842155456543,2
"low-res-spect","diavolo",0.742372870445251,1024,0.25,0.01,0.796992421150208,16
"low-res-spect","diavolo",0.742372870445251,256,0.5,0.1,0.766917288303375,3
"low-res-spect","rect",0.738983058929443,512,0.5,0.1,0.789473712444305,3
"low-res-spect","rect",0.73898304104805,512,0.25,0.1,0.74436092376709,4
"low-res-spect","diavolo",0.738983035087585,512,0.5,0.1,0.706766963005066,8
"low-res-spect","rect",0.738983035087585,256,0.5,0.1,0.751879692077637,8
"low-res-spect","rect",0.735593235492706,256,0.25,0.01,0.72180449962616,4
"low-res-spect","diavolo",0.73050844669342,256,0.5,0.01,0.729323327541351,3
"low-res-spect","diavolo",0.728813552856445,256,0.5,0.1,0.74436092376709,4
"low-res-spect","diavolo",0.728813540935516,512,0.25,0.1,0.714285731315613,8
"low-res-spect","rect",0.728813529014587,256,0.5,0.01,0.751879692077637,2
"low-res-spect","diavolo",0.727118635177612,512,0.25,0.1,0.736842095851898,16
"low-res-spect","diavolo",0.727118611335754,256,0.25,0.1,0.72180449962616,16
"low-res-spect","rect",0.727118611335754,256,0.5,0.1,0.736842095851898,2
"low-res-spect","diavolo",0.720338970422745,512,0.25,0.01,0.759398460388184,8
"low-res-spect","rect",0.720338946580887,1024,0.5,0.01,0.74436092376709,2
"low-res-spect","rect",0.715254199504852,256,0.25,0.1,0.706766963005066,4
"low-res-spect","rect",0.708474576473236,256,0.5,0.1,0.744360864162445,3
"low-res-spect","rect",0.706779628992081,256,0.5,0.1,0.699248075485229,4
"low-res-spect","rect",0.705084747076035,512,0.25,0.1,0.751879692077637,3
"low-res-spect","diavolo",0.70338985323906,512,0.5,0.1,0.72180449962616,3
"low-res-spect","diavolo",0.699999982118607,512,0.5,0.01,0.74436092376709,16
"low-res-spect","diavolo",0.698305070400238,1024,0.25,0.1,0.646616518497467,16
"low-res-spect","rect",0.694915241003037,256,0.5,0.1,0.759398460388184,16
"low-res-spect","diavolo",0.688135588169098,512,0.5,0.01,0.646616458892822,4
"low-res-spect","diavolo",0.688135576248169,1024,0.5,0.1,0.676691651344299,3
"low-res-spect","diavolo",0.67966103553772,512,0.5,0.01,0.766917288303375,8
"low-res-spect","rect",0.664406776428223,1024,0.25,0.1,0.624060153961182,4
"low-res-spect","diavolo",0.664406776428223,256,0.5,0.1,0.654135346412659,16
"low-res-spect","diavolo",0.635593211650848,256,0.5,0.1,0.609022498130798,8
"low-res-spect","rect",0.603389847278595,256,0.25,0.01,0.699248075485229,16
"low-res-spect","rect",0.583050841093063,256,0.25,0.1,0.624060153961182,8
"low-res-spect","diavolo",0.562711834907532,256,0.5,0.01,0.669172942638397,8
"low-res-spect","rect",0.527118647098541,512,0.5,0.1,0.541353344917297,4
"low-res-spect","rect",0.505084747076035,512,0.25,0.1,0.601503729820251,8
"low-res-spect","diavolo",0.491525411605835,512,0.5,0.1,0.556391000747681,16
"low-res-spect","rect",0.349152547121048,256,0.25,0.1,0.233082681894302,16
"low-res-spect","diavolo",0.335593223571777,1024,0.5,0.1,0.187969923019409,8
"low-res-spect","rect",0.259322027862072,1024,0.25,0.1,0.0676691755652428,8
"low-res-spect","rect",0.240677960589528,1024,0.5,0.1,0.556391000747681,8
"low-res-spect","diavolo",0.228813555091619,512,0.25,1,0.165413543581963,3
"low-res-spect","diavolo",0.193220335245132,512,0.5,1,0.165413528680801,3
"low-res-spect","diavolo",0.193220335245132,1024,0.25,1,0.165413528680801,3
"low-res-spect","diavolo",0.191525420546532,256,0.5,1,0.165413528680801,4
"low-res-spect","diavolo",0.191525419801474,512,0.25,1,0.165413543581963,2
"low-res-spect","diavolo",0.189830505102873,256,0.25,1,0.165413528680801,2
"low-res-spect","rect",0.172881352901459,512,0.25,1,0.165413543581963,3
"low-res-spect","rect",0.172881352901459,1024,0.25,1,0.165413528680801,2
"low-res-spect","rect",0.171186438202858,512,0.25,1,0.165413528680801,2
"low-res-spect","diavolo",0.169491523504257,1024,0.5,1,0.165413528680801,3
"low-res-spect","diavolo",0.169491522014141,512,0.25,1,0.165413528680801,8
"low-res-spect","rect",0.166101691871881,256,0.25,1,0.165413528680801,2
"low-res-spect","diavolo",0.162711861729622,256,0.5,1,0.165413543581963,2
"low-res-spect","diavolo",0.162711861543357,256,0.5,1,0.165413528680801,3
"low-res-spect","diavolo",0.161016946285963,512,0.5,1,0.165413543581963,2
"low-res-spect","rect",0.159322030842304,256,0.25,1,0.165413528680801,4
"low-res-spect","diavolo",0.155932200700045,1024,0.5,1,0.165413528680801,4
"low-res-spect","rect",0.155932200700045,512,0.25,1,0.165413528680801,4
"low-res-spect","diavolo",0.155932200700045,512,0.25,1,0.165413543581963,4
"low-res-spect","rect",0.155932200700045,256,0.5,1,0.165413528680801,4
"low-res-spect","rect",0.155932200700045,256,0.25,1,0.165413528680801,3
"low-res-spect","diavolo",0.145762709341943,256,0.25,1,0.165413528680801,4
"low-res-spect","rect",0.144067794084549,1024,0.5,1,0.165413528680801,2
"low-res-spect","rect",0.14067796356976,512,0.25,0.1,0.165413528680801,16
"low-res-spect","rect",0.135593218356371,1024,0.5,1,0.165413528680801,3
"low-res-spect","diavolo",0.135593218356371,256,0.25,1,0.165413528680801,3
"low-res-spect","rect",0.135593217983842,256,0.5,1,0.165413528680801,2
"low-res-spect","diavolo",0.130508474260569,256,0.5,1,0.165413528680801,8
"low-res-spect","diavolo",0.128813558071852,1024,0.25,1,0.165413543581963,8
"low-res-spect","diavolo",0.127118643373251,1024,0.25,1,0.165413543581963,2
"low-res-spect","diavolo",0.122033897787333,256,0.25,1,0.165413543581963,8
"low-res-spect","diavolo",0.120338981598616,512,0.25,1,0.165413543581963,16
"low-res-spect","diavolo",0.120338981598616,256,0.5,1,0.165413543581963,16
"low-res-spect","rect",0.120338981598616,1024,0.5,1,0.165413528680801,4
"low-res-spect","rect",0.118644066154957,1024,0.25,0.1,0.165413528680801,16
"low-res-spect","rect",0.118644066154957,1024,0.5,0.1,0.165413543581963,16
"low-res-spect","diavolo",0.118644066154957,1024,0.5,0.1,0.165413543581963,16
"low-res-spect","rect",0.118644066154957,1024,0.25,1,0.165413543581963,16
"low-res-spect","rect",0.118644066154957,1024,0.5,1,0.165413528680801,16
"low-res-spect","diavolo",0.118644066154957,1024,0.25,1,0.165413528680801,16
"low-res-spect","diavolo",0.118644066154957,1024,0.5,1,0.165413528680801,16
"low-res-spect","rect",0.118644066154957,512,0.25,1,0.165413528680801,16
"low-res-spect","rect",0.118644066154957,512,0.5,1,0.165413528680801,16
"low-res-spect","diavolo",0.118644066154957,512,0.5,1,0.165413528680801,16
"low-res-spect","rect",0.118644066154957,256,0.25,1,0.165413528680801,16
"low-res-spect","rect",0.118644066154957,256,0.5,1,0.165413528680801,16
"low-res-spect","diavolo",0.118644066154957,256,0.25,1,0.165413528680801,16
"low-res-spect","rect",0.118644066154957,1024,0.25,1,0.165413543581963,8
"low-res-spect","rect",0.118644066154957,1024,0.5,1,0.165413543581963,8
"low-res-spect","diavolo",0.118644066154957,1024,0.5,1,0.165413528680801,8
"low-res-spect","rect",0.118644066154957,512,0.25,1,0.165413528680801,8
"low-res-spect","rect",0.118644066154957,512,0.5,1,0.165413528680801,8
"low-res-spect","diavolo",0.118644066154957,512,0.5,1,0.165413528680801,8
"low-res-spect","rect",0.118644066154957,256,0.25,1,0.165413528680801,8
"low-res-spect","rect",0.118644066154957,256,0.5,1,0.165413528680801,8
"low-res-spect","rect",0.118644066154957,1024,0.25,1,0.165413528680801,4
"low-res-spect","diavolo",0.118644066154957,1024,0.25,1,0.165413543581963,4
"low-res-spect","rect",0.118644066154957,512,0.5,1,0.165413528680801,4
"low-res-spect","diavolo",0.118644066154957,512,0.5,1,0.165413543581963,4
"low-res-spect","rect",0.118644066154957,1024,0.25,1,0.165413528680801,3
"low-res-spect","rect",0.118644066154957,512,0.5,1,0.165413528680801,3
"low-res-spect","rect",0.118644066154957,256,0.5,1,0.165413528680801,3
"low-res-spect","diavolo",0.118644066154957,1024,0.5,1,0.165413543581963,2
"low-res-spect","rect",0.118644066154957,512,0.5,1,0.165413543581963,2
"low-res-spect","rect",0.116949150338769,512,0.5,0.1,0,16
